timestamp,date,latitude,longitude
1649790951,"2022-04-12 19:15:51",47.276393,-122.496281
1649790982,"2022-04-12 19:16:22",47.276122,-122.496292
1649791014,"2022-04-12 19:16:54",47.275851,-122.496288
1649791044,"2022-04-12 19:17:24",47.275571,-122.496302
1649791075,"2022-04-12 19:17:55",47.275299,-122.496287
1649791109,"2022-04-12 19:18:29",47.275026,-122.49627
1649791151,"2022-04-12 19:19:11",47.274991,-122.495868
1649791190,"2022-04-12 19:19:50",47.275002,-122.495295
1649791228,"2022-04-12 19:20:28",47.274991,-122.494896
1649791261,"2022-04-12 19:21:01",47.274981,-122.494492
1649791294,"2022-04-12 19:21:34",47.274984,-122.49409
1649791323,"2022-04-12 19:22:03",47.274975,-122.493681
1649791357,"2022-04-12 19:22:37",47.274972,-122.493279
1649791391,"2022-04-12 19:23:11",47.274961,-122.492871
1649791425,"2022-04-12 19:23:45",47.274955,-122.492469
1649791459,"2022-04-12 19:24:19",47.274965,-122.492061
1649791491,"2022-04-12 19:24:51",47.27496,-122.491663
1649791517,"2022-04-12 19:25:17",47.274966,-122.491267
1649791546,"2022-04-12 19:25:46",47.27496,-122.490866
1649791577,"2022-04-12 19:26:17",47.27496,-122.490461
1649791609,"2022-04-12 19:26:49",47.274946,-122.490063
1649791639,"2022-04-12 19:27:19",47.274963,-122.489655
1649791672,"2022-04-12 19:27:52",47.274961,-122.489247
1649791733,"2022-04-12 19:28:53",47.274939,-122.488835
1649791763,"2022-04-12 19:29:23",47.274945,-122.488426
1649791793,"2022-04-12 19:29:53",47.274951,-122.488019
1649791825,"2022-04-12 19:30:25",47.274958,-122.487615
1649791856,"2022-04-12 19:30:56",47.274964,-122.487212
1649791886,"2022-04-12 19:31:26",47.274941,-122.486811
1649791918,"2022-04-12 19:31:58",47.274938,-122.486412
1649791950,"2022-04-12 19:32:30",47.274921,-122.486009
1649791983,"2022-04-12 19:33:03",47.2749,-122.485601
1649792010,"2022-04-12 19:33:30",47.274898,-122.485202
1649792041,"2022-04-12 19:34:01",47.27488,-122.484803
1649792160,"2022-04-12 19:36:00",47.27489,-122.484399
1649792202,"2022-04-12 19:36:42",47.274822,-122.48401
1649792230,"2022-04-12 19:37:10",47.274793,-122.483601
1649792257,"2022-04-12 19:37:37",47.274786,-122.483196
1649792287,"2022-04-12 19:38:07",47.27478,-122.482788
1649792315,"2022-04-12 19:38:35",47.274784,-122.482387
