timestamp,"date (UTC)","NO2 (ppb)","VOC (ppb)","pm 10 (ug/m3)","pm 2.5 (ug/m3)","NO2 (Plume AQI)","VOC (Plume AQI)","pm 10 (Plume AQI)","pm 2.5 (Plume AQI)","pm 1 (ug/m3)","pm 1 (Plume AQI)"
1651652122,"2022-05-04 08:15:22",0,145,3,2,0,12,3,4,1,3
1651652182,"2022-05-04 08:16:22",0,147,3,2,0,12,3,4,1,3
1651652242,"2022-05-04 08:17:22",0,149,3,2,0,12,3,4,1,3
1651652302,"2022-05-04 08:18:22",0,149,3,2,0,12,3,4,1,3
1651652362,"2022-05-04 08:19:22",0,148,3,2,0,12,3,4,1,3
1651652422,"2022-05-04 08:20:22",0,146,3,2,0,12,3,4,1,3
1651652482,"2022-05-04 08:21:22",0,148,3,2,0,12,3,4,1,3
1651652542,"2022-05-04 08:22:22",0,149,3,2,0,12,3,4,1,3
1651652602,"2022-05-04 08:23:22",0,150,3,2,0,12,3,4,1,3
1651652662,"2022-05-04 08:24:22",0,151,3,2,0,12,3,4,1,3
1651652722,"2022-05-04 08:25:22",0,149,3,2,0,12,3,4,1,3
1651652782,"2022-05-04 08:26:22",0,147,3,2,0,12,3,4,1,3
1651652842,"2022-05-04 08:27:22",0,151,3,2,0,12,3,4,1,3
1651652902,"2022-05-04 08:28:22",0,149,3,2,0,12,3,4,1,3
1651652962,"2022-05-04 08:29:22",0,150,3,2,0,12,3,4,1,3
1651653022,"2022-05-04 08:30:22",0,149,3,2,0,12,3,4,1,3
1651653082,"2022-05-04 08:31:22",0,148,3,2,0,12,3,4,1,3
1651653142,"2022-05-04 08:32:22",0,149,3,2,0,12,3,4,1,3
1651653202,"2022-05-04 08:33:22",0,147,3,2,0,12,3,4,1,3
1651653262,"2022-05-04 08:34:22",0,148,3,2,0,12,3,4,1,3
1651653322,"2022-05-04 08:35:22",0,146,9.186064,2,0,12,9,4,1,3
1651653382,"2022-05-04 08:36:22",0,147,3,2,0,12,3,4,1,3
1651653442,"2022-05-04 08:37:22",0,147,3,2,0,12,3,4,1,3
1651653502,"2022-05-04 08:38:22",0,148,3,2,0,12,3,4,1,3
