EsdCode,EsdName,DistrictCode,SchoolCode,DistrictName,SchoolName,Subject,IndexAll,IndexAmericanIndian,IndexAsian,IndexBlack,IndexHispanic,IndexWhite,IndexPacificIslander,IndexTwoOrMoreRaces,IndexSpecialEd,IndexLtdEnglish,IndexLowIncome,MetTargetBeforeSHAll,MetTargetBeforeSHAmericanIndian,MetTargetBeforeSHAsian,MetTargetBeforeSHBlack,MetTargetBeforeSHHispanic,MetTargetBeforeSHWhite,MetTargetBeforeSHPacificIslander,MetTargetBeforeSHTwoOrMoreRaces,MetTargetBeforeSHSpecialEd,MetTargetBeforeSHLtdEnglish,MetTargetBeforeSHLowIncome,PreviousWeightedCEMetAll,PreviousWeightedCEMetAmericanIndian,PreviousWeightedCEMetAsian,PreviousWeightedCEMetBlack,PreviousWeightedCEMetHispanic,PreviousWeightedCEMetWhite,PreviousWeightedCEMetPACIFICISLANDER,PreviousWeightedCEMetTWOORMORERACES,PreviousWeightedCEMetSpecialEd,PreviousWeightedCEMetLtdEnglish,PreviousWeightedCEMetLowIncome,ReductionPercentAll,ReductionPercentAmericanIndian,ReductionPercentAsian,ReductionPercentBlack,ReductionPercentHispanic,ReductionPercentWhite,ReductionPercentPACIFICISLANDER,ReductionPercentTWOORMORERACES,ReductionPercentSpecialEd,ReductionPercentLtdEnglish,ReductionPercentLowIncome,Met10PercentFlagAll,Met10PercentFlagAmericanIndian,Met10PercentFlagAsian,Met10PercentFlagBlack,Met10PercentFlagHispanic,Met10PercentFlagWhite,Met10PercentFlagPACIFICISLANDER,Met10PercentFlagTWOORMORERACES,Met10PercentFlagSpecialEd,Met10PercentFlagLtdEnglish,Met10PercentFlagLowIncome,MetOtherIndicatorFlagAll,MetOtherIndicatorFlagAmericanIndian,MetOtherIndicatorFlagAsian,MetOtherIndicatorFlagBlack,MetOtherIndicatorFlagHispanic,MetOtherIndicatorFlagWhite,MetOtherIndicatorFlagPACIFICISLANDER,MetOtherIndicatorFlagTWOORMORERACES,MetOtherIndicatorFlagSpecialEd,MetOtherIndicatorFlagLtdEnglish,MetOtherIndicatorFlagLowIncome,MetTargetAfterSHFlagAll,MetTargetAfterSHFlagAmericanIndian,MetTargetAfterSHFlagAsian,MetTargetAfterSHFlagBlack,MetTargetAfterSHFlagHispanic,MetTargetAfterSHFlagWhite,MetTargetAfterSHFlagPACIFICISLANDER,MetTargetAfterSHFlagTWOORMORERACES,MetTargetAfterSHFlagSpecialEd,MetTargetAfterSHFlagLtdEnglish,MetTargetAfterSHFlagLowIncome
17801,Puget Sound Educational Service District 121,27403,3751,Bethel School District,Spanaway Middle School,Reading,,-50,-12.3,-24.9,-35,,-39.8,-1.4,,-78.8,,No,N<Required,No,No,No,No,N<Required,N<Required,No,N<Required,No,,71.4,,56,49.1,,,,,6.3,,,-162.5,,3.1,-6.3,,,,,0.4,,,false,false,false,false,,false,false,,false,,,,true,true,true,,true,true,,false,,No,N<Required,No,No,No,No,N<Required,N<Required,No,N<Required,No
39801,Educational Service District 105,20203,3392,Bickleton School District,Bickleton Elementary & High Schl,Math,,,,,-12.3,-7.7,,-25,0,,,No,N/A,N/A,N/A,N<Required,N<Required,N/A,N/A,N<Required,N/A,N/A,,,,,46.7,84.6,,,,,,,,,,0.7,-82,,,,,,,false,false,false,false,false,false,false,,false,false,,,,,,,,,,,,No,N/A,N/A,N/A,N<Required,N<Required,N/A,N<Required,N<Required,N/A,N/A
4801,North Central Educational Service District 171,24111,5272,Brewster School District,Brewster Alternative School,Math,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
29801,Northwest Educational Service District 189,37503,2713,Blaine School District,Blaine Elementary School,Math,-38,-2,0,-20.8,-31.8,-34.3,-100,-17.5,-43.2,-37.2,-43.4,No,N<Required,N<Required,N<Required,No,No,N<Required,N<Required,No,N<Required,No,61.9,28.6,,72.7,39.1,66.7,,,28.6,31.8,50.5,-25,16,,-97.4,-1.1,-34.9,,,5.9,4.3,-14.9,false,false,,false,false,false,false,false,false,false,false,false,true,true,true,false,true,true,true,false,true,false,No,N<Required,N<Required,N<Required,No,No,N<Required,N<Required,No,N<Required,No
29801,Northwest Educational Service District 189,37503,2713,Blaine School District,Blaine Elementary School,Reading,-21.5,0,0,-20.8,-10.2,-19,-27.5,-1,-37,-12.7,-21.8,No,N<Required,N<Required,N<Required,No,No,N<Required,N<Required,No,N<Required,No,78.4,,,72.7,71.7,80.4,,,36.5,59.1,69.4,-41.9,,,-69.2,-36.1,-49,,,2.2,-22.2,-14.6,false,,,false,false,false,false,false,false,false,false,false,true,true,true,false,true,true,true,false,true,false,No,N<Required,N<Required,N<Required,No,No,N<Required,N<Required,No,N<Required,No
29801,Northwest Educational Service District 189,37503,3136,Blaine School District,Blaine High School,Math,-12.2,0,0,0,-3.7,-8,0,-21.9,-82.8,0,-20.1,No,N<Required,N<Required,N<Required,N<Required,No,N<Required,N<Required,N<Required,N<Required,No,66.4,,,,40,71.6,,,33.3,,71.1,40.9,,,,51,43.5,,,-42.1,,-13.6,true,,,,true,true,,false,false,,false,false,,,,,false,,,,,false,No,N<Required,N<Required,N<Required,N<Required,No,N<Required,N<Required,N<Required,N<Required,No
29801,Northwest Educational Service District 189,37503,3136,Blaine School District,Blaine High School,Reading,-4.1,0,0,0,0,-0.9,-100,-2.4,-28.3,-100,-4.6,No,N<Required,N<Required,N<Required,N<Required,No,N<Required,N<Required,N<Required,N<Required,No,87.9,,,,,92.9,,,45.5,,81,18.5,,,,,10.1,,,-1.9,0,25,false,,,,,false,false,false,false,false,false,false,,,,,false,,,,,false,No,N<Required,N<Required,N<Required,N<Required,No,N<Required,N<Required,N<Required,N<Required,No
29801,Northwest Educational Service District 189,37503,5021,Blaine School District,Blaine Home Connections,Math,,,,-100,,,-100,-100,,,-60,No,N/A,N/A,N<Required,N/A,No,N<Required,N<Required,N/A,N/A,N<Required,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,,false,false,false,false,false,,,,,,,,,,,,No,N/A,N/A,N<Required,N/A,No,N<Required,N<Required,N/A,N/A,N<Required
29801,Northwest Educational Service District 189,37503,5021,Blaine School District,Blaine Home Connections,Reading,,0,,0,,,-50,0,,,-40,No,N<Required,N/A,N<Required,N/A,No,N<Required,N<Required,N/A,N/A,N<Required,,,,,,,,,,,,,,,,,,,,,,,,,false,,false,,false,,false,false,false,,,,,,,,,,,,No,N<Required,N/A,N<Required,N/A,No,N<Required,N<Required,N/A,N/A,N<Required
29801,Northwest Educational Service District 189,37503,3796,Blaine School District,Blaine Middle School,Math,-29.8,-50,0,-40,-24.2,-25.7,-12.9,-4.9,-57.2,-100,-34.9,No,N<Required,N<Required,N<Required,No,No,N<Required,N<Required,No,N<Required,No,63.9,50,,75,45.7,65.7,,,28.3,25,51.5,-6.9,-33.3,,-140,9.5,-4.4,,,-7.5,-33.3,1.2,false,false,,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,true,No,N<Required,N<Required,N<Required,No,No,N<Required,N<Required,No,N<Required,No
29801,Northwest Educational Service District 189,37503,3796,Blaine School District,Blaine Middle School,Reading,-15.7,-16.7,0,-20,-7.6,-13.6,-0.9,-1.4,-47.9,-28.3,-17.9,No,N<Required,N<Required,N<Required,No,No,N<Required,N<Required,No,N<Required,No,70.7,33.3,,66.7,58.7,72.6,,,18.9,25,60.8,20.3,75,,40,24.6,18.7,,,15.1,4.8,24.6,false,true,,true,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,true,No,N<Required,N<Required,N<Required,No,No,N<Required,N<Required,No,N<Required,No
29801,Northwest Educational Service District 189,37503,4459,Blaine School District,Point Roberts Primary,Math,0,,,,,0,,,,,0,N<Required,N/A,N/A,N/A,N/A,N<Required,N/A,N/A,N/A,N/A,N<Required,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,,false,false,false,false,,true,true,true,true,true,true,true,true,true,true,true,N<Required,N/A,N/A,N/A,N/A,N<Required,N/A,N/A,N/A,N/A,N<Required
29801,Northwest Educational Service District 189,37503,4459,Blaine School District,Point Roberts Primary,Reading,0,,,,,0,,,,,0,N<Required,N/A,N/A,N/A,N/A,N<Required,N/A,N/A,N/A,N/A,N<Required,,,,,100,,,,100,,,,,,,,,,,,,,,false,false,false,false,,false,false,false,false,,true,true,true,true,true,true,true,true,true,true,true,N<Required,N/A,N/A,N/A,N/A,N<Required,N/A,N/A,N/A,N/A,N<Required
34801,Educational Service District 113,21234,2516,Boistfort School District,Boistfort Elem,Math,,0,,,-20,,,,-62.5,,-15.6,No,N<Required,N/A,N/A,N<Required,No,N/A,N/A,N<Required,N/A,N<Required,,,,,20,,,,,,17.4,,,,,75,,,,25,,42.1,,,false,false,true,,false,false,false,false,true,,true,true,true,true,,true,true,true,true,true,Yes,N<Required,N/A,N/A,N<Required,Yes,N/A,N/A,N<Required,N/A,N<Required
34801,Educational Service District 113,21234,2516,Boistfort School District,Boistfort Elem,Reading,,0,,,-20,,,,-87.5,,-18.8,No,N<Required,N/A,N/A,N<Required,No,N/A,N/A,N<Required,N/A,N<Required,,,,,40,,,,,,34.8,,,,,66.7,,,,12.5,,26.7,,,false,false,true,,false,false,false,false,false,,true,true,true,true,,true,true,true,true,true,No,N<Required,N/A,N/A,N<Required,No,N/A,N/A,N<Required,N/A,N<Required
18801,Olympic Educational Service District 114,18100,3641,Bremerton School District,Armin Jahr Elementary,Math,-54.1,-40,-41.7,-53.8,-34.1,-47.1,-100,,-54.2,-100,-52.5,No,N<Required,N<Required,N<Required,No,No,N<Required,N<Required,No,N<Required,No,54,50,,36.4,55.3,53.8,,,13.6,14.3,49.3,-48.1,-20,,-8.8,-51.4,-47.1,,,9.6,-16.7,-34.2,false,false,false,false,false,false,false,,false,false,false,true,true,true,true,false,true,true,,false,true,false,No,N<Required,N<Required,N<Required,No,No,N<Required,No,No,N<Required,No
18801,Olympic Educational Service District 114,18100,3641,Bremerton School District,Armin Jahr Elementary,Reading,-25.6,-40,-16,-8.3,-16.7,-10.3,-50,,-37.7,-100,-24.6,No,N<Required,N<Required,N<Required,No,No,N<Required,N<Required,No,N<Required,No,54.5,50,,18.2,50,62.8,,,13.6,28.6,50,11.6,-20,,34.2,-3.2,17,,,23.7,-40,18.1,false,false,false,true,false,false,false,,false,false,false,true,true,true,true,false,true,true,,false,true,false,No,N<Required,N<Required,N<Required,No,No,N<Required,No,No,N<Required,No
18801,Olympic Educational Service District 114,18100,3109,Bremerton School District,Bremerton High School,Math,-16.8,0,0,-2.6,-15,-9.2,0,-12.2,-37.3,-45.5,-21.1,No,N<Required,N<Required,N<Required,No,No,N<Required,N<Required,N<Required,N<Required,No,63.7,,,19,62.8,70.3,,,23.1,25,54.9,36.6,,,55.1,16.4,43,,,23.8,-3.7,33.1,true,,,true,false,true,,false,false,false,true,false,,,,false,true,,false,false,,false,No,N<Required,N<Required,N<Required,No,Yes,N<Required,No,N<Required,N<Required,No
