esdcode,esdname,districtcode,schoolcode,districtname,schoolname,subject,indexall,indexamericanindian,indexasian,indexblack,indexhispanic,indexwhite,indexpacificislander,indextwoormoreraces,indexspecialed,indexltdenglish,indexlowincome,mettargetbeforeshall,mettargetbeforeshamerica,mettargetbeforeshasian,mettargetbeforeshblack,mettargetbeforeshhispanic,mettargetbeforeshwhite,mettargetbeforeshpacific,mettargetbeforeshtwoormo,mettargetbeforeshspecialed,mettargetbeforeshltdenglish,mettargetbeforeshlowincome,previousweightedcemetall,previousweightedcemetame,previousweightedcemetasian,previousweightedcemetblack,previousweightedcemethispanic,previousweightedcemetwhite,previousweightedcemetpac,previousweightedcemettwo,previousweightedcemetspecialed,previousweightedcemetltd,previousweightedcemetlowincome,reductionpercentall,reductionpercentamericanindian,reductionpercentasian,reductionpercentblack,reductionpercenthispanic,reductionpercentwhite,reductionpercentpacifici,reductionpercenttwoormoreraces,reductionpercentspecialed,reductionpercentltdenglish,reductionpercentlowincome,met10percentflagall,met10percentflagamericanindian,met10percentflagasian,met10percentflagblack,met10percentflaghispanic,met10percentflagwhite,met10percentflagpacifici,met10percentflagtwoormoreraces,met10percentflagspecialed,met10percentflagltdenglish,met10percentflaglowincome,metotherindicatorflagall,metotherindicatorflagame,metotherindicatorflagasian,metotherindicatorflagblack,metotherindicatorflaghispanic,metotherindicatorflagwhite,metotherindicatorflagpac,metotherindicatorflagtwo,metotherindicatorflagspecialed,metotherindicatorflagltd,metotherindicatorflaglowincome,mettargetaftershflagall,mettargetaftershflagamer,mettargetaftershflagasian,mettargetaftershflagblack,mettargetaftershflaghispanic,mettargetaftershflagwhite,mettargetaftershflagpaci,mettargetaftershflagtwoo,mettargetaftershflagspecialed,mettargetaftershflagltdenglish,mettargetaftershflaglowincome
32801,Educational Service District 101,22073,2863,Creston School District,Creston Jr-Sr High School,Reading,0,-100,,,,0,,0,-2.5,,0,N<Required,N<Required,N/A,N/A,N/A,N<Required,N/A,N/A,N<Required,N/A,N<Required,,,,,,,,,100,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,N<Required,N<Required,N/A,N/A,N/A,N<Required,N/A,N<Required,N<Required,N/A,N<Required
29801,Northwest Educational Service District 189,37501,2261,Bellingham School District,Larrabee Elementary School,Reading,-5.5,0,0,-100,-8.9,,,-100,-23,-100,-11.9,No,N<Required,N<Required,N<Required,N<Required,No,N/A,N/A,N<Required,N<Required,No,83.3,,,50,66.7,,,,33.3,33.3,65.8,-40,,,-100,-36.4,,,,4.5,-50,-27.4,FALSE,,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,No,N<Required,N<Required,N<Required,N<Required,No,N/A,N<Required,N<Required,N<Required,No
29801,Northwest Educational Service District 189,37501,2225,Bellingham School District,Lowell Elementary School,Reading,,,0,0,0,,,-14.3,0,-100,0,Yes,N/A,N<Required,N<Required,N<Required,Yes,N/A,N/A,N<Required,N<Required,N<Required,,100,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,FALSE,FALSE,,FALSE,,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,Yes,N/A,N<Required,N<Required,N<Required,Yes,N/A,N<Required,N<Required,N<Required,N<Required
29801,Northwest Educational Service District 189,37501,4571,Bellingham School District,Northern Heights Elementary Schl,Reading,-17,0,0,-100,,-13.2,,-5.3,,-41,-24.6,No,N<Required,N<Required,N<Required,No,No,N/A,N/A,No,N<Required,No,66,,,87.5,,65.4,,,,33.3,48.5,14.2,,,-700,,19.8,,,,-14.7,7,FALSE,,,FALSE,,FALSE,FALSE,FALSE,,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,No,N<Required,N<Required,N<Required,Yes,No,N/A,N<Required,No,N<Required,No
29801,Northwest Educational Service District 189,37501,1647,Bellingham School District,Options High School,Reading,-13.2,,,,0,-8.8,,,-100,,-17,N<Required,N/A,N/A,N/A,N<Required,N<Required,N/A,N/A,N<Required,N/A,N<Required,66.7,,,,,100,,,,,50,-50,,,,,,,,0,,-11.1,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,N<Required,N/A,N/A,N/A,N<Required,N<Required,N/A,N/A,N<Required,N/A,N<Required
29801,Northwest Educational Service District 189,37501,3202,Bellingham School District,Parkview Elementary School,Reading,-7.9,-100,0,-33.3,-18,,,-22.2,-60.8,0,-13.2,No,N<Required,N<Required,N<Required,N<Required,No,N/A,N/A,N<Required,N<Required,No,70.1,16.7,,66.7,53.3,,,,28.6,,50,20.7,-20,,-100,-16.9,,,,-19,,8.1,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,No,N<Required,N<Required,N<Required,N<Required,Yes,N/A,N<Required,N<Required,N<Required,No
29801,Northwest Educational Service District 189,37501,2067,Bellingham School District,Roosevelt Elementary School,Reading,-20.8,0,0,-25,,-14.9,,0,-53.3,-20.6,-23.3,No,N<Required,N<Required,N<Required,No,No,N/A,N/A,N<Required,N<Required,No,65.7,,,62.5,,74.2,,,28.6,40,57.7,1.3,,,33.3,,-18.8,,,-16.7,-1.4,1.3,FALSE,,,TRUE,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,No,N<Required,N<Required,N<Required,No,No,N/A,N<Required,N<Required,N<Required,No
29801,Northwest Educational Service District 189,37501,3576,Bellingham School District,Sehome High School,Reading,,0,0,,0,,0,0,-9.6,0,,No,N<Required,N<Required,N/A,N<Required,No,N<Required,N<Required,N<Required,N<Required,No,,,,83.3,,,,,50,,,,,,,,,,,33.3,,,,,,FALSE,,,,,TRUE,,,,,,,,,,,,,,No,N<Required,N<Required,N/A,N<Required,No,N<Required,N<Required,N<Required,N<Required,No
29801,Northwest Educational Service District 189,37501,3201,Bellingham School District,Shuksan Middle School,Reading,-26.7,-34.3,,-11.1,-24.5,-23.4,0,,-59.1,-63.9,-33.2,No,N<Required,No,N<Required,No,No,N<Required,N<Required,No,No,No,64.5,37.5,,70.4,46,71.9,,,23,8.8,53.9,2.3,-24.4,,-12.5,24.7,-21.6,,,1,6,4.9,FALSE,FALSE,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,No,N<Required,No,N<Required,No,No,N<Required,No,No,No,No
29801,Northwest Educational Service District 189,37501,2175,Bellingham School District,Silver Beach Elementary School,Reading,-6.9,0,0,-100,-8.8,-5.8,,0,-12.8,-75,-9.9,No,N<Required,N<Required,N<Required,N<Required,No,N/A,N/A,No,N<Required,No,81.4,,,80,92.9,81.3,,,40.6,66.7,74.5,10.8,,,-400,-273.3,10.9,,,27.8,-125,-10.1,FALSE,,,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,No,N<Required,N<Required,N<Required,N<Required,No,N/A,N<Required,Yes,N<Required,No
