esdcode,esdname,districtcode,schoolcode,districtname,schoolname,subject,indexall,indexamericanindian,indexasian,indexblack,indexhispanic,indexwhite,indexpacificislander,indextwoormoreraces,indexspecialed,indexltdenglish,indexlowincome,mettargetbeforeshall,mettargetbeforeshamerica,mettargetbeforeshasian,mettargetbeforeshblack,mettargetbeforeshhispanic,mettargetbeforeshwhite,mettargetbeforeshpacific,mettargetbeforeshtwoormo,mettargetbeforeshspecialed,mettargetbeforeshltdenglish,mettargetbeforeshlowincome,previousweightedcemetall,previousweightedcemetame,previousweightedcemetasian,previousweightedcemetblack,previousweightedcemethispanic,previousweightedcemetwhite,previousweightedcemetpac,previousweightedcemettwo,previousweightedcemetspecialed,previousweightedcemetltd,previousweightedcemetlowincome,reductionpercentall,reductionpercentamericanindian,reductionpercentasian,reductionpercentblack,reductionpercenthispanic,reductionpercentwhite,reductionpercentpacifici,reductionpercenttwoormoreraces,reductionpercentspecialed,reductionpercentltdenglish,reductionpercentlowincome,met10percentflagall,met10percentflagamericanindian,met10percentflagasian,met10percentflagblack,met10percentflaghispanic,met10percentflagwhite,met10percentflagpacifici,met10percentflagtwoormoreraces,met10percentflagspecialed,met10percentflagltdenglish,met10percentflaglowincome,metotherindicatorflagall,metotherindicatorflagame,metotherindicatorflagasian,metotherindicatorflagblack,metotherindicatorflaghispanic,metotherindicatorflagwhite,metotherindicatorflagpac,metotherindicatorflagtwo,metotherindicatorflagspecialed,metotherindicatorflagltd,metotherindicatorflaglowincome,mettargetaftershflagall,mettargetaftershflagamer,mettargetaftershflagasian,mettargetaftershflagblack,mettargetaftershflaghispanic,mettargetaftershflagwhite,mettargetaftershflagpaci,mettargetaftershflagtwoo,mettargetaftershflagspecialed,mettargetaftershflagltdenglish,mettargetaftershflaglowincome
39801,Educational Service District 105,39090,4487,East Valley School District (Yakima),East Valley Elementary,Math,-30.7,0,-100,0,,-21.6,,0,,-18.3,-36.3,No,N<Required,N<Required,N<Required,No,No,N/A,N/A,No,N<Required,No,46.3,,,,,48,,,,15.4,34,17.6,,,,,25.6,,,,21.2,18.7,FALSE,,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,No,N<Required,N<Required,N<Required,No,Yes,N/A,N<Required,No,N<Required,No
39801,Educational Service District 105,39090,2344,East Valley School District (Yakima),East Valley High School,Math,-23.4,-100,-100,0,,-20.5,,0,-100,-5.8,-28.8,No,N<Required,N<Required,N<Required,No,No,N/A,N/A,N<Required,N<Required,No,58.7,66.7,,,,64.1,,,16.7,33.3,40.8,25.5,-200,,,,15.7,,,-20,33.3,32.8,FALSE,FALSE,FALSE,,,FALSE,FALSE,,FALSE,TRUE,TRUE,FALSE,,,,,TRUE,,,,,FALSE,No,N<Required,N<Required,N<Required,No,No,N/A,N<Required,N<Required,N<Required,No
39801,Educational Service District 105,39090,2530,East Valley School District (Yakima),Moxee Elementary,Math,-20,-27.5,0,0,-20.1,,-100,0,-37.8,-18.2,-21,No,N<Required,N<Required,N<Required,No,No,N<Required,N<Required,N<Required,No,No,39,,,,30.3,,,,16.1,7.8,29.9,47.8,25,,,48.1,,,,16.1,55,48.3,TRUE,TRUE,,,TRUE,,FALSE,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,Yes,N<Required,N<Required,N<Required,Yes,Yes,N<Required,N<Required,N<Required,Yes,Yes
39801,Educational Service District 105,39090,2821,East Valley School District (Yakima),Terrace Heights Elementary,Math,-24,0,0,0,,-16.8,,,,-100,-25.9,No,N<Required,N<Required,N<Required,No,No,N/A,N/A,No,N<Required,No,52.1,,,,,52.7,,,,12.5,46.1,21.1,,,,,30.5,,,,-14.3,16.2,TRUE,,,,,TRUE,FALSE,FALSE,,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,Yes,N<Required,N<Required,N<Required,No,Yes,N/A,N/A,No,N<Required,No
4801,North Central Educational Service District 171,9206,3659,Eastmont School District,Cascade Elementary,Math,,-66.7,-100,-100,,,,-50,,-72.6,-33.8,No,N<Required,N<Required,N<Required,No,No,N/A,N/A,No,N<Required,No,,,,,,,,,,9.5,45.5,,,,,,,,,,4.7,3.2,,FALSE,FALSE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,TRUE,TRUE,TRUE,,,TRUE,TRUE,,TRUE,TRUE,No,N<Required,N<Required,N<Required,No,No,N/A,N<Required,No,N<Required,No
4801,North Central Educational Service District 171,9206,4590,Eastmont School District,Clovis Point,Math,-31.9,0,-3.9,0,-41.6,,0,0,-74.1,-72.6,-43.1,No,N<Required,N<Required,N<Required,No,No,N<Required,N<Required,No,No,No,55,,,,45.2,,,,8.8,19.6,46.5,15.3,,,,6.5,,,,5.3,-5,3.9,FALSE,,FALSE,,FALSE,,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,No,N<Required,N<Required,N<Required,No,No,N<Required,N<Required,No,No,No
4801,North Central Educational Service District 171,9206,3372,Eastmont School District,Eastmont Junior High,Math,,0,0,-3.3,,-32.9,,-25.1,,-75.3,,No,N<Required,N<Required,N<Required,No,No,N/A,N/A,No,No,No,,,,,,42.9,,,,2.8,,,,,,,29,,,,9.2,,,,,FALSE,,TRUE,FALSE,FALSE,,FALSE,,,,,,,TRUE,,,,TRUE,,No,N<Required,N<Required,N<Required,No,Yes,N/A,N<Required,No,No,No
17801,Puget Sound Educational Service District 121,17414,1804,Lake Washington School District,Futures School,Math,0,0,,,,0,,,,,,N<Required,N<Required,N/A,N/A,N/A,N<Required,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,N<Required,N<Required,N/A,N/A,N/A,N<Required,N/A,N/A,N/A,N/A,N/A
4801,North Central Educational Service District 171,9206,2727,Eastmont School District,Eastmont Senior High,Math,,0,0,0,-28.1,,-100,-0.1,-62.1,-43.7,,No,N<Required,N<Required,N<Required,No,No,N<Required,N<Required,No,N<Required,No,,,,,35.4,,,,9.7,13.9,,,,,,43.4,,,,14.2,24.1,,,,,,TRUE,,FALSE,FALSE,FALSE,FALSE,,,,,,FALSE,,,,TRUE,FALSE,,Yes,N<Required,N<Required,N<Required,No,Yes,N<Required,N<Required,No,N<Required,No
4801,North Central Educational Service District 171,9206,2966,Eastmont School District,Grant Elementary School,Math,-39.2,,0,0,,,,0,-44.7,-63,-44.6,No,N/A,N<Required,N<Required,No,No,N/A,N/A,N<Required,No,No,57.7,,,,,,,,26.3,32.7,48.1,-23.2,,,,,,,,-3.1,-19.3,-15.6,FALSE,FALSE,,,,,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,TRUE,TRUE,No,N/A,N<Required,N<Required,No,No,N/A,N<Required,N<Required,No,No
