EsdCode,EsdName,DistrictCode,SchoolCode,DistrictName,SchoolName,Subject,IndexAll,IndexAmericanIndian,IndexAsian,IndexBlack,IndexHispanic,IndexWhite,IndexPacificIslander,IndexTwoOrMoreRaces,IndexSpecialEd,IndexLtdEnglish,IndexLowIncome,MetTargetAll,MetTargetAmericanIndian,MetTargetAsian,MetTargetBlack,MetTargetHispanic,MetTargetWhite,MetTargetPacificIslander,MetTargetTwoOrMoreRaces,MetTargetSpecialEd,MetTargetLtdEnglish,MetTargetLowIncome
17801,Puget Sound Educational Service District 121,27010,2871,Tacoma School District,Edison,Math,-55.5,,0,-59.5,-53.5,-43.4,-22.2,-50.6,,-53.9,-55.9,No,N<Required,N<Required,No,No,No,N<Required,N<Required,No,No,No
17801,Puget Sound Educational Service District 121,27010,2871,Tacoma School District,Edison,Reading,-47.2,,-14.1,-48.4,-32.8,-33.6,0,-24.1,,-53.8,-45.7,No,N<Required,N<Required,No,No,No,N<Required,N<Required,No,No,No
17801,Puget Sound Educational Service District 121,27010,2772,Tacoma School District,Fawcett,Math,-35.9,-2.4,-2.1,-17.6,-32,-25.2,-19.6,-42.8,-60.1,-45.5,-43.8,No,N<Required,N<Required,N<Required,No,No,N<Required,N<Required,No,N<Required,No
17801,Puget Sound Educational Service District 121,27010,2772,Tacoma School District,Fawcett,Reading,-41.8,-75,-18.8,-58,-33.3,-24.7,-19.6,-28.5,,-59.2,-49.3,No,N<Required,N<Required,N<Required,No,No,N<Required,N<Required,No,N<Required,No
17801,Puget Sound Educational Service District 121,27010,2167,Tacoma School District,Fern Hill,Math,-33.5,,-11.2,-0.5,-40.2,-12.3,-62.5,-22.2,-73.9,,-35.8,No,N/A,N<Required,N<Required,No,No,N<Required,N<Required,N<Required,No,No
17801,Puget Sound Educational Service District 121,27010,2167,Tacoma School District,Fern Hill,Reading,-28.3,,-6.3,-17.6,-29.1,-10.2,-62.5,-22.2,-73.9,,-32.4,No,N/A,N<Required,N<Required,No,No,N<Required,N<Required,N<Required,No,No
17801,Puget Sound Educational Service District 121,27010,5170,Tacoma School District,First Creek Middle School,Math,-63.9,-9.9,-36.8,-65,-68.3,-50,,-50.6,,-79.7,-66.8,No,N<Required,No,No,No,No,No,No,No,No,No
17801,Puget Sound Educational Service District 121,27010,5170,Tacoma School District,First Creek Middle School,Reading,-59.6,-9.9,-38.2,-62.6,-63.3,-36.9,,-24.2,,,-62.5,No,N<Required,No,No,No,No,No,No,No,No,No
17801,Puget Sound Educational Service District 121,27010,3880,Tacoma School District,Foss,Math,,,,,,,,,-87.8,,,No,N<Required,N<Required,No,No,No,N<Required,N<Required,N<Required,N<Required,No
17801,Puget Sound Educational Service District 121,27010,3880,Tacoma School District,Foss,Reading,,,,,,,,,,,,No,N<Required,N<Required,No,No,No,N<Required,N<Required,N<Required,N<Required,No
