EsdCode,EsdName,DistrictCode,SchoolCode,DistrictName,SchoolName,Subject,IndexAll,IndexAmericanIndian,IndexAsian,IndexBlack,IndexHispanic,IndexWhite,IndexPacificIslander,IndexTwoOrMoreRaces,IndexSpecialEd,IndexLtdEnglish,IndexLowIncome,MetTargetBeforeSHAll,MetTargetBeforeSHAmericanIndian,MetTargetBeforeSHAsian,MetTargetBeforeSHBlack,MetTargetBeforeSHHispanic,MetTargetBeforeSHWhite,MetTargetBeforeSHPacificIslander,MetTargetBeforeSHTwoOrMoreRaces,MetTargetBeforeSHSpecialEd,MetTargetBeforeSHLtdEnglish,MetTargetBeforeSHLowIncome,PreviousWeightedCEMetAll,PreviousWeightedCEMetAmericanIndian,PreviousWeightedCEMetAsian,PreviousWeightedCEMetBlack,PreviousWeightedCEMetHispanic,PreviousWeightedCEMetWhite,PreviousWeightedCEMetPACIFICISLANDER,PreviousWeightedCEMetTWOORMORERACES,PreviousWeightedCEMetSpecialEd,PreviousWeightedCEMetLtdEnglish,PreviousWeightedCEMetLowIncome,ReductionPercentAll,ReductionPercentAmericanIndian,ReductionPercentAsian,ReductionPercentBlack,ReductionPercentHispanic,ReductionPercentWhite,ReductionPercentPACIFICISLANDER,ReductionPercentTWOORMORERACES,ReductionPercentSpecialEd,ReductionPercentLtdEnglish,ReductionPercentLowIncome,Met10PercentFlagAll,Met10PercentFlagAmericanIndian,Met10PercentFlagAsian,Met10PercentFlagBlack,Met10PercentFlagHispanic,Met10PercentFlagWhite,Met10PercentFlagPACIFICISLANDER,Met10PercentFlagTWOORMORERACES,Met10PercentFlagSpecialEd,Met10PercentFlagLtdEnglish,Met10PercentFlagLowIncome,MetOtherIndicatorFlagAll,MetOtherIndicatorFlagAmericanIndian,MetOtherIndicatorFlagAsian,MetOtherIndicatorFlagBlack,MetOtherIndicatorFlagHispanic,MetOtherIndicatorFlagWhite,MetOtherIndicatorFlagPACIFICISLANDER,MetOtherIndicatorFlagTWOORMORERACES,MetOtherIndicatorFlagSpecialEd,MetOtherIndicatorFlagLtdEnglish,MetOtherIndicatorFlagLowIncome,MetTargetAfterSHFlagAll,MetTargetAfterSHFlagAmericanIndian,MetTargetAfterSHFlagAsian,MetTargetAfterSHFlagBlack,MetTargetAfterSHFlagHispanic,MetTargetAfterSHFlagWhite,MetTargetAfterSHFlagPACIFICISLANDER,MetTargetAfterSHFlagTWOORMORERACES,MetTargetAfterSHFlagSpecialEd,MetTargetAfterSHFlagLtdEnglish,MetTargetAfterSHFlagLowIncome
17801,Puget Sound Educational Service District 121,27010,2094,Tacoma School District,Blix Elementary,Reading,-35,-100,-8,,-32.6,-17.1,0,0,-44.3,,-36.6,No,N<Required,N<Required,No,No,No,N<Required,N<Required,N<Required,No,No,45.3,25,,,30.8,44.2,,,,,42.7,9.5,-33.3,,,17.1,21.8,,,23.1,,9.1,FALSE,FALSE,FALSE,,FALSE,FALSE,,,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,No,N<Required,N<Required,No,No,No,N<Required,N<Required,N<Required,No,No
17801,Puget Sound Educational Service District 121,27010,3646,Tacoma School District,Boze,Math,-39.8,-39.7,-14.3,,-28.7,-4.4,-1.2,,-83.5,,-42.2,No,N<Required,N<Required,No,No,N<Required,N<Required,N<Required,N<Required,No,No,35.2,100,,,25.5,35.5,,,8,,32.2,14,,,,25.4,31.8,,,-3,,13.4,FALSE,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,No,N<Required,N<Required,No,No,N<Required,N<Required,N/A,N<Required,No,No
17801,Puget Sound Educational Service District 121,27010,3646,Tacoma School District,Boze,Reading,-28.1,-20,-1.1,,-22.9,-13.6,0,,-50.9,,-28.9,No,N<Required,N<Required,No,No,N<Required,N<Required,N<Required,N<Required,No,No,44.4,100,,,43.1,38.7,,,12,,41.8,21.3,,,,12.1,15.4,,,4.3,,21.8,FALSE,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,No,N<Required,N<Required,No,No,N<Required,N<Required,N/A,N<Required,Yes,No
17801,Puget Sound Educational Service District 121,27010,2872,Tacoma School District,Browns Point,Math,-11.7,-100,0,-9.3,0,-9.2,0,0,-27.3,-50,-13.3,No,N<Required,N<Required,N<Required,N<Required,No,N<Required,N<Required,No,N<Required,No,74.5,100,,60,,79.3,,,37.8,25,50.9,12.6,,,-14.6,,-3.7,,,9.1,33.3,24.6,FALSE,FALSE,,FALSE,,FALSE,,,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,No,N<Required,N<Required,N<Required,N<Required,No,N<Required,N<Required,No,N<Required,No
17801,Puget Sound Educational Service District 121,27010,2872,Tacoma School District,Browns Point,Reading,-8.6,0,0,-2.9,0,-6.3,-25,0,-22.7,-50,-4.9,No,N<Required,N<Required,N<Required,N<Required,No,N<Required,N<Required,No,N<Required,No,80,,,80,,83,,,45.9,25,56.4,7,,,-87.5,,-5.8,,,3.5,33.3,32.1,FALSE,,,FALSE,,FALSE,FALSE,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,No,N<Required,N<Required,N<Required,N<Required,No,N<Required,N<Required,No,N<Required,Yes
17801,Puget Sound Educational Service District 121,27010,3397,Tacoma School District,Bryant,Math,-30.3,-50,0,,-37.5,,-100,-31.8,,-100,-37.7,No,N<Required,N<Required,No,N<Required,No,N<Required,N<Required,No,N<Required,No,46.6,66.7,,,53.3,,,,,,30.3,8.5,-50,,,-20.5,,,,,0,12.3,FALSE,FALSE,,,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,,FALSE,FALSE,No,N<Required,N<Required,No,N<Required,No,N<Required,N<Required,No,N<Required,No
17801,Puget Sound Educational Service District 121,27010,3397,Tacoma School District,Bryant,Reading,-17.9,-50,0,,-31.3,,-50,0,,-66.7,-19.5,No,N<Required,N<Required,No,N<Required,No,N<Required,N<Required,No,N<Required,No,61.1,66.7,,,53.3,,,,,,50,8.9,-50,,,19.6,,,,,33.3,13,FALSE,FALSE,,,FALSE,,FALSE,,,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,,FALSE,FALSE,No,N<Required,N<Required,No,N<Required,No,N<Required,N<Required,No,N<Required,No
17801,Puget Sound Educational Service District 121,27010,4537,Tacoma School District,Crescent Heights,Math,-12.4,,0,-2.5,-7.7,-8.4,-22.2,-20,-46.6,-13.5,-7,No,N/A,N<Required,N<Required,N<Required,No,N<Required,N<Required,N<Required,N<Required,No,74.8,,,56.5,30,76.3,,,33.3,,59,5.3,,,12.4,41.2,3.8,,,-3.1,37.5,30.3,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,No,N/A,N<Required,N<Required,N<Required,No,N<Required,N<Required,N<Required,N<Required,Yes
17801,Puget Sound Educational Service District 121,27010,4537,Tacoma School District,Crescent Heights,Reading,-11.6,,0,0,-7.7,-6.1,0,0,-8.7,-1.2,-9.8,No,N/A,N<Required,N<Required,N<Required,No,N<Required,N<Required,N<Required,N<Required,No,74.8,100,,,40,73.3,,,26.7,,49.2,8.9,,,,31.4,25.6,,,23.3,50,41,FALSE,FALSE,,,TRUE,FALSE,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,No,N/A,N<Required,N<Required,N<Required,No,N<Required,N<Required,N<Required,N<Required,Yes
17801,Puget Sound Educational Service District 121,27010,1797,Tacoma School District,Day Reporting School,Math,0,,,,,0,,,,,0,N<Required,N/A,N/A,N/A,N/A,N<Required,N/A,N/A,N/A,N/A,N<Required,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,N<Required,N/A,N/A,N/A,N/A,N<Required,N/A,N/A,N/A,N/A,N<Required
