"esdcode","esdname","districtcode","schoolcode","districtname","schoolname","subject","indexall","indexamericanindian","indexasian","indexblack","indexhispanic","indexwhite","indexspecialed","indexltdenglish","indexlowincome","mettargetbeforeshall","mettargetbeforeshamerica","mettargetbeforeshasian","mettargetbeforeshblack","mettargetbeforeshhispanic","mettargetbeforeshwhite","mettargetbeforeshspecialed","mettargetbeforeshltdenglish","mettargetbeforeshlowincome","previousweightedcemetall","previousweightedcemetame","previousweightedcemetasian","previousweightedcemetblack","previousweightedcemethispanic","previousweightedcemetwhite","previousweightedcemetspecialed","previousweightedcemetltd","previousweightedcemetlowincome","reductionpercentall","reductionpercentamericanindian","reductionpercentasian","reductionpercentblack","reductionpercenthispanic","reductionpercentwhite","reductionpercentspecialed","reductionpercentltdenglish","reductionpercentlowincome","met10percentflagall","met10percentflagamericanindian","met10percentflagasian","met10percentflagblack","met10percentflaghispanic","met10percentflagwhite","met10percentflagspecialed","met10percentflagltdenglish","met10percentflaglowincome","metotherindicatorflagall","metotherindicatorflagame","metotherindicatorflagasian","metotherindicatorflagblack","metotherindicatorflaghispanic","metotherindicatorflagwhite","metotherindicatorflagspecialed","metotherindicatorflagltd","metotherindicatorflaglowincome","mettargetaftershflagall","mettargetaftershflagamer","mettargetaftershflagasian","mettargetaftershflagblack","mettargetaftershflaghispanic","mettargetaftershflagwhite","mettargetaftershflagspecialed","mettargetaftershflagltdenglish","mettargetaftershflaglowincome"
"34801","Educational Service District 113","14005","2834","Aberdeen School District","A J West Elementary","Math","7.9",,,,,,,,"9.9","Yes","N<Required","N<Required","N<Required","Yes","Yes","N<Required","N<Required","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","N<Required","N<Required","N<Required","Yes","Yes","N<Required","N<Required","Yes"
"34801","Educational Service District 113","14005","2834","Aberdeen School District","A J West Elementary","Reading","8.6",,,,,,,,"9.4","Yes","N<Required","N<Required","N<Required","Yes","Yes","N<Required","N<Required","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","N<Required","N<Required","N<Required","Yes","Yes","N<Required","N<Required","Yes"
"34801","Educational Service District 113","14005","3216","Aberdeen School District","Central Park Elementary","Math","3.4",,,,,,,,,"Yes","N<Required","N<Required","N<Required","N<Required","Yes","N<Required","N<Required","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","N<Required","N<Required","N<Required","N<Required","Yes","N<Required","N<Required","No"
"34801","Educational Service District 113","14005","3216","Aberdeen School District","Central Park Elementary","Reading","11.9",,,,,,,,,"Yes","N<Required","N<Required","N<Required","N<Required","Yes","N<Required","N<Required","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","N<Required","N<Required","N<Required","N<Required","Yes","N<Required","N<Required","Yes"
"34801","Educational Service District 113","14005","3857","Aberdeen School District","Harbor High School","Math",,,,,,,,,"-33.1","N<Required","N<Required","N<Required","N<Required","N<Required","N<Required","N<Required","N/A","N<Required",,,,,,,,,"6.3",,,,,,,,,"3",,,"false","false",,,,,"false",,,"true","true",,,,,"false","N<Required","N<Required","N<Required","N<Required","N<Required","N<Required","N<Required","N/A","N<Required"
"34801","Educational Service District 113","14005","3857","Aberdeen School District","Harbor High School","Reading","-3",,,,,,,,"-4.1","N<Required","N<Required","N<Required","N<Required","N<Required","N<Required","N<Required","N/A","N<Required","59.3",,,"50",,,,,"59.1","-27.6",,,,,,,,"-55.6","false",,"false","false",,,,,"false","false",,"true","true",,,,,"false","N<Required","N<Required","N<Required","N<Required","N<Required","N<Required","N<Required","N/A","N<Required"
"34801","Educational Service District 113","14005","3476","Aberdeen School District","J M Weatherwax High School","Math","-20.7",,,,"-41.6","-12.8",,,"-37.5","No","N<Required","N<Required","N<Required","No","No","N<Required","N<Required","No","40.4",,,,"16","44.7",,,"22.7","-10.9",,,,"-8.2","-8.5",,,"-11.6","false",,,,"false","false",,,"false","true",,,,"true","true",,,"true","No","N<Required","N<Required","N<Required","No","No","N<Required","N<Required","No"
"34801","Educational Service District 113","14005","3476","Aberdeen School District","J M Weatherwax High School","Reading","7.1",,,,"4.7","11.4","-49.9","6.2","2.6","Yes","N<Required","N<Required","N<Required","Yes","Yes","N<Required","N<Required","Yes",,,,,,,"21.4",,,,,,,,,"-15.2",,,,,,,,,"false",,,,,,,,,"false","true",,"Yes","N<Required","N<Required","N<Required","Yes","Yes","N<Required","N<Required","Yes"
"34801","Educational Service District 113","14005","2449","Aberdeen School District","McDermoth Elementary","Math","6.3",,,,,"13.5",,,"-1.2","Yes","N<Required","N<Required","N<Required","Yes","Yes","No","N<Required","No",,,,,,,,,"33.3",,,,,,,,,"11.1",,,,,,,,,"true",,,,,,,,,"true","Yes","N<Required","N<Required","N<Required","Yes","Yes","Yes","N<Required","Yes"
"34801","Educational Service District 113","14005","2449","Aberdeen School District","McDermoth Elementary","Reading","8.3",,,,,"14.9",,,"5.7","Yes","N<Required","N<Required","N<Required","Yes","Yes","No","N<Required","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","N<Required","N<Required","N<Required","Yes","Yes","No","N<Required","Yes"
"34801","Educational Service District 113","14005","2305","Aberdeen School District","Miller Junior High","Math","-4.6",,,,"-28.9","3.8",,,"-16.1","No","N<Required","N<Required","N<Required","No","Yes","No","N<Required","No","48.2",,,,"32.9",,,,"33.9","-3.2",,,,"-24.5",,,,"-1.2","false",,,,"false",,,,"false","true",,,,"true",,,,"true","No","N<Required","N<Required","N<Required","No","Yes","No","N<Required","No"
"34801","Educational Service District 113","14005","2305","Aberdeen School District","Miller Junior High","Reading","-3",,,,"-10.4","2.2","-38.1",,"-13.3","No","N<Required","N<Required","N<Required","No","Yes","No","N<Required","No","58.3",,,,"44.3",,"14",,"44.6","-9",,,,"-12",,"-3.1",,"-5.1","false",,,,"false",,"false",,"false","true",,,,"true",,"true",,"true","No","N<Required","N<Required","N<Required","No","Yes","No","N<Required","No"
