"esdcode","esdname","districtcode","schoolcode","districtname","schoolname","subject","indexall","indexamericanindian","indexasian","indexblack","indexhispanic","indexwhite","indexspecialed","indexltdenglish","indexlowincome","mettargetbeforeshall","mettargetbeforeshamerica","mettargetbeforeshasian","mettargetbeforeshblack","mettargetbeforeshhispanic","mettargetbeforeshwhite","mettargetbeforeshspecialed","mettargetbeforeshltdenglish","mettargetbeforeshlowincome","previousweightedcemetall","previousweightedcemetame","previousweightedcemetasian","previousweightedcemetblack","previousweightedcemethispanic","previousweightedcemetwhite","previousweightedcemetspecialed","previousweightedcemetltd","previousweightedcemetlowincome","reductionpercentall","reductionpercentamericanindian","reductionpercentasian","reductionpercentblack","reductionpercenthispanic","reductionpercentwhite","reductionpercentspecialed","reductionpercentltdenglish","reductionpercentlowincome","met10percentflagall","met10percentflagamericanindian","met10percentflagasian","met10percentflagblack","met10percentflaghispanic","met10percentflagwhite","met10percentflagspecialed","met10percentflagltdenglish","met10percentflaglowincome","metotherindicatorflagall","metotherindicatorflagame","metotherindicatorflagasian","metotherindicatorflagblack","metotherindicatorflaghispanic","metotherindicatorflagwhite","metotherindicatorflagspecialed","metotherindicatorflagltd","metotherindicatorflaglowincome","mettargetaftershflagall","mettargetaftershflagamer","mettargetaftershflagasian","mettargetaftershflagblack","mettargetaftershflaghispanic","mettargetaftershflagwhite","mettargetaftershflagspecialed","mettargetaftershflagltdenglish","mettargetaftershflaglowincome"
"34801","Educational Service District 113","14005","2834","Aberdeen School District","A J West Elementary","Math","15.81",,,,,"23.67",,,"16.98","true","N<Required","N<Required","N<Required","Yes","true","N<Required","N<Required","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true","N<Required","N<Required","N<Required","Yes","true","N<Required","N<Required","true"
"34801","Educational Service District 113","14005","2834","Aberdeen School District","A J West Elementary","Reading","11.01",,,,,"19.5",,,"10.93","true","N<Required","N<Required","N<Required","Yes","true","N<Required","N<Required","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true","N<Required","N<Required","N<Required","Yes","true","N<Required","N<Required","true"
"34801","Educational Service District 113","14005","3476","Aberdeen School District","J M Weatherwax High School","Math","4.38",,,,"-25.16","10.39",,,"-8.15","true","N<Required","N<Required","N<Required","N<Required","true","N<Required","N<Required","false",,,,,"30",,,,"32.18",,,,,"-32.65",,,,"-10.22",,,,,"false",,,,"false",,,,,"true",,,,"true","true","N<Required","N<Required","N<Required","N<Required","true","N<Required","N<Required","false"
"34801","Educational Service District 113","14005","3476","Aberdeen School District","J M Weatherwax High School","Reading","16.7",,,,"1.18","21.73","-29.62","-25.41","9.9","true","N<Required","N<Required","N<Required","N<Required","true","N<Required","N<Required","true",,,,,,,"22.22","40",,,,,,,,"-8.79","-42.86",,,,,,,,"false","false",,,,,,"true",,"true","false",,"true","N<Required","N<Required","N<Required","N<Required","true","N<Required","N<Required","true"
"34801","Educational Service District 113","14005","2449","Aberdeen School District","McDermoth Elementary","Math","18.44",,,,,"26.6",,,"10.18","true","N<Required","N<Required","N<Required","Yes","true","N<Required","N<Required","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true","N<Required","N<Required","N<Required","Yes","true","N<Required","N<Required","true"
"34801","Educational Service District 113","14005","2449","Aberdeen School District","McDermoth Elementary","Reading","19.06",,,,,"26.36",,,"10.47","true","N<Required","N<Required","N<Required","Yes","true","N<Required","N<Required","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true","N<Required","N<Required","N<Required","Yes","true","N<Required","N<Required","true"
"34801","Educational Service District 113","14005","2305","Aberdeen School District","Miller Junior High","Math","12.7",,,,"3.43","17.65",,,"1.99","true","N<Required","N<Required","N<Required","Yes","true","No","N<Required","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true","N<Required","N<Required","N<Required","Yes","true","No","N<Required","true"
"34801","Educational Service District 113","14005","2305","Aberdeen School District","Miller Junior High","Reading","16.6",,,,"18.36","21.13","-25.84",,"7.33","true","N<Required","N<Required","N<Required","Yes","true","No","N<Required","true",,,,,,,"8.11",,,,,,,,,"1.07",,,,,,,,,"false",,,,,,,,,"true",,,"true","N<Required","N<Required","N<Required","Yes","true","No","N<Required","true"
"34801","Educational Service District 113","14005","2763","Aberdeen School District","Robert Gray Elementary","Math","14.94",,,,,,,,"10.66","true","N<Required","N<Required","N<Required","N<Required","true","N<Required","N<Required","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true","N<Required","N<Required","N<Required","N<Required","true","N<Required","N<Required","true"
"34801","Educational Service District 113","14005","2763","Aberdeen School District","Robert Gray Elementary","Reading","16.07",,,,,,,,"15.92","true","N<Required","N<Required","N<Required","N<Required","true","N<Required","N<Required","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true","N<Required","N<Required","N<Required","N<Required","true","N<Required","N<Required","true"
"29801","Northwest Educational Service District 189","29103","2707","Anacortes School District","Anacortes Middle School","Math",,,,,,,,,"15.96","true","N<Required","N<Required","N<Required","N<Required","true","N<Required","N<Required","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true","N<Required","N<Required","N<Required","N<Required","true","N<Required","N<Required","true"
"29801","Northwest Educational Service District 189","29103","2707","Anacortes School District","Anacortes Middle School","Reading",,,,,,,,,"24.25","true","N<Required","N<Required","N<Required","N<Required","true","N<Required","N<Required","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true","N<Required","N<Required","N<Required","N<Required","true","N<Required","N<Required","true"
"29801","Northwest Educational Service District 189","29103","3252","Anacortes School District","Island View Elementary","Math","31.34",,,,,,,,"25.97","true","N<Required","N<Required","N<Required","N<Required","true","N<Required","N<Required","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true","N<Required","N<Required","N<Required","N<Required","true","N<Required","N<Required","true"
