"esdcode","esdname","districtcode","schoolcode","districtname","schoolname","subject","indexall","indexamericanindian","indexasian","indexblack","indexhispanic","indexwhite","indexspecialed","indexltdenglish","indexlowincome","mettargetbeforeshall","mettargetbeforeshamerica","mettargetbeforeshasian","mettargetbeforeshblack","mettargetbeforeshhispanic","mettargetbeforeshwhite","mettargetbeforeshspecialed","mettargetbeforeshltdenglish","mettargetbeforeshlowincome","previousweightedcemetall","previousweightedcemetame","previousweightedcemetasian","previousweightedcemetblack","previousweightedcemethispanic","previousweightedcemetwhite","previousweightedcemetspecialed","previousweightedcemetltd","previousweightedcemetlowincome","reductionpercentall","reductionpercentamericanindian","reductionpercentasian","reductionpercentblack","reductionpercenthispanic","reductionpercentwhite","reductionpercentspecialed","reductionpercentltdenglish","reductionpercentlowincome","met10percentflagall","met10percentflagamericanindian","met10percentflagasian","met10percentflagblack","met10percentflaghispanic","met10percentflagwhite","met10percentflagspecialed","met10percentflagltdenglish","met10percentflaglowincome","metotherindicatorflagall","metotherindicatorflagame","metotherindicatorflagasian","metotherindicatorflagblack","metotherindicatorflaghispanic","metotherindicatorflagwhite","metotherindicatorflagspecialed","metotherindicatorflagltd","metotherindicatorflaglowincome","mettargetaftershflagall","mettargetaftershflagamer","mettargetaftershflagasian","mettargetaftershflagblack","mettargetaftershflaghispanic","mettargetaftershflagwhite","mettargetaftershflagspecialed","mettargetaftershflagltdenglish","mettargetaftershflaglowincome"
"34801","Educational Service District 113","14005","2834","Aberdeen School District","A J West Elementary","Math","8.6",,,,,"15.6",,,"8.8","Yes","N<Required","N<Required","N<Required","Yes","Yes","N<Required","N<Required","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","N<Required","N<Required","N<Required","Yes","Yes","N<Required","N<Required","Yes"
"34801","Educational Service District 113","14005","2834","Aberdeen School District","A J West Elementary","Reading","8.3",,,,,"15.3",,,"5.3","Yes","N<Required","N<Required","N<Required","Yes","Yes","N<Required","N<Required","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","N<Required","N<Required","N<Required","Yes","Yes","N<Required","N<Required","Yes"
"34801","Educational Service District 113","14005","3216","Aberdeen School District","Central Park Elementary","Math","8.7",,,,,,,,,"Yes","N<Required","N<Required","N/A","N<Required","Yes","N<Required","N<Required","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","N<Required","N<Required","N/A","N<Required","Yes","N<Required","N<Required","No"
"34801","Educational Service District 113","14005","3216","Aberdeen School District","Central Park Elementary","Reading","11.1",,,,,,,,,"Yes","N<Required","N<Required","N/A","N<Required","Yes","N<Required","N<Required","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","N<Required","N<Required","N/A","N<Required","Yes","N<Required","N<Required","No"
"34801","Educational Service District 113","14005","3857","Aberdeen School District","Harbor High School","Math","-38",,,,,,,,"-42","N<Required","N<Required","N/A","N<Required","N<Required","N<Required","N<Required","N/A","N<Required","8.3",,,,,,,,"10","1.3",,,,,,,,"-4.2","false",,,,,,,,"false","true",,,,,,,,"true","N<Required","N<Required","N/A","N<Required","N<Required","N<Required","N<Required","N/A","N<Required"
"34801","Educational Service District 113","14005","3857","Aberdeen School District","Harbor High School","Reading","7",,,,,,,,"9.2","N<Required","N<Required","N/A","N<Required","N<Required","N<Required","N<Required","N/A","N<Required",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,"true","N<Required","N<Required","N/A","N<Required","N<Required","N<Required","N<Required","N/A","N<Required"
"34801","Educational Service District 113","14005","3476","Aberdeen School District","J M Weatherwax High School","Math","-14.3","-0.7",,,"-29.3","-8.8",,,"-29.3","No","N<Required","N<Required","N<Required","N<Required","No","N<Required","N<Required","No","40.8","50",,,"7.1","45.9",,,"25.3","-0.7","-33.3",,,"9.5","-2.2",,,"-3.4","false","false",,,"false","false",,,"false","true","true",,,"true","true",,,"true","No","N<Required","N<Required","N<Required","N<Required","No","N<Required","N<Required","No"
"34801","Educational Service District 113","14005","3476","Aberdeen School District","J M Weatherwax High School","Reading","10.1","25.7",,,"7.9","13.3","-27.3","-45","0.1","Yes","N<Required","N<Required","N<Required","N<Required","Yes","N<Required","N<Required","Yes",,,,,,,"15.4","14.3",,,,,,,,"7.1","-6.1",,,,,,,,"false","false",,,"true",,,"true",,"false","true",,"Yes","N<Required","N<Required","N<Required","N<Required","Yes","N<Required","N<Required","Yes"
"34801","Educational Service District 113","14005","2449","Aberdeen School District","McDermoth Elementary","Math","-1.6",,,,,"5.9",,,"-10.3","No","N<Required","N<Required","N<Required","No","Yes","No","N<Required","No","49.2",,,,,,,,"35","-4",,,,,,,,"-2.6","false",,,,,,,,"false","true",,,,,,,,"true","No","N<Required","N<Required","N<Required","No","Yes","No","N<Required","No"
"34801","Educational Service District 113","14005","2449","Aberdeen School District","McDermoth Elementary","Reading","5.4",,,,,"11.3",,,"2.5","Yes","N<Required","N<Required","N<Required","Yes","Yes","No","N<Required","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","N<Required","N<Required","N<Required","Yes","Yes","No","N<Required","Yes"
"34801","Educational Service District 113","14005","2305","Aberdeen School District","Miller Junior High","Math","-2.7",,,,"-8.6","3.7",,,"-14.8","No","N<Required","N<Required","N<Required","No","Yes","No","N<Required","No","43.5",,,,"25.7",,,,"30.4","8.4",,,,"9.7",,,,"5","false",,,,"false",,,,"false","true",,,,"true",,,,"false","No","N<Required","N<Required","N<Required","No","Yes","No","N<Required","No"
"34801","Educational Service District 113","14005","2305","Aberdeen School District","Miller Junior High","Reading","0.7",,,,"-2.5","6.9","-35.5",,"-10.2","Yes","N<Required","N<Required","N<Required","No","Yes","No","N<Required","No",,,,,"46.5",,"9.1",,"44.4",,,,,"-4.1",,"5.4",,"0.5",,,,,"false",,"false",,"false",,,,,"true",,"true",,"false","Yes","N<Required","N<Required","N<Required","No","Yes","No","N<Required","No"
"34801","Educational Service District 113","14005","2763","Aberdeen School District","Robert Gray Elementary","Math","-6.4",,,,,,,,"-13.5","No","N<Required","N<Required","N<Required","No","Yes","No","N<Required","No","42.5",,,,,,,,"34.7","-5.2",,,,,,,,"-6.1","false",,,,,,,,"false","true",,,,,,,,"true","No","N<Required","N<Required","N<Required","No","Yes","No","N<Required","No"
