"esdcode","esdname","districtcode","schoolcode","districtname","schoolname","subject","indexall","indexamericanindian","indexasian","indexblack","indexhispanic","indexwhite","indexspecialed","indexltdenglish","indexlowincome","mettargetbeforeshall","mettargetbeforeshamerica","mettargetbeforeshasian","mettargetbeforeshblack","mettargetbeforeshhispanic","mettargetbeforeshwhite","mettargetbeforeshspecialed","mettargetbeforeshltdenglish","mettargetbeforeshlowincome","previousweightedcemetall","previousweightedcemetame","previousweightedcemetasian","previousweightedcemetblack","previousweightedcemethispanic","previousweightedcemetwhite","previousweightedcemetspecialed","previousweightedcemetltd","previousweightedcemetlowincome","reductionpercentall","reductionpercentamericanindian","reductionpercentasian","reductionpercentblack","reductionpercenthispanic","reductionpercentwhite","reductionpercentspecialed","reductionpercentltdenglish","reductionpercentlowincome","met10percentflagall","met10percentflagamericanindian","met10percentflagasian","met10percentflagblack","met10percentflaghispanic","met10percentflagwhite","met10percentflagspecialed","met10percentflagltdenglish","met10percentflaglowincome","metotherindicatorflagall","metotherindicatorflagame","metotherindicatorflagasian","metotherindicatorflagblack","metotherindicatorflaghispanic","metotherindicatorflagwhite","metotherindicatorflagspecialed","metotherindicatorflagltd","metotherindicatorflaglowincome","mettargetaftershflagall","mettargetaftershflagamer","mettargetaftershflagasian","mettargetaftershflagblack","mettargetaftershflaghispanic","mettargetaftershflagwhite","mettargetaftershflagspecialed","mettargetaftershflagltdenglish","mettargetaftershflaglowincome"
"34801","Educational Service District 113","14005","2834","Aberdeen School District","A J West Elementary","Math","6.6",,,,,,,,"7","Yes","N<Required","N<Required","N<Required","Yes","Yes","N<Required","No","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","N<Required","N<Required","N<Required","Yes","Yes","N<Required","Yes","Yes"
"34801","Educational Service District 113","14005","2834","Aberdeen School District","A J West Elementary","Reading","-0.6",,,,,,,,"-2.4","No","N<Required","N<Required","N<Required","No","Yes","N<Required","No","No","66.3",,,,,,,,"64.5","-26.1",,,,,,,,"-28.9","false",,,,,,,,"false","true",,,,,,,,"true","No","N<Required","N<Required","N<Required","No","Yes","N<Required","No","No"
"34801","Educational Service District 113","14005","3216","Aberdeen School District","Central Park Elementary","Math","15.2",,,,,,,,,"Yes","N<Required","N<Required","N<Required","N<Required","Yes","N<Required","N<Required","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","N<Required","N<Required","N<Required","N<Required","Yes","N<Required","N<Required","Yes"
"34801","Educational Service District 113","14005","3216","Aberdeen School District","Central Park Elementary","Reading","16.5",,,,,,,,,"Yes","N<Required","N<Required","N<Required","N<Required","Yes","N<Required","N<Required","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","N<Required","N<Required","N<Required","N<Required","Yes","N<Required","N<Required","Yes"
"34801","Educational Service District 113","14005","3857","Aberdeen School District","Harbor High School","Math",,,,,,,,,,"N<Required","N<Required","N/A","N/A","N<Required","N<Required","N<Required","N/A","N<Required",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N<Required","N<Required","N/A","N/A","N<Required","N<Required","N<Required","N/A","N<Required"
"34801","Educational Service District 113","14005","3857","Aberdeen School District","Harbor High School","Reading","3.6",,,,,,,,"-1.6","N<Required","N<Required","N/A","N/A","N<Required","N<Required","N<Required","N/A","N<Required",,,,,,,,,"36.4",,,,,,,,,"11.6",,"false",,,,,,,"true","true","true",,,,,,,"true","N<Required","N<Required","N/A","N/A","N<Required","N<Required","N<Required","N/A","N<Required"
"34801","Educational Service District 113","14005","3476","Aberdeen School District","J M Weatherwax High School","Math","-16.9",,,,"-12","-14.2",,,"-29.1","No","N<Required","N<Required","N<Required","No","No","N<Required","N<Required","No","33.8",,,,"9.1","40",,,"13.7","5.7",,,,"24.4","-2",,,"10.9","false",,,,"true","false",,,"true","true",,,,"true","true",,,"true","No","N<Required","N<Required","N<Required","Yes","No","N<Required","N<Required","Yes"
"34801","Educational Service District 113","14005","3476","Aberdeen School District","J M Weatherwax High School","Reading","5.8",,,,"-7.7","12.7","-38.5",,"3.5","Yes","N<Required","N<Required","N<Required","No","Yes","N<Required","N<Required","Yes",,,,,"60.5",,"9.5",,,,,,,"-33.7",,"8.7",,,,,,,"false",,"false",,,,,,,"true",,"true",,,"Yes","N<Required","N<Required","N<Required","No","Yes","N<Required","N<Required","Yes"
"34801","Educational Service District 113","14005","2449","Aberdeen School District","McDermoth Elementary","Math","6.5",,,,,"13",,,"-4.7","Yes","N<Required","N<Required","N<Required","Yes","Yes","No","N<Required","No",,,,,,,,,"40.7",,,,,,,,,"-9.2",,,,,,,,,"false",,,,,,,,,"true","Yes","N<Required","N<Required","N<Required","Yes","Yes","No","N<Required","No"
"34801","Educational Service District 113","14005","2449","Aberdeen School District","McDermoth Elementary","Reading","-1.5",,,,,"9",,,"-16","No","N<Required","N<Required","N<Required","No","Yes","No","N<Required","No","66.7",,,,,,,,"57.1","-32.2",,,,,,,,"-48.9","false",,,,,,,,"false","true",,,,,,,,"true","No","N<Required","N<Required","N<Required","No","Yes","No","N<Required","No"
