,0,1,2,3,4,5,6,7
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,119.23,387.19,795.92,2805.65,36.02,2701.83,338.45,249.44
std,200.94,654.48,1777.7,6767.57,29.93,7553.1,643.81,536.84
min,3.73,5.75,9.91,71.89,8.5,18.29,7.67,17.8
25%,6.72,9.96,40.42,147.44,8.75,33.19,25.17,30.89
50%,10.16,22.23,173.42,887.01,30.94,134.73,88.52,61.3
75%,121.36,400.48,528.94,1176.42,58.37,746.23,347.51,154.52
max,526.52,1649.99,5807.04,22008.26,93.31,24170.29,2110.91,1767.02
