,0,1,2,3,4,5,6,7
count,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
mean,1.43,4.59,2.62,6.19,6.0,5.82,4.51,3.11
std,0.13,0.63,0.42,3.0,1.02,0.65,0.33,0.35
min,1.27,3.72,2.11,3.09,4.4,4.91,4.2,2.65
25%,1.34,4.13,2.37,3.63,5.03,5.1,4.31,2.85
50%,1.37,4.51,2.49,5.54,6.31,5.86,4.41,3.06
75%,1.52,4.98,2.74,8.39,6.63,6.37,4.52,3.26
max,1.79,6.07,4.26,12.03,8.46,7.18,5.53,3.95
