,0,1,2,3,4,5,6,7
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,30.7,90.09,124.67,83.07,345.12,16.5,3.11,12.67
std,37.39,105.58,207.34,78.96,619.91,18.16,1.87,14.28
min,5.24,17.02,11.65,26.05,16.29,3.18,1.52,2.67
25%,6.64,24.41,21.05,38.24,31.9,4.31,1.78,4.35
50%,13.36,35.06,41.45,52.43,48.19,10.03,2.52,6.27
75%,42.81,149.6,129.93,101.26,391.59,18.33,3.38,16.04
max,125.77,314.15,692.17,291.14,1993.1,59.94,6.44,49.49
