,0,1,2,3,4,5,6,7
count,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
mean,1.57,5.66,5.1,12.9,4.45,9.84,1.72,2.68
std,0.49,1.07,1.1,4.9,0.64,4.46,0.37,0.49
min,1.23,4.17,3.51,6.93,3.64,4.47,1.3,2.07
25%,1.35,4.55,4.16,8.75,4.04,5.81,1.41,2.29
50%,1.41,5.65,5.47,13.08,4.29,9.07,1.61,2.59
75%,1.54,6.56,6.01,15.87,4.8,13.33,1.91,3.05
max,3.47,7.49,6.89,24.67,6.44,18.77,2.67,3.82
