,0
0,52.493218969057416
1,37.47338805321872
2,34.192952190335006
3,36.62229705920949
4,38.08763723242149
5,35.50612331998931
6,35.69773756301121
7,41.938185490089445
8,43.99498339130059
9,39.23802462807408
10,40.2884272082551
11,34.75841460718371
12,39.271148348802306
13,40.85814580774366
14,38.645424298917845
15,52.58221659917264
16,49.22749934987673
17,52.7277588569753
18,52.035142925797906
19,61.14030372668771
20,70.27501509698018
21,88.52169236804218
22,40.56497691454524
23,41.88904071106418
24,34.0302473423908
25,47.01041565675574
26,66.20916370686166
27,41.42339498201366
28,57.362305166652796
29,42.98859027148904
30,51.17806439819912
31,52.45654402512819
32,55.476074073999264
33,48.958615175880524
34,55.08297287266285
