,0,1,2,3,4,5,6,7,8
0,-182578.0347123933,183298.47747956394,178956.72614667428,179665.32034044756,-189902.73922635659,183304.9899879376,201682.99242721667,175157.0136748321,-184555.69706909425
1,42321.90072865507,-19145.76926909407,116006.52028694496,-43327.70623019365,-36692.50714012167,-67369.58472930946,-80685.60464282556,-38013.57171890794,-7993.89167247524
2,42321.90072882492,-19145.769269316595,116006.52028668804,-43327.70623037196,-36692.507139793146,-67369.58472942344,-80685.60464289752,-38013.57171910605,-7993.89167214762
3,42321.900737286225,-19145.769279582248,116006.52027424712,-43327.70624005895,-36692.507129467805,-67369.58473578401,-80685.60464605142,-38013.571728611794,-7993.891659051435
4,231195.78417106118,-260453.96586252705,111860.93061303982,-233084.75352752162,175939.35723778675,-259961.6792535808,25504.572839087046,-248318.15823576652,242459.20976882376
5,231195.78417110004,-260453.96586256212,111860.93061241004,-233084.75352767276,175939.35723889948,-259961.67925360877,25504.57283632673,-248318.15823562935,242459.20976911078
6,231195.7841544443,-260453.96586268576,111860.93061737172,-233084.75350853833,175939.3572212011,-259961.67925302623,25504.572875796788,-248318.1582241438,242459.2097658356
7,-182578.0347128626,183298.47747990795,178956.72614875427,179665.3203414403,-189902.73922564377,183304.98998827056,201682.9924245452,175157.01367665897,-184555.69706921815
8,42321.900728984074,-19145.769269566197,116006.52028622261,-43327.70623058304,-36692.50713945297,-67369.5847295241,-80685.60464288377,-38013.57171932107,-7993.891671793818
9,231195.7841709859,-260453.96586250403,111860.93061306055,-233084.75352747398,175939.35723793434,-259961.6792535575,25504.572838421158,-248318.15823561887,242459.20976890047
