,0,1,2,3,4,5,6,7
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,1928.75,3576.44,2643.17,234.46,240.07,3815.29,116.73,5306.09
std,3312.09,4901.32,3903.53,222.54,482.58,6286.09,198.97,7362.74
min,190.38,533.42,369.87,48.66,19.57,620.91,13.29,848.1
25%,439.03,914.94,849.98,63.43,36.94,1154.57,29.58,1379.24
50%,532.9,1518.23,1091.55,141.9,87.37,1399.18,63.12,2772.71
75%,659.99,2235.98,2878.15,366.81,147.91,3052.07,88.03,4459.84
max,10268.24,14070.87,13349.3,690.74,1600.18,21293.97,676.82,24838.07
