,0,1,2,3,4,5,6,7,8
0,2299825.829652216,-918347.1754076618,653317.7116718491,-513230.05779089587,241301.6060181848,-752971.1464877933,-1259763.6911638775,-1369269.8319485735,-5897087.70975577
1,5549756.169710042,-307613.3340823227,398995.0757959163,1109543.8314321567,-1877068.7872819952,-711217.1913567944,-4002372.4183759326,-790734.4069772754,-4852432.101798807
2,5549756.169710162,-307613.3340827841,398995.07579467236,1109543.8314311143,-1877068.7872788983,-711217.1913565645,-4002372.418368541,-790734.4069772464,-4852432.101790544
3,5549756.1697212085,-307613.3340867638,398995.0757937025,1109543.83143001,-1877068.7872798424,-711217.1913580822,-4002372.4183648247,-790734.4069768207,-4852432.101800804
4,5614503.801922124,-1238061.6031213333,548121.8158668275,1060147.3757540674,-1730103.1351717785,-562012.1068059143,-5821642.21673081,-1046596.4549891497,-6212933.86482157
5,5614503.801924454,-1238061.6031213833,548121.8158678834,1060147.3757534442,-1730103.1351717077,-562012.1068096886,-5821642.216730657,-1046596.4549894357,-6212933.864823363
6,5614503.801979918,-1238061.6031222583,548121.8158914974,1060147.3757373553,-1730103.135179383,-562012.1069187977,-5821642.216723167,-1046596.4550099707,-6212933.8648475045
7,2299825.8296555704,-918347.1754082447,653317.7116720622,-513230.0577908762,241301.6060175554,-752971.1464882287,-1259763.6911669013,-1369269.8319491942,-5897087.709759481
8,5549756.169711205,-307613.3340820575,398995.07579568744,1109543.8314311835,-1877068.7872789688,-711217.1913572903,-4002372.4183666687,-790734.4069759918,-4852432.1017884435
9,5614503.801921278,-1238061.6031223342,548121.8158659055,1060147.3757544502,-1730103.1351735687,-562012.1068057289,-5821642.216730852,-1046596.4549914381,-6212933.864821133
