,0,1,2,3,4,5,6,7
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,2573.53,152.64,3503.73,442.77,2090.92,84.64,3356.22,1147.71
std,3289.66,265.51,4099.24,494.48,3022.47,118.15,3820.41,1596.66
min,118.42,19.97,227.24,43.74,106.1,3.31,290.39,75.14
25%,132.72,22.9,450.45,68.99,183.64,3.91,391.23,125.14
50%,391.8,43.14,672.23,97.62,376.95,14.14,713.66,213.63
75%,5058.45,132.01,7077.27,902.99,3618.99,166.25,6842.92,1922.49
max,8583.09,884.72,11117.89,1265.17,8766.72,318.25,9984.83,4821.3
