,0,1,2,3,4,5,6,7
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,390.07,897.02,490.29,587.35,3486.73,540.9,7249.94,1147.5
std,1052.85,2492.78,1009.79,1418.49,9690.21,1346.84,17084.6,3191.85
min,16.18,19.56,16.82,6.2,24.95,10.41,123.18,10.75
25%,17.22,29.93,34.81,34.89,149.1,21.96,441.11,23.84
50%,48.17,72.48,59.99,82.19,286.11,43.25,1036.67,102.3
75%,90.24,167.02,280.32,271.97,615.13,195.06,3016.3,220.86
max,3382.88,7983.5,3252.52,4596.25,31028.29,4338.45,55250.69,10218.34
