,0,1,2,3,4,5,6,7
count,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
mean,1.69,5.69,5.45,11.17,3.18,7.96,1.63,2.73
std,0.45,1.12,0.8,5.01,0.47,3.09,0.33,0.3
min,1.3,4.15,4.15,5.39,2.69,4.35,1.27,2.31
25%,1.49,4.62,4.99,7.08,2.86,5.45,1.42,2.5
50%,1.56,5.84,5.48,10.95,3.09,7.67,1.56,2.7
75%,1.7,6.42,5.94,14.22,3.37,9.57,1.67,2.95
max,3.4,8.19,7.62,23.71,4.71,17.1,2.76,3.34
