,0
0,41.4930182187743
1,31.079042702722866
2,30.97867208617028
3,29.92159626396857
4,29.88197379748104
5,30.36965566408415
6,29.860999724369897
7,31.98392013011889
8,34.25749378705179
9,30.47631861010601
10,30.782447137507514
11,30.22445221941524
12,30.23303079900754
13,33.47895731039665
14,45.594515138408816
15,59.941372039736486
16,57.2013720966504
17,69.11002975726196
18,77.81785340811312
19,86.08465411948538
20,65.54001892135447
21,82.67529645672141
22,30.694298346758522
23,32.752182965482845
24,31.600470512788142
25,51.3821611099512
26,70.58764112507994
27,31.26587421829107
28,93.92876066254497
29,44.533231468963486
30,58.46035837231492
31,69.52009810829688
32,80.24528131325857
33,53.84776162724455
34,61.01332454174076
