,0
0,252.9828776130321
1,211.0485948009754
2,208.1759689943071
3,216.71919590435763
4,212.54924449310133
5,208.5414462502965
6,213.3320333424874
7,221.46629883149566
8,231.38853545172933
9,218.14541984486098
10,217.95915167032913
11,213.17702037980158
12,212.1762415590539
13,222.47849969917917
14,211.5377035897625
15,231.93332978766648
16,259.2216637303245
17,284.528048489754
18,304.73697061022403
19,321.753244608799
20,266.659288517602
21,318.2612476775834
22,216.24784764663826
23,223.69548287907276
24,207.68084681711284
25,241.54852824666656
26,251.95509927389818
27,219.01746596634226
28,340.4846457967904
29,211.62127369030924
30,260.79788500409916
31,286.5748258009335
32,309.8155274187832
33,231.60096060066047
34,258.1521491927398
