,0
0,1646.0960513952746
1,7736.779335587317
2,3394.0529586841963
3,32983.257657497306
4,5500.182450747103
5,6611.765028045846
6,111417.29943824951
7,1555.9444768087665
8,1993.6227967631246
9,9284.500591351893
