,0,1,2,3,4,5,6,7
count,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
mean,2.03,7.95,2.78,11.12,2.05,5.61,2.02,2.96
std,0.54,3.0,0.59,6.8,0.28,2.88,0.21,0.51
min,1.62,3.88,2.22,3.65,1.69,2.53,1.83,2.34
25%,1.65,5.13,2.38,4.9,1.87,3.09,1.85,2.61
50%,1.84,7.63,2.58,9.5,1.99,4.48,1.92,2.82
75%,2.28,10.49,2.99,16.8,2.15,7.92,2.09,3.17
max,3.84,12.64,4.9,26.33,2.97,12.8,2.55,4.45
