,0
0,54.64098012765367
1,41.618346157772564
2,41.424195501563474
3,43.902780322540934
4,43.26450372641205
5,41.239674540960394
6,42.79660731717533
7,43.847303603763976
8,44.53058186059723
9,45.26956101692896
10,45.44186264862801
11,42.63698039642615
12,42.8988425605269
13,43.18956677657085
14,48.68701422905887
15,46.2779773761388
16,63.86530934405283
17,68.86445101493617
18,73.59905763088695
19,76.20843960748455
20,66.65245363923395
21,79.94606216185645
22,44.67482637742382
23,43.35814901561329
24,42.54488147526125
25,56.84874595727435
26,60.1846843443769
27,45.60632456745602
28,82.63678431127772
29,62.98271932976957
30,66.6808681931481
31,72.09971129618775
32,78.19991519627564
33,67.38710806114003
34,75.40463951885067
