,0,1,2,3,4,5,6,7,8
0,-320680.4013323449,-2849996.3337421245,1253277.4604203529,474407.85083289637,1011839.7119466851,1480361.0369479954,-2286366.293677274,3310086.8342326293,-2913859.339188695
1,-567843.1212595949,-2306771.8658050285,632515.4956880808,636496.6734607117,839557.9898752528,1065583.5597500918,-2230224.4529399974,2145381.4779305942,-2751382.7073699324
2,-567843.1212594751,-2306771.8658052855,632515.4956878569,636496.6734614769,839557.9898760469,1065583.5597516338,-2230224.4529399783,2145381.477932765,-2751382.707371778
3,-567843.1212663647,-2306771.8658416453,632515.4956947454,636496.6734705417,839557.9898909774,1065583.5597714318,-2230224.452930574,2145381.477983645,-2751382.7073670947
4,-579024.4112035325,-2789639.3516927673,324489.12702762336,710247.3676576797,872803.5367654709,966713.0484682316,-1305979.18665355,1781467.2169980984,-1494537.2975047664
5,-579024.4111941949,-2789639.351701746,324489.12708036305,710247.3676584306,872803.5367920634,966713.048501475,-1305979.1866992845,1781467.2170771535,-1494537.2975696789
6,-579024.4112908961,-2789639.3519775625,324489.12841628306,710247.3681664031,872803.5382307911,966713.0501398873,-1305979.1885615494,1781467.220164995,-1494537.300172504
7,-320680.40133406955,-2849996.333743066,1253277.46042099,474407.8508345289,1011839.7119477144,1480361.0369493824,-2286366.293678518,3310086.834231665,-2913859.3391897744
8,-567843.1212648529,-2306771.8658078415,632515.4956883634,636496.6734669813,839557.9898826057,1065583.5597575125,-2230224.452944266,2145381.477936575,-2751382.7073747176
9,-579024.4112089474,-2789639.3516897843,324489.1270107747,710247.3676593716,872803.5367605094,966713.0484610153,-1305979.1866446603,1781467.2169774459,-1494537.2974908268
