,0,1,2,3,4,5,6,7,8
0,-252298.0972879327,-209011.27227874193,80353.40355532008,-620281.5252175307,862913.5146029637,-18202.362714586285,2090676.9040141872,-791204.8921293716,-13444.875625761599
1,634277.4723431367,-1009230.9355589764,-699601.2400201168,-1134797.3613542577,961277.6332589656,-748944.4742499873,1707794.7224029915,-923235.600280965,477411.9548240852
2,634277.47234544,-1009230.93555871,-699601.2400216238,-1134797.3613535715,961277.6332564277,-748944.4742505129,1707794.7223913807,-923235.6002793171,477411.9548268648
3,634277.4723339536,-1009230.9355652471,-699601.24001602,-1134797.3613512719,961277.6332626143,-748944.4742495227,1707794.7224008883,-923235.600285414,477411.95481856883
4,254355.4335475154,-121445.15300852254,-653354.4755654121,-1132753.117679636,1115405.8574610346,36101.46728675234,1199528.6527177626,-1164384.526257988,-242168.38947227964
5,254355.43354235345,-121445.1530089059,-653354.4755642001,-1132753.1176818018,1115405.8574647866,36101.46728615259,1199528.6527322715,-1164384.526256953,-242168.3894694946
6,254355.433318689,-121445.1530418725,-653354.4754682052,-1132753.1177051086,1115405.857557539,36101.467264944455,1199528.6532534845,-1164384.526187899,-242168.38937312772
7,-252298.09728771183,-209011.2722789708,80353.40355513619,-620281.5252183536,862913.5146030813,-18202.36271484851,2090676.9040145727,-791204.8921301198,-13444.875625825023
8,634277.4723431474,-1009230.935559445,-699601.2400200317,-1134797.361353588,961277.6332554166,-748944.4742491944,1707794.7223872698,-923235.6002784936,477411.9548256233
9,254355.4335491605,-121445.15301063917,-653354.4755653619,-1132753.1176792753,1115405.8574610162,36101.467285567196,1199528.652714366,-1164384.526257565,-242168.3894736854
