,0,1,2,3,4,5,6,7,8
0,395898.7103821376,-353534.5477250231,-378176.6791109717,-463744.459538762,316681.2653384627,-379797.8777306956,65081.75239583721,-453992.38569723803,-153004.01264042198
1,50699.918639760814,-89211.94061742604,-22409.279425394598,-150392.7796418438,20118.81862303775,-39460.26852517239,6818.694060520199,-32380.97000394845,-38652.38638101115
2,50699.918638197705,-89211.9406138253,-22409.279425407985,-150392.77963568876,20118.8186232197,-39460.268524278734,6818.694061401565,-32380.970003401657,-38652.38637729196
3,50699.91864434619,-89211.94062380813,-22409.279428888844,-150392.7796473103,20118.81862588623,-39460.26852844159,6818.694061106312,-32380.97000738801,-38652.38637945775
4,456134.6004698025,-310531.64816010825,-297806.3162242985,-297464.4389829429,148133.93683703782,-408444.0068624807,75797.62377887871,-389093.9302033367,-172383.0962246485
5,456134.6004711656,-310531.64816060965,-297806.3162275319,-297464.43898692937,148133.93683935216,-408444.00686258037,75797.6237786937,-389093.93020521605,-172383.096224658
6,456134.60050190584,-310531.6481720982,-297806.3163066256,-297464.43908696785,148133.93690295966,-408444.0068599847,75797.62377733867,-389093.9302459313,-172383.0962208541
7,395898.7103820884,-353534.54772509227,-378176.6791110458,-463744.4595387119,316681.2653387351,-379797.87773078645,65081.752395485426,-453992.38569737657,-153004.0126405835
8,50699.91863849465,-89211.94062017894,-22409.27942137563,-150392.77965047004,20118.81861884422,-39460.26852285872,6818.694054565519,-32380.97000079706,-38652.38638959854
9,456134.6004696373,-310531.64816111437,-297806.3162250544,-297464.4389833283,148133.93683771833,-408444.00686275586,75797.62377849703,-389093.9302037833,-172383.0962249366
