,0,1,2,3,4,5,6,7,8
0,-64424.24555621166,-63275.9669644976,46122.05389544938,-61499.57325353564,57198.55066306304,-64050.534365413645,69888.548274937,-60828.55340784426,-69229.33577224109
1,-13063.836214448926,-17065.774325270548,54696.8384706447,56288.22726869844,-51447.59325288874,-44635.336356223925,70400.55115238976,-51470.82745718763,-63696.479620408296
2,-13063.836214407896,-17065.774325545615,54696.83847075457,56288.22726884205,-51447.59325302759,-44635.336356391,70400.55115241895,-51470.82745726687,-63696.47962045714
3,-13063.836219362132,-17065.774318387914,54696.83847328622,56288.227268810115,-51447.593254775806,-44635.33635301905,70400.55115243145,-51470.82745631793,-63696.47961699448
4,63482.68862729616,61579.97119020093,-57762.794367535265,-64609.57727963668,61599.39712740788,62344.91883333298,-62187.34444689679,68193.28754356653,-66712.05818238086
5,63482.688627677584,61579.97119148121,-57762.79436895596,-64609.5772798038,61599.39712814162,62344.91883430411,-62187.34444748648,68193.28754319373,-66712.05818222096
6,63482.688626832794,61579.97118603539,-57762.79436630728,-64609.57727954538,61599.39712728527,62344.918829788476,-62187.34444622685,68193.28754458672,-66712.05818243144
7,-64424.24555614995,-63275.96696437483,46122.05389478153,-61499.573253419185,57198.55066296666,-64050.53436529347,69888.54827488461,-60828.55340775291,-69229.33577208046
8,-13063.83621485812,-17065.77432524654,54696.8384710766,56288.22726894624,-51447.59325329171,-44635.33635643766,70400.55115240824,-51470.82745738763,-63696.47962050908
9,63482.6886264779,61579.97118686438,-57762.794363436966,-64609.577279535755,61599.39712554184,62344.91883087498,-62187.34444545522,68193.28754511834,-66712.05818321652
