,0,1,2,3,4,5,6,7
count,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
mean,3.02,4.39,3.57,3.07,1.77,3.19,3.12,2.97
std,0.64,2.17,1.43,0.51,0.13,0.97,0.55,0.62
min,2.44,1.92,2.13,2.49,1.59,1.79,2.28,2.22
25%,2.7,2.33,2.21,2.56,1.69,2.37,2.62,2.32
50%,2.79,3.71,3.08,2.95,1.76,3.07,3.05,3.08
75%,3.04,6.67,5.04,3.59,1.82,3.83,3.58,3.56
max,4.98,7.36,5.88,3.9,2.25,5.55,4.27,3.88
