,0,1,2,3,4,5,6,7
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,449.03,779.19,1590.62,4161.83,256.02,2314.09,550.33,621.95
std,682.69,1131.65,1879.61,4545.32,213.78,3104.86,417.18,726.12
min,45.19,24.4,82.06,236.16,28.54,132.56,83.7,24.16
25%,118.47,79.64,135.92,670.49,87.68,175.46,301.3,63.8
50%,216.24,392.67,259.15,2703.55,204.71,661.7,482.29,209.32
75%,464.01,798.71,3229.63,6302.7,406.2,3705.41,603.79,1200.9
max,2329.73,3697.8,4581.9,14486.11,664.68,9715.12,1530.69,1982.37
