id,newid,Y15_WP,Y15_BP,Y15_NP,Y15_AP,Y15_PP,Y15_OP,Y15_MP,Y15_MOP,Y15_MOEP
1500000US530530713041,530713041,0.62595057,0.041825095,0,0.028041825,0.011882129,0.033745247,0.258555133,0.019011407,0.239543726
1500000US530530713042,530713042,0.76714021,0.029956763,0,0.13001853,0,0.028721433,0.044163064,0.016985794,0.02717727
1500000US530530713043,530713043,0.575313808,0.341004184,0,0.046025105,0,0,0.037656904,0.025104603,0.012552301
1500000US530530713051,530713051,0.767014406,0.018877298,0.003974168,0.06010929,0.038251366,0.059612519,0.052160954,0,0.052160954
1500000US530530713052,530713052,0.879370629,0.008158508,0,0.039044289,0,0,0.073426573,0,0.073426573
1500000US530530713061,530713061,0.871582436,0,0,0,0,0,0.128417564,0,0.128417564
1500000US530530713062,530713062,0.722573234,0.102240092,0,0.131533601,0,0,0.043653073,0,0.043653073
1500000US530530713063,530713063,0.689127739,0.066556428,0.02604382,0.126911947,0,0,0.091360066,0,0.091360066
1500000US530530713064,530713064,0.684106614,0.047384008,0,0.06219151,0,0,0.206317868,0,0.206317868
1500000US530530713071,530713071,0.905608755,0.021887825,0.010259918,0,0.005471956,0,0.056771546,0,0.056771546
1500000US530530713072,530713072,0.767068273,0.014056225,0.108433735,0.029116466,0,0.014056225,0.067269076,0.059236948,0.008032129
1500000US530530713073,530713073,0.765437583,0.127498889,0,0.027543314,0.021768103,0.003109729,0.054642381,0.007996446,0.046645935
1500000US530530713091,530713091,0.621279291,0.092463585,0,0.006966434,0.088663711,0.008233059,0.18239392,0.026599113,0.155794807
1500000US530530713092,530713092,0.741851369,0.011082138,0.005215124,0.031290743,0,0,0.210560626,0.004563233,0.205997392
1500000US530530713093,530713093,0.584434655,0.069016153,0.007342144,0.022760646,0.017621145,0.016152717,0.28267254,0,0.28267254
1500000US530530713101,530713101,0.859945504,0.035967302,0,0.02506812,0,0,0.079019074,0,0.079019074
1500000US530530713102,530713102,0.752657005,0.0431562,0,0.070531401,0,0.038003221,0.095652174,0.00805153,0.087600644
1500000US530530714031,530714031,0.725627554,0.155283129,0.001167542,0.058960887,0.004670169,0,0.054290718,0.004086398,0.05020432
1500000US530530714032,530714032,0.8395574,0.030428769,0,0.035961272,0,0.008298755,0.085753804,0,0.085753804
1500000US530530714033,530714033,0.718674699,0.019277108,0.030722892,0.026506024,0.063855422,0.00060241,0.140361446,0,0.140361446
1500000US530530714061,530714061,0.494998484,0.183692028,0.001212489,0.063655653,0.089117915,0.045165202,0.12215823,0,0.12215823
1500000US530530714062,530714062,0.804541768,0.00081103,0.096512571,0.077047851,0,0,0.02108678,0,0.02108678
1500000US530530714063,530714063,0.63071298,0.095063985,0,0.188299817,0,0,0.085923218,0,0.085923218
1500000US530530714064,530714064,0.852587559,0,0.042864611,0.062728698,0,0,0.041819132,0.011500261,0.030318871
1500000US530530714071,530714071,0.989308624,0,0,0,0,0.010691376,0,0,0
1500000US530530714072,530714072,0.703925845,0.255725191,0,0.02344602,0,0,0.016902944,0,0.016902944
1500000US530530714073,530714073,0.827679052,0.050080775,0,0.016693592,0.064620355,0.005923533,0.035002693,0,0.035002693
1500000US530530714074,530714074,0.661450183,0.171622327,0,0.010954617,0.030255608,0.03599374,0.089723526,0,0.089723526
1500000US530530714081,530714081,0.640043764,0.141137856,0,0.028993435,0.099015317,0,0.090809628,0,0.090809628
1500000US530530714082,530714082,0.560474308,0.034782609,0,0.007905138,0.198418972,0,0.198418972,0,0.198418972
1500000US530530714083,530714083,0.52998776,0.122399021,0,0.052631579,0.055079559,0.068543452,0.171358629,0,0.171358629
