,0,1
0,0.0,-2.3712197798835715
1,0.0,-2.4630537732014908
2,0.0,-2.8459154302823584
3,0.0,0.0
4,0.0,0.0
5,0.0,-2.6123631968607564
6,0.0,-2.4762410300185174
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,-2.6601790254752387
12,0.0,0.0
13,0.0,-2.442539695342815
14,0.0,-3.381537021084738
15,2.3730020787291024,-3.213468099300284
16,2.6083709805421176,-3.5910358969130667
17,2.660804879232625,-3.4905450280702097
18,2.5437569137798657,-3.409921826782061
19,2.561119988009422,-3.3037824339805533
20,0.0,-2.8653017701580232
21,0.0,-2.8592721768303653
22,0.0,0.0
23,0.0,0.0
24,0.0,-2.93238053707394
25,2.589036185751565,-3.6127621733621527
26,2.4487161898449443,-3.126802972653216
27,0.0,0.0
28,0.0,-3.0008154206088475
29,0.0,-3.012438110182059
30,0.0,-3.315870192093283
31,2.4062369957589773,-3.363664788386485
32,0.0,-3.112186608377158
33,0.0,-2.88001648548901
34,0.0,-2.678956739190242
