,0
0,15.61850627967436
1,15.716156818191829
2,13.57518841121871
3,17.48224815920145
4,18.131494492392367
5,15.373753448253513
6,16.313472213150256
7,17.077953370455955
8,15.710490543365786
9,19.515694324084535
10,19.805744846828816
11,14.80984993051573
12,17.69308331315049
13,14.901925682467633
14,11.05517321131702
15,15.275364366892461
16,14.440706856026843
17,17.324181131382456
18,16.80233624382535
19,19.534806435615618
20,16.527782593702447
21,19.860658014535435
22,19.316754192982852
23,15.528843839151858
24,12.05298128597956
25,13.903971121003288
26,15.989259799796885
27,19.65738925148312
28,14.662102583746162
29,7.460964439697151
30,11.415458033076117
31,14.006976682238916
32,13.360785762004728
33,6.9104432950279975
34,7.165824377524811
