,0
0,18.722273033934457
1,15.490805850035226
2,13.82759024317172
3,14.69667602879237
4,15.23251076538327
5,14.563760692395567
6,14.388113176739667
7,16.661272121389285
8,17.157153525131356
9,15.6409397086625
10,16.067274484908314
11,13.969228713234731
12,15.749006682476933
13,16.817628718521068
14,13.803662493322681
15,17.79100667876417
16,17.316908197685702
17,19.884290132654144
18,19.635167846559963
19,21.93602088541966
20,19.458756475624575
21,22.088289346811695
22,16.180321148022635
23,16.768165161787234
24,13.304900235525764
25,16.63370624804762
26,18.851344152154606
27,16.569356831146212
28,18.30666639499406
29,12.23356056015347
30,15.021100025862353
31,17.277103813480913
32,17.043666403599925
33,12.18189004400452
34,12.834415752705207
