,0,1
0,0.0,-2.5484933848894054
1,-1.4191701758616506,-2.607124157296733
2,-1.690636936305892,-3.031463141312303
3,-1.6834017346337065,-2.842954282856723
4,-1.5661720418463962,-2.5983553263643424
5,-1.6216241648521161,-2.8192864547773513
6,-1.7044594928102563,-2.9022770953423844
7,-1.2586716772965292,-2.402642288259213
8,-1.0658035684474656,-2.4192925837641637
9,-1.5523054149696045,-2.5716351845173904
10,-1.486281152689041,-2.4632695532732956
11,-1.7368962648712745,-3.044647291346815
12,-1.4384186082014465,-2.4598255401023645
13,0.0,-2.5670104450856037
14,-1.2204773334490555,-3.097623187437464
15,0.0,-2.796714039127747
16,0.0,-3.252026786913289
17,0.0,-3.0997488343762623
18,0.0,-3.049188236125696
19,0.0,-2.873511550741357
20,0.0,-2.6730964906824997
21,0.0,-2.495476878019457
22,-1.442959506854131,-2.4099424668082334
23,-1.123986475291986,-2.4709535884964646
24,-1.697495232794448,-3.1552602813621524
25,0.0,-3.2558824202165106
26,0.0,-2.798585812809531
27,-1.409129994704499,-2.3884713202284265
28,0.0,-2.707396304205723
29,-1.3381489971891867,-3.0820783887281302
30,0.0,-3.0872897919226547
31,0.0,-3.0676325597701073
32,0.0,-2.840848422717798
33,-1.2383299942627979,-2.858427089585033
34,-1.2079716003026648,-2.601980615004248
