,0,1
0,0.0,0.0
1,0.0,0.0
2,0.0,-1.2575592090973708
3,0.0,-1.0760897008976331
4,0.0,0.0
5,0.0,-1.067785214555018
6,0.0,-1.1233775884378157
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,-1.2358999220721862
12,0.0,0.0
13,0.0,0.0
14,0.0,-1.584922539874691
15,0.0,-1.0878216425810772
16,0.0,-1.8992806346737734
17,0.0,-1.773491410605668
18,0.0,-1.917039478658247
19,0.0,-1.716835652111555
20,0.0,0.0
21,0.0,-1.1825916415031656
22,0.0,0.0
23,0.0,0.0
24,0.0,-1.3738687620865746
25,0.0,-1.7790462303785373
26,0.0,-1.125866138024302
27,0.0,0.0
28,0.0,-1.9049457289815337
29,0.0,-1.6540073857576554
30,0.0,-1.9233284342381256
31,1.0624296950970837,-1.9619400491790389
32,1.0546928264580548,-1.9292848271392433
33,0.0,-1.7042211897667352
34,0.0,-1.6904682543405078
