,0
0,19.7937805713888
1,16.722775896509646
2,15.253310064780386
3,16.11579507172482
4,16.59568473773939
5,15.868264500601196
6,15.789723762543543
7,17.75932913168596
8,18.051756684545772
9,17.101097905203186
10,17.54301071610397
11,15.433463309991723
12,17.058745985505784
13,17.962072497356854
14,15.1327459301831
15,19.060676861001152
16,18.411863450523395
17,21.050391764584745
18,20.815630520096402
19,23.143370380300265
20,20.755001511566558
21,23.350117969471523
22,17.614991459708456
23,17.78584481074174
24,14.852223829144746
25,17.73606745028022
26,20.084526796478457
27,18.007493734015615
28,19.577405193117094
29,13.910494953509847
30,16.176912283840874
31,18.42969532374629
32,18.262030638262708
33,13.649723476478496
34,14.203319650326549
