,FID_1,FID_1_1,OBJECTID,ShortName,r14_over,r14_nati,r14_asi,r14_bla,r14_lati,r14_whi,r14_paci,r14_mul,m14_over,m14_nati,m14_asi,m14_bla,m14_lati,m14_whi,m14_paci,m14_mul,r15_over,r15_nati,r15_asi,r15_bla,r15_lati,r15_whi,r15_paci,r15_mul,m15_over,m15_nati,m15_asi,m15_bla,m15_lati,m15_whi,m15_paci,m15_mult,OverPol14,OverInc14,OverPop14,OverSch14,OverBus14,OverSci14,OverEdl14,OverHea14,OverSer14,OverSal14,OverExt14,OverLog14,WhitePol14,WhiteInc14,WhitePop14,WhiteSch14,WhiteBus14,WhiteSci14,WhiteEdl14,WhiteHea14,WhiteSer14,WhiteSal14,WhiteExt14,WhiteLog14,BlackPol14,BlackInc14,BlackPop14,BlackSch14,BlackBus14,BlackSci14,BlackEdl14,BlackHea14,BlackSer14,BlackSal14,BlackExt14,BlackLog14,NativPol14,NativInc14,NativPop14,NativSch14,NativBus14,NativSci14,NativEdl14,NativHea14,NativSer14,NativSal14,NativExt14,NativLog14,AsianPol14,AsianInc14,AsianPop14,AsianSch14,AsianBus14,AsianSci14,AsianEdl14,AsianHea14,AsianSer14,AsianSal14,AsianExt14,AsianLog14,PacifPol14,PacifInc14,PacifPop14,PacifSch14,PacifBus14,PacifSci14,PacifEdl14,PacifHea14,PacifSer14,PacifSal14,PacifExt14,PacifLog14,MultiPol14,MultiInc14,MultiPop14,MultiSch14,MultiBus14,MultiSci14,MultiEdl14,MultiHea14,MultiSer14,MultiSal14,MultiExt14,MultiLog14,OverPol15,OverInc15,OverPop15,OverSch15,OverBus15,OverSci15,OverEdl15,OverHea15,OverSer15,OverSal15,OverExt15,OverLog15,WhitePol15,WhiteInc15,WhitePop15,WhiteSch15,WhiteBus15,WhiteSci15,WhiteEdl15,WhiteHea15,WhiteSer15,WhiteSal15,WhiteExt15,WhiteLog15,BlackPol15,BlackInc15,BlackPop15,BlackSch15,BlackBus15,BlackSci15,BlackEdl15,BlackHea15,BlackSer15,BlackSal15,BlackExt15,BlackLog15,NativPol15,NativInc15,NativPop15,NativSch15,NativBus15,NativSci15,NativEdl15,NativHea15,NativSer15,NativSal15,NativExt15,NativLog15,AsianPol15,AsianInc15,AsianPop15,AsianSch15,AsianBus15,AsianSci15,AsianEdl15,AsianHea15,AsianSer15,AsianSal15,AsianExt15,AsianLog15,PacifPol15,PacifInc15,PacifPop15,PacifSch15,PacifBus15,PacifSci15,PacifEdl15,PacifHea15,PacifSer15,PacifSal15,PacifExt15,PacifLog15,MultiPol15,MultiInc15,MultiPop15,MultiSch15,MultiBus15,MultiSci15,MultiEdl15,MultiHea15,MultiSer15,MultiSal15,MultiExt15,MultiLog15
10,10,10,11,Fern Hill,-19.1,-100,0,-2.9,-13.9,-7.6,-5.6,0,-29.9,-100,0,-7.6,-31.1,-14.8,0,-100,-28.3,0,-6.3,-17.6,-29.1,-10.2,-62.5,-22.2,-33.5,0,-11.2,-0.5,-40.2,-12.3,-62.5,-22.2,41.18242509,43627.84191,1512.779172,12.4629008,0.077879781,0.026548732,0.057003005,0.045873404,0.251030354,0.216881425,0.166773981,0.040838017,42.30113071,39846.26373,1485.454955,12.42831824,0.076782526,0.023163291,0.059661477,0.050898538,0.247784993,0.207748725,0.174394497,0.042449253,45.45711217,37541.81487,1500.194026,12.60691212,0.078320172,0.020383908,0.067725759,0.038868775,0.257417957,0.22239001,0.121834858,0.017473278,31.01107339,60618.60203,1456.06753,12.97697325,0.116447427,0.031651768,0.024836341,0.024032837,0.26641403,0.215188553,0.165454234,0.057103486,37.99475666,52340.55675,1657.547077,12.36361805,0.067149294,0.034313573,0.053509292,0.044799092,0.257923877,0.234714964,0.163135152,0.042664143,33.97794241,57167.33368,1662.417757,12.65194729,0.089391842,0.031820878,0.037324202,0.037742309,0.26641946,0.215981839,0.160028607,0.04819734,42.04938023,45528.65759,1410.660277,12.52464677,0.085981316,0.033053483,0.057787773,0.033823749,0.243640983,0.234892755,0.162831173,0.039116883,41.05589682,43891.88634,1438.550181,12.48789568,0.069377724,0.025575537,12.48789568,0.036473452,0.261141499,0.261141499,0.218852758,0.102354783,41.69124934,42637.73622,1389.353932,12.48575727,0.067818973,0.022460951,12.48575727,0.037043239,0.264580441,0.264580441,0.212296319,0.105864852,45.02188176,36648.27954,1510.503033,12.59618465,0.061993791,0.017275861,12.59618465,0.039464725,0.314368752,0.314368752,0.171249799,0.065028761,30.96380582,66504.63089,1239.201,13.2277334,0.137285927,0.045877607,13.2277334,0.022560778,0.235415913,0.235415913,0.218394587,0.104419304,37.82532578,49086.10357,1636.369247,12.40776734,0.068596323,0.036502983,12.40776734,0.035550004,0.227187944,0.227187944,0.255777424,0.103421309,34.77119354,54855.41549,1371.288742,12.65817381,0.093016926,0.030851746,12.65817381,0.03411414,0.215439304,0.215439304,0.250584344,0.122657562,41.29788957,45551.23631,1399.699011,12.54088917,0.07791103,0.031156814,12.54088917,0.032122648,0.269051374,0.269051374,0.229070581,0.090375336
11,11,11,12,Lister,-32.9,0,0,-33.1,0,-15.7,-24.6,0,-36.4,-100,0,-39.6,0,-17.4,-24.6,-40,-56.7,-50,-31,-61.3,0,0,-74.8,-38.7,-57.6,0,-29.3,0,0,0,-74.8,-75,45.11967656,25585.58333,1341.030702,11.7469452,0.09414857,0.017376972,0.049977237,0.04067897,0.304609275,0.218165959,0.10263324,0.001369521,46.27636804,30246.60169,1267.435566,11.96451212,0.101746566,0.015259151,0.05461256,0.037051844,0.293123411,0.225210177,0.107926876,0.002903483,42.13069203,19111.50501,1374.694276,11.62201618,0.073518185,0.01813524,0.045491262,0.049846494,0.32564952,0.228822721,0.091137947,0.000643468,37.9411204,13580.9569,1331.697196,11.84093835,0.05064928,0.01305024,0.04710464,0.07012688,0.35731648,0.23735472,0.03309648,0.0004664,48.67548198,29921.77857,1379.389293,11.65951937,0.11533725,0.018981363,0.050953738,0.029384353,0.285160244,0.196998315,0.119409095,0.000772388,42.25684831,20601.37087,1514.159522,10.85187713,0.098277079,0.035105683,0.031681356,0.023880589,0.285226373,0.221482518,0.218624692,0,41.78258729,19279.75046,1366.102458,11.63706998,0.073586779,0.018218888,0.045595874,0.050237112,0.325210969,0.230299656,0.092488015,0.000821095,47.58316633,30635.6206,1315.677507,11.95435023,0.09405096,0.014562304,11.95435023,0.061020084,0.275755155,0.275755155,0.200193821,0.083449372,49.46237307,38448.37478,1254.962709,12.20639057,0.100742061,0.018486785,12.20639057,0.046832027,0.267651693,0.267651693,0.207991423,0.082937015,44.13660636,22762.9837,1357.386949,11.69897234,0.088626384,0.011135056,11.69897234,0.07826693,0.289360544,0.289360544,0.189489062,0.081371725,38.59137568,19445.06913,1310.892009,11.59295514,0.088345876,0.012178378,11.59295514,0.094393729,0.313222296,0.313222296,0.172863986,0.068821354,49.68652642,32688.58434,1369.265212,11.91170961,0.104535865,0.016837191,11.91170961,0.056313355,0.268753068,0.268753068,0.19182421,0.075922475,41.78711525,22470.56788,1549.856386,11.45264342,0.122537151,0.002600829,11.45264342,0.074587617,0.257343465,0.257343465,0.214104852,0.114445384,44.93853017,23600.54495,1307.052408,11.8315069,0.078816773,0.010149288,11.8315069,0.074127545,0.28727879,0.28727879,0.201925644,0.089660183
12,12,12,13,Mann,-30.8,-50,-0.9,-30.8,0,-15.7,-20,-34.3,-39.9,-50,-9.4,-47.2,0,-23.4,-20,-67.8,-47.9,-75,-0.9,-56.2,0,-35.8,-42.8,-34.2,-53.5,-75,-13.2,-54.4,0,-43.5,-42.8,-44.2,54.69971766,52747.60563,1398.879911,12.21425295,0.084640187,0.022635055,0.062146932,0.0283472,0.269561365,0.271288399,0.211582439,0.053345549,56.41989285,53162.41458,1389.375725,12.33626012,0.088192362,0.025561512,0.061014062,0.028268586,0.268883323,0.267055415,0.211374544,0.057421631,53.44210016,51451.63714,1514.563377,12.09492294,0.076880097,0.022481533,0.064791302,0.03280371,0.261768587,0.273319306,0.187548089,0.03937756,51.49318429,69664.60006,1162.889934,12.60353385,0.113884554,0.008270276,0.09363724,0.046307024,0.234452697,0.130299415,0.417443827,0.082579132,51.88170273,53576.74896,1526.728955,12.08328957,0.068930487,0.023390391,0.069033896,0.026164393,0.255549076,0.34244919,0.112223078,0.035203593,46.28243254,59438.29577,1307.086084,11.94752918,0.068012444,0.022919072,0.088029927,0.030329512,0.289058653,0.217710701,0.329501956,0.044627748,52.26754224,53599.37534,1431.5508,12.07148714,0.082653347,0.020470759,0.066405442,0.030652466,0.269789971,0.257934009,0.219199752,0.050397487,54.50981379,52611.8591,1311.777702,12.31057006,0.097036684,0.027170338,12.31057006,0.020401943,0.275745638,0.275745638,0.261032028,0.131936201,56.06538745,54028.27479,1303.797967,12.38798538,0.101169221,0.029790812,12.38798538,0.01838904,0.275453357,0.275453357,0.25959151,0.134868203,53.80826251,50468.56762,1427.745475,12.42377527,0.104914133,0.026177994,12.42377527,0.025037981,0.273281675,0.273281675,0.253170765,0.105009234,52.1494673,62761.1247,1082.142242,12.612737,0.14544511,0.021025258,12.612737,0.0250271,0.238837602,0.238837602,0.144204557,0.195617518,51.43205734,53663.94407,1432.361583,12.23888449,0.078356263,0.032344765,12.23888449,0.015760146,0.27617848,0.27617848,0.308122228,0.08573328,48.64285065,47205.59033,1202.240502,11.95814988,0.091811226,0.020694664,11.95814988,0.021231562,0.356124884,0.356124884,0.189111893,0.140757403,52.96174904,52039.11526,1338.21596,12.26487512,0.095479824,0.023841688,12.26487512,0.021721866,0.270972456,0.270972456,0.258219552,0.129497806
13,13,13,14,Reed,-28.3,0,-14.3,0,-18.7,0,-100,0,-42.6,0,-14.3,0,-29.6,0,-66.7,0,-58.2,0,-28.1,-57.7,-51.4,0,-1.3,-21.2,-48.9,0,-13.2,0,-38.3,0,-50,-21.2,68.87142356,39953.90048,1524.829736,12.62352966,0.103293077,0.016099424,0.076579671,0.033890244,0.249374524,0.273619971,0.136323648,0.03449305,68.84879744,40349.29084,1556.995757,12.62394673,0.103672794,0.016069216,0.077463037,0.034781176,0.243294589,0.273336627,0.132870906,0.03648134,68.62904357,41082.66612,1502.111306,12.71303376,0.106366309,0.011254431,0.082108544,0.031308041,0.248074456,0.280372442,0.140190902,0.034829126,69.41605675,37139.83247,1472.469792,12.8677288,0.087867321,0.009372822,0.096798195,0.033781233,0.239045877,0.27942239,0.164755912,0.036423381,68.10312281,39493.49721,1233.046667,12.4274703,0.095780816,0.019086127,0.055655781,0.048194347,0.302914201,0.242831251,0.158455233,0.016954757,66.62972582,29286.50906,990.8052813,12.92352446,0.028144955,0.005963439,0.081046217,0.06569627,0.279880556,0.285529045,0.239955511,0.003384655,69.40603939,37011.0731,1768.421083,12.51387935,0.094838996,0.024123986,0.068726419,0.033133288,0.241587757,0.274660386,0.138070481,0.03811988,69.31726839,41762.00725,1542.725673,12.68625057,0.129488418,0.011270756,12.68625057,0.026237776,0.272644084,0.272644084,0.250065225,0.081529046,68.96008566,41912.29681,1590.89066,12.68815583,0.130191275,0.010517582,12.68815583,0.028640435,0.279147713,0.279147713,0.247565378,0.08211304,68.73245067,42407.04531,1550.874049,12.84088603,0.133929006,0.005141208,12.84088603,0.024555262,0.259090697,0.259090697,0.274305112,0.090321221,70.0729423,40588.72573,1395.967306,13.00026377,0.132890986,0.004941726,13.00026377,0.021566879,0.231250099,0.231250099,0.262128998,0.103487362,70.00637301,40600.71588,1241.026963,12.38605148,0.102900733,0.03059684,12.38605148,0.024679733,0.280332767,0.280332767,0.197441328,0.070858063,69.13425707,41295.52652,2173.945242,12.78685947,0.095131176,0.014177672,12.78685947,0.035776494,0.31338066,0.31338066,0.243137669,0.117205906,70.26700202,40797.47026,1627.430826,12.61381419,0.139480209,0.009733398,12.61381419,0.026738243,0.274559866,0.274559866,0.248913494,0.066469356
14,14,14,15,McCarver,-39.9,0,-11.8,-28.1,-31.2,-22.4,-100,-24.6,-58.8,-33.3,-11.8,-63.4,-48.7,-29.6,-100,-24.6,-52.9,0,-54.3,-57.3,-40.6,0,-50,-20.1,-61.2,0,-45.4,-65.4,-46.1,0,0,-70.9,65.50292911,41936.69257,1030.797927,13.0354053,0.122289476,0.043597097,0.130162694,0.05768253,0.208678359,0.174367639,0.129243989,0.020008927,64.37097466,45009.59689,1048.313665,13.29822167,0.152695939,0.05111096,0.134817225,0.06650453,0.19892024,0.183029348,0.127383872,0.018930194,66.36207366,34699.28379,1050.152298,12.76171366,0.07929713,0.033635102,0.114690959,0.052785131,0.258047036,0.187750984,0.139630667,0.016052295,63.80932788,38778.59624,1037.564232,13.3201393,0.095593524,0.027609264,0.100256015,0.070525855,0.233930234,0.257286129,0.232991725,0.015356471,67.54623934,39940.64682,974.5046303,12.56489722,0.074815974,0.027052299,0.135420443,0.03431626,0.190484599,0.139584604,0.114503593,0.022472857,66.36330956,40672.06742,985.5410215,13.36086345,0.088057875,0.029329808,0.100046422,0.084511097,0.239406275,0.220518719,0.171455548,0.011480004,67.53443257,40264.20561,1001.879744,12.72312602,0.091102453,0.04175116,0.128325195,0.048179531,0.199091624,0.134945373,0.094252727,0.027312619,65.30137516,44487.56388,1088.638842,13.1016279,0.112542006,0.043349901,13.1016279,0.06332811,0.219794076,0.219794076,0.169619992,0.077262163,63.90099532,46374.41569,1102.527084,13.32335945,0.127031854,0.047405335,13.32335945,0.070777983,0.218297171,0.218297171,0.174562108,0.073945806,67.53042066,40746.61225,1084.886829,12.83338652,0.0844533,0.036811476,12.83338652,0.055750261,0.233489846,0.233489846,0.16409737,0.077450434,64.73342403,33851.48062,1117.806974,13.25625454,0.095155436,0.012744201,13.25625454,0.044560976,0.254621579,0.254621579,0.222357842,0.135958579,67.3514463,45194.49254,1064.962633,12.73643272,0.098563734,0.032020585,12.73643272,0.047984994,0.19494228,0.19494228,0.157273856,0.080562811,68.88620426,45060.81554,1040.918693,13.36813749,0.100704723,0.031292706,13.36813749,0.075621775,0.201382565,0.201382565,0.198290314,0.11633384,66.65889774,41176.31356,1084.987883,12.84653815,0.092318936,0.041883247,12.84653815,0.060533607,0.235743731,0.235743731,0.157686561,0.058006846
15,15,15,16,Stanley,-9.2,0,0,-6.5,0,0,-60,-33.3,-9,0,0,-8.5,0,0,0,0,-29.9,0,0,-25.4,-29.5,0,0,-40,-37.5,0,-33.3,-40.3,-7.3,0,-50,-40,63.37670995,41534.33425,1194.788171,12.66736353,0.088546233,0.031885889,0.102094448,0.047842396,0.208583864,0.229251129,0.140695514,0.039664532,63.0055714,41549.8118,1258.033795,12.70102256,0.096078505,0.033302682,0.098751822,0.052532175,0.210779493,0.244703878,0.139570422,0.040821528,63.24591084,40821.80883,1135.865802,12.79592726,0.085661312,0.039445704,0.100671477,0.057324486,0.224832815,0.226690208,0.154684618,0.040111202,64.02586612,34782.77252,1207.817521,12.82658762,0.048842281,0.012901932,0.074110085,0.062085112,0.238781173,0.293856391,0.215365287,0.024278515,65.05675949,41451.5461,1016.607013,12.46984689,0.072336931,0.020370548,0.123708683,0.024460049,0.19014138,0.1699671,0.117210504,0.02994571,63.82730181,32559.29174,1033.696972,12.6463802,0.024733865,0.003938378,0.081050603,0.04674,0.276689489,0.240676079,0.208366864,0.019885429,63.11649943,44248.91102,1178.928395,12.55895765,0.078858943,0.027848477,0.101142155,0.034655266,0.180391123,0.211659012,0.11717107,0.045515714,63.41492055,43269.69373,1227.115385,12.84345938,0.112899123,0.027708023,12.84345938,0.04242563,0.231504026,0.231504026,0.211308965,0.08569065,63.19362857,42424.0189,1288.921491,12.89213664,0.118554988,0.026014348,12.89213664,0.04315209,0.240641977,0.240641977,0.220386993,0.081508009,63.19039846,44296.10352,1200.27652,12.91586781,0.109547956,0.035363487,12.91586781,0.044021595,0.232846573,0.232846573,0.200685969,0.086808515,64.30267889,34684.86445,1256.372545,13.05307071,0.099233336,0.00250201,13.05307071,0.041134111,0.241560283,0.241560283,0.254629323,0.131144789,65.24203158,45644.47532,1067.929135,12.61728564,0.09391042,0.022029996,12.61728564,0.038813251,0.201196454,0.201196454,0.175061791,0.086248022,63.94271639,38797.94877,1025.545522,12.9838913,0.071726911,0.003012206,12.9838913,0.043599701,0.207507917,0.207507917,0.232829275,0.141855613,62.55525636,44650.6834,1221.672673,12.78866148,0.117092826,0.021684366,12.78866148,0.043543477,0.217945658,0.217945658,0.229323584,0.079067211
16,16,16,17,Grant,-12.4,-50,0,-3.7,-14.1,-7,-50,-100,-17.7,-100,0,-20.1,-29.7,-10.3,-50,-100,-37.4,0,0,-37.4,-26.1,-30.8,0,0,-44,0,0,-35.3,-11.9,-39.8,-66.6,0,45.93676035,62060.63983,1198.700565,13.89548778,0.162767897,0.07879621,0.165055436,0.058864338,0.213169765,0.182063029,0.082801083,0.018130143,45.90675112,62737.22393,1154.919162,14.00246526,0.169469966,0.079491869,0.166171113,0.061480038,0.207253017,0.184010456,0.081852061,0.019578239,45.59075684,56604.01475,1482.407689,13.31649996,0.128566388,0.079864912,0.153408504,0.041827686,0.257301579,0.169206649,0.074199153,0.006784332,47.77745829,56376.41313,911.7640172,13.25008353,0.167035689,0.040384513,0.185870525,0.048756069,0.163163148,0.195034275,0.167545793,0.026378888,45.93822854,72245.30207,1070.713356,14.39535286,0.160529732,0.101605022,0.19067455,0.078017262,0.187097171,0.169429421,0.07248838,0.028735257,49.01814792,25612.26448,690.4839162,12.10749286,0.222058472,0.050785454,0.128416186,0.000352136,0.218916563,0.253563978,0.086010656,0.000308115,47.26810376,62236.24084,983.9023429,13.67752806,0.163647526,0.0471809,0.184626312,0.063087736,0.172133361,0.194647291,0.137031902,0.025420548,46.05492549,59140.36947,1041.621374,14.00067002,0.150552494,0.063028095,14.00067002,0.057059317,0.202180898,0.202180898,0.194672701,0.050963102,46.04781878,59776.00311,1019.338289,14.08084374,0.152355235,0.064881242,14.08084374,0.05764482,0.20086262,0.20086262,0.196772458,0.053297673,45.71710175,55571.81987,1206.800386,13.67488431,0.152538483,0.060478195,13.67488431,0.053606497,0.205641062,0.205641062,0.185920036,0.02626436,46.96402531,53625.69172,879.3246837,12.98321649,0.104576099,0.03517513,12.98321649,0.050260524,0.229376391,0.229376391,0.167222847,0.080272242,45.72906985,59487.63948,1103.991994,14.33306477,0.140621797,0.073659744,14.33306477,0.052661295,0.192871109,0.192871109,0.210051798,0.030775196,49.03874906,19212.99994,759.9999975,12.24179616,0.138157901,0.055921047,12.24179616,0,0.296052624,0.296052624,0.246710528,0.039473677,46.9401615,58935.69603,955.0913266,13.43191485,0.111148827,0.041953416,13.43191485,0.063156924,0.214629824,0.214629824,0.172864014,0.084426806
17,17,17,18,Jefferson,-9.1,0,0,0,-2.8,-1.8,-100,0,-12.3,0,0,0,0,-3.4,0,-100,-30.4,0,0,0,-8.1,-21,0,0,-32.5,0,0,0,-8.1,-26,0,0,44.12086517,64657.44169,1283.284257,13.49999509,0.142509097,0.035861861,0.134494471,0.058573102,0.272883332,0.228872534,0.106794258,0.01770836,44.09098971,67186.50033,1233.402434,13.58661483,0.149423909,0.037423447,0.134765627,0.057609596,0.258003752,0.234299148,0.11013161,0.018890118,44.38045872,43992.95318,1683.370209,12.76865567,0.074843678,0.025278923,0.12216854,0.068556824,0.416223367,0.195981045,0.090709465,0.005055907,45.19265886,57876.84178,1461.540131,13.41447172,0.114500769,0.033542994,0.160728256,0.064408096,0.301661346,0.19733998,0.086674902,0.010633081,44.30342721,61494.41119,1241.693442,13.59728018,0.156435825,0.037015785,0.138243813,0.043044139,0.272118128,0.219840262,0.091681063,0.015020576,46.06344102,64938.59506,1629.448695,13.62951139,0.204928306,0.044677843,0.153886342,0.045844918,0.158670471,0.194236567,0.110539585,0.016394036,43.32031707,72350.31411,1163.600262,13.68580639,0.167203079,0.033371481,0.153790296,0.062033503,0.200744478,0.230516186,0.097086412,0.028530472,44.53168618,63080.54443,1240.633279,13.29346581,0.14588326,0.040687618,13.29346581,0.058777542,0.248740617,0.248740617,0.225356707,0.071947557,44.33135942,68188.1328,1162.616625,13.56468488,0.155022461,0.04246725,13.56468488,0.05688749,0.223350033,0.223350033,0.232316446,0.079844314,45.01925998,31574.34001,1725.953611,11.53319916,0.078770331,0.035717663,11.53319916,0.072154567,0.409243764,0.409243764,0.18486566,0.028061421,47.84334401,48169.60984,1391.176287,12.65667497,0.134483474,0.030068364,12.65667497,0.053777576,0.333185774,0.333185774,0.200640145,0.030446879,44.97449123,41318.20386,1530.728322,12.22572997,0.110083625,0.032245398,12.22572997,0.064239023,0.362264066,0.362264066,0.203155349,0.033920738,46.02536721,65992.99972,1626.999993,13.67921434,0.137254901,0.04826546,13.67921434,0.042232279,0.174962296,0.174962296,0.194570138,0.102564101,45.75724639,71404.55405,1131.617175,13.84252704,0.179573471,0.029382712,13.84252704,0.055753275,0.191017055,0.191017055,0.233624186,0.076212935
18,18,18,19,Downing,-11.5,0,0,-13,0,-2.8,0,0,-15.6,0,0,-19.6,-33.3,-3.9,0,0,-17,0,0,-27,-25,0,0,0,-9.1,0,0,-8.4,0,0,0,0,49.72255845,74702.28922,948.8601134,13.91072854,0.170565741,0.065112199,0.15073327,0.063564587,0.162832486,0.210926544,0.130598815,0.028658982,49.7807332,75551.88858,934.5033152,13.93379075,0.17204248,0.068175808,0.151015072,0.064559301,0.160596311,0.208234849,0.129026111,0.028202181,48.94881532,57535.04122,1265.1074,13.51625446,0.164208988,0.035217727,0.132817499,0.044749867,0.175869514,0.254814882,0.155056863,0.028931767,48.65287885,68716.90534,1228.515609,13.77878864,0.153021236,0.036403891,0.126792475,0.037216071,0.154691417,0.237577161,0.060913331,0.008933957,50.58135673,67295.74969,914.6565255,13.89265529,0.141451682,0.053967241,0.156056412,0.050058742,0.19164461,0.235751772,0.15313216,0.029091445,46.02536741,65000,1632,13.60702746,0.208083829,0.044910177,0.15419162,0.046407187,0.155688623,0.190119757,0.112275449,0.016467069,49.3081121,74600.01797,943.1169326,13.79030768,0.163127465,0.043121087,0.149923899,0.066680856,0.171930115,0.222759529,0.134982268,0.037336588,49.37633427,68517.29724,1015.59448,13.9688377,0.141271153,0.073578732,13.9688377,0.07065148,0.167409022,0.167409022,0.189184699,0.074467147,49.4320505,69141.37897,1002.273435,13.97984734,0.142443281,0.07574016,13.97984734,0.071790409,0.166347664,0.166347664,0.187547024,0.073833015,47.54518271,62671.54599,1434.59139,13.69782099,0.124350981,0.047816979,13.69782099,0.040452347,0.172835535,0.172835535,0.230507246,0.101126661,49.64531439,24400.63604,1270.276134,13.8320666,0.118309714,0.038206586,13.8320666,0.02579552,0.170196679,0.170196679,0.223720768,0.037922655,50.15544986,73151.50029,952.4750873,14.0958443,0.131218776,0.07198598,14.0958443,0.066510015,0.197059031,0.197059031,0.201817586,0.066071802,46.02536721,65992.99972,1626.999993,13.67921434,0.137254901,0.04826546,13.67921434,0.042232279,0.174962296,0.174962296,0.194570138,0.102564101,49.11069235,59800.73699,1074.369406,13.87768209,0.133270417,0.05774711,13.87768209,0.064427869,0.164311365,0.164311365,0.198722688,0.075981784
19,19,19,20,Skyline,-16.6,-100,-11.1,-4.1,-20,-9.4,0,-14.3,-18.7,-50,-22,-4.1,-21,-9.3,-100,-14.3,-28.6,0,-1.3,-39.4,0,-20.8,0,0,-30.2,0,-18.2,-39.4,-13.8,-18.5,0,-6.3,54.92684286,61183.96643,1446.08753,13.58088306,0.136222125,0.041282121,0.123669789,0.084060382,0.250240281,0.227018683,0.116941921,0.019709446,55.6535873,62848.26273,1430.239998,13.65031275,0.141419588,0.043178716,0.122816269,0.085664426,0.237234569,0.228665726,0.118442118,0.019658688,49.27461145,45515.61658,1637.76952,12.97206659,0.097969515,0.026384099,0.118943491,0.075403089,0.37076713,0.205992457,0.100707428,0.01384824,46.76159844,51798.86369,1540.52018,13.08638678,0.091867936,0.025770164,0.114836767,0.057678873,0.339021159,0.216344821,0.078258612,0.004164907,57.83092567,69584.98826,1314.854685,13.71432337,0.135364534,0.046743109,0.138880284,0.090275638,0.224846975,0.244131749,0.116737903,0.025246073,55.31194625,83370.15331,1756.143368,14.18345417,0.182042468,0.067078494,0.146308692,0.091831353,0.137081131,0.206650398,0.143968524,0.015084837,55.14191949,62172.64004,1314.670238,13.7809177,0.140014362,0.039428548,0.132180053,0.075267779,0.203304419,0.239579661,0.134041606,0.032460965,56.27609851,57212.12593,1392.456085,13.5127616,0.147876508,0.044842195,13.5127616,0.072676097,0.209664105,0.209664105,0.233616927,0.078944199,57.1457015,59573.56132,1372.490508,13.68926587,0.160504659,0.047422282,13.68926587,0.070950012,0.194329502,0.194329502,0.23523627,0.076486109,51.87160549,43691.33021,1468.212243,12.65412478,0.101192922,0.029374595,12.65412478,0.076885746,0.284180541,0.284180541,0.217067016,0.09504212,46.83031639,23361.85826,1631.956093,12.05505626,0.074063443,0.032003956,12.05505626,0.060372609,0.359330702,0.359330702,0.196740197,0.025086379,56.61761679,60101.033,1507.677582,12.97273936,0.114920196,0.049430153,12.97273936,0.086417954,0.276557103,0.276557103,0.239836681,0.052964205,56.62000032,84275.44372,1752.892879,14.1515779,0.149387741,0.073060363,14.1515779,0.092759321,0.164464448,0.164464448,0.192899667,0.0924447,55.02731316,53064.46068,1294.784391,13.80528253,0.128632797,0.038210097,13.80528253,0.06933907,0.157852295,0.157852295,0.249061423,0.110076751
20,20,20,21,Delong,-24.4,-100,0,-21.6,-8.3,-16.4,-33.3,0,-37.6,-100,0,-41.5,-48.9,-23.5,-33.3,0,-36.1,0,0,-47,-16.1,-23.8,-25,0,-43.3,-50,-0.4,0,-49.3,-31.1,-50,0,47.52300697,44028.99168,1371.426873,13.08605718,0.102155241,0.027841739,0.110929923,0.067788876,0.26636094,0.248139248,0.149043859,0.017739585,46.40570973,45558.14479,1362.19577,13.11597911,0.10867623,0.028525142,0.111529836,0.068072124,0.258743054,0.244779406,0.145949712,0.020398043,50.40063495,38422.1858,1513.671607,12.87514424,0.076613136,0.025006661,0.109364042,0.069199589,0.325963772,0.250475037,0.143489048,0.007300648,54.9356773,40131.98603,1218.318117,13.24460882,0.060581419,0.011059916,0.102279627,0.081091965,0.29524521,0.248530895,0.1963288,0.005299682,50.59081423,40420.46979,1139.102626,13.14000052,0.084747139,0.02102985,0.095645512,0.064572413,0.247300291,0.266454785,0.198285476,0.020129023,55.29133896,38851.24492,1194.142523,13.35895244,0.084986407,0.01283741,0.08482081,0.070898783,0.26352492,0.256194076,0.220730854,0.011144882,46.09437296,47866.7958,1307.557843,13.27421637,0.123172608,0.034947555,0.125901462,0.069766578,0.207047237,0.252708454,0.136840661,0.019555265,48.96556106,46035.85868,1414.15074,12.93781693,0.116901547,0.024075754,12.93781693,0.079680907,0.252604894,0.252604894,0.238505946,0.08651548,47.70848265,50298.13881,1375.749675,13.10749611,0.124595826,0.025278083,13.10749611,0.084384811,0.230110422,0.230110422,0.241034433,0.088084175,51.47246135,36055.93296,1552.321538,12.36041378,0.095160789,0.024429833,12.36041378,0.068623528,0.314216335,0.314216335,0.234320012,0.074344426,56.36377441,44525.96297,1123.371961,13.23319316,0.093940485,0.012214899,13.23319316,0.084173169,0.236227241,0.236227241,0.22348434,0.122441451,51.69569462,36312.99635,1424.629443,12.57647803,0.092572493,0.013828028,12.57647803,0.075160816,0.314420801,0.314420801,0.226124904,0.094364142,56.93088272,39804.22427,1244.130529,13.55287402,0.110138331,0.01036728,13.55287402,0.05790319,0.236418946,0.236418946,0.226902161,0.134786964,48.45243474,45742.12089,1477.772124,13.27113303,0.143936396,0.027851777,13.27113303,0.069656565,0.221403387,0.221403387,0.251076559,0.083874437
