y15_School,y15_LuPer,y15_TI,y15_NaPer,y15_LaPer,y15_BlPer,y15_PaPer
Angelo Giaudrone,0.7828125,1,0.015625,0.1765625,0.28125,0.0140625
Arlington,0.853932584,1,0.003745318,0.209737828,0.243445693,0.071161049
Baker,0.787661406,1,0.011477762,0.266857963,0.169296987,0.051649928
Birney,0.79954955,1,0.002252252,0.304054054,0.227477477,0.040540541
Blix Elementary,0.829959514,1,0.016194332,0.317813765,0.186234818,0.032388664
Boze,0.844919786,1,0.013368984,0.331550802,0.189839572,0.042780749
BROOKDALE ELEMENTARY,0.709543568,1,0.020746888,0.257261411,0.056016598,0.093360996
Browns Point,0.213043478,0,0.004347826,0.089130435,0.067391304,0.008695652
Bryant,0.519906323,1,0.014051522,0.079625293,0.177985948,0.004683841
CARTER LAKE ELEMENTARY SCHOOL,0.460591133,1,0.004926108,0.18226601,0.120689655,0.022167488
CENTRAL AVENUE ELEMENTARY,0.593103448,1,0.004597701,0.188505747,0.048275862,0.020689655
CHESTER H THOMPSON ELEMENTARY,0.765267176,1,0.009541985,0.248091603,0.103053435,0.070610687
CHRISTENSEN ELEMENTARY,0.754060325,1,0.011600928,0.259860789,0.180974478,0.069605568
CLOVER CREEK ELEMENTARY,0.496904025,1,0.00619195,0.151702786,0.088235294,0.035603715
COLLINS ELEMENTARY,0.506297229,1,0.007556675,0.198992443,0.037783375,0.010075567
COLUMBIA JUNIOR HIGH SCHOOL,0.461273666,1,0.015490534,0.182444062,0.037865749,0.027538726
COMM BASED TRANS PROGRAM,0.823529412,0,0.019607843,0.078431373,0.215686275,0.019607843
Crescent Heights,0.37751004,0,0.006024096,0.134538153,0.076305221,0.036144578
DAY REPORTING SCHOOL,0.722222222,0,0.055555556,0.222222222,0.444444444,0
Delong,0.720292505,1,0.016453382,0.153564899,0.28702011,0.016453382
Downing,0.525362319,1,0.010869565,0.105072464,0.152173913,0.003623188
Edison,0.856862745,1,0.003921569,0.288235294,0.196078431,0.025490196
ELMHURST ELEMENTARY SCHOOL,0.713253012,1,0.012048193,0.168674699,0.120481928,0.065060241
Fawcett,0.72826087,1,0.013043478,0.219565217,0.113043478,0.02826087
Fern Hill,0.740331492,1,0.002762431,0.309392265,0.096685083,0.060773481
FIFE HIGH SCHOOL,0.447300771,1,0.011568123,0.185089974,0.042416452,0.035989717
First Creek,0.906856404,1,0.021992238,0.289780078,0.230271669,0.046571798
FOSS,0.697857948,1,0.012401353,0.171364149,0.258173619,0.024802706
Franklin,0.777003484,1,0.017421603,0.205574913,0.226480836,0.024390244
FRANKLIN PIERCE HIGH SCHOOL,0.58557047,1,0.011744966,0.198825503,0.095637584,0.030201342
GATES SECONDARY SCHOOL,0.664864865,1,0.021621622,0.156756757,0.102702703,0.037837838
Geiger,0.462650602,1,0.007228916,0.159036145,0.086746988,0.012048193
Grant,0.368115942,1,0.014492754,0.098550725,0.115942029,0.008695652
Gray,0.799027553,1,0.008103728,0.222042139,0.241491086,0.051863857
