,depMEAN_NO2__Plume,depMEAN_VOC__Plume,depMEAN_pm_10__Plu,depMEAN_pm_1__Plum,depMEAN_pm_2_5__Pl,p_XCOORD,p_YCOORD,pG_hwc_raster_val,pG_hsc_raster_val,pG_rrc_raster_val,pG_tric_raster_val,pG_slo_raster_val,pD_pard_none_dist,pD_wad_none_dist,pG_parc_raster_val,pG_wac_raster_val,pG_ele_raster_val,pE_hsd_none_dist,pE_hwd_none_dist,pE_rrd_none_dist,pF_trid_none_dist,pD_psd_none_dist
depMEAN_NO2__Plume,1.0,-0.16683114847020467,-0.10079690166420846,-0.17696143780836954,-0.1358748517911788,0.29654079797700617,-0.3551722994524559,0.3941398299696521,0.1111734747138481,0.2972629126462838,-0.17411759303969462,0.1969591026878522,0.29221934299080893,0.3926130601937853,-0.17934548861219723,-0.13995329064018341,-0.18235896596064294,-0.2375796397896135,-0.18676008457064242,-0.08326899406821836,-0.3557506388572455,0.2021002538264973
depMEAN_VOC__Plume,-0.16683114847020467,1.0,0.2450131227976149,-0.12424802048711445,0.10805432063839207,0.22358703962860976,-0.13934723642660915,0.2537509194120691,0.29287200709826766,0.29968634719349313,0.23381275599449933,0.0825913776759971,0.13020907454865827,0.09114959761234169,-0.3536383266289092,0.03217152613167548,-0.2845002631067625,-0.03525499677462239,-0.223564667506827,-0.186240366135545,-0.08251871118744145,-0.09184398232845364
depMEAN_pm_10__Plu,-0.10079690166420846,0.2450131227976149,1.0,0.08698832975624829,0.793595570579684,0.18783566477222358,-0.014472389819692281,0.1709970358068489,0.07227238595738122,0.21452477364333733,0.21380565297892754,0.17540079356375318,-0.05617721646232943,0.07966492703621122,-0.042570148861671535,-0.10509639730477031,-0.16911826326733767,-0.07800756852493539,-0.17075736533822988,-0.22890820200882686,-0.10487148398279397,-0.19180133341727612
depMEAN_pm_1__Plum,-0.17696143780836954,-0.12424802048711445,0.08698832975624829,1.0,0.5438855661384648,-0.2558799867525331,0.6317016320934672,-0.3423240553143691,-0.5205297134777448,-0.1595789357885807,-0.1711434369610951,0.004442050957574378,-0.19782991282958623,0.0881622944171102,0.13796413475493458,-0.35853530688274093,0.039950900363548064,0.6789804753006058,0.699229941977445,-0.22332181531452872,0.6027859552773184,-0.35833570821651173
depMEAN_pm_2_5__Pl,-0.1358748517911788,0.10805432063839207,0.793595570579684,0.5438855661384648,1.0,0.0584812703891463,0.23924238517065166,0.0038792911435973658,-0.17570507424822526,0.11478027667858931,0.1001423431374368,0.14643969750508695,-0.1341533038158264,0.09853083175388938,0.07001683913576323,-0.24890956128463612,-0.0929039414612136,0.2470940476217056,0.15517801889730462,-0.26972680577249425,0.13447599226420937,-0.28010505625612214
p_XCOORD,0.29654079797700617,0.22358703962860976,0.18783566477222358,-0.2558799867525331,0.0584812703891463,1.0,-0.5256011509800316,0.6189361431347685,0.013428067863091432,0.6204564443613259,0.3746035190310711,0.212636006274524,0.1957387695710058,0.4787567153825168,-0.10193185748969985,-0.4622592932206519,-0.44941948717731545,-0.17454881253315457,-0.2596833089793991,-0.4244312428248733,-0.6865878444094553,0.07162977056913872
p_YCOORD,-0.3551722994524559,-0.13934723642660915,-0.014472389819692281,0.6317016320934672,0.23924238517065166,-0.5256011509800316,1.0,-0.2913197463010095,-0.28029993677685666,-0.14509035307314136,-0.025184380843161696,-0.03747275909494382,-0.38028109251548525,-0.15356693376591488,0.42987384779949506,-0.14610215890865563,0.01630978742172419,0.6607622299233986,0.37350009423956376,-0.19140148501567433,0.5753836741297464,-0.7528116028624077
pG_hwc_raster_val,0.3941398299696521,0.2537509194120691,0.1709970358068489,-0.3423240553143691,0.0038792911435973658,0.6189361431347685,-0.2913197463010095,1.0,0.47747885960284664,0.9385505437801844,0.3069920017963446,0.4115715520162286,0.12514681847120324,0.4746686618270512,-0.1672346716492054,-0.23232896318434768,-0.7086215405050196,-0.31817762409441863,-0.638951743021761,-0.5355727272288655,-0.6487294387641479,-0.2685023677158274
pG_hsc_raster_val,0.1111734747138481,0.29287200709826766,0.07227238595738122,-0.5205297134777448,-0.17570507424822526,0.013428067863091432,-0.28029993677685666,0.47747885960284664,1.0,0.36874470918921154,0.12768178148915274,0.026928808548578823,-0.008427597988178395,-0.29505429734380934,-0.22324067572866546,0.6258002978738916,-0.3384396887623488,-0.6486819775139432,-0.7253666576660549,0.14139505993829884,-0.35838420467915955,0.10183187605076988
pG_rrc_raster_val,0.2972629126462838,0.29968634719349313,0.21452477364333733,-0.1595789357885807,0.11478027667858931,0.6204564443613259,-0.14509035307314136,0.9385505437801844,0.36874470918921154,1.0,0.359443125291479,0.40248165741513053,0.11749306371986555,0.47787672037633905,-0.1925793242820801,-0.33490618200756916,-0.783495650111335,-0.1503284583229474,-0.4773533759591343,-0.7081065036655296,-0.527446908126242,-0.38435616511820514
