siteID,depMEAN_NO2__Plume,depMEAN_VOC__Plume,depMEAN_pm_10__Plu,depMEAN_pm_1__Plum,depMEAN_pm_2_5__Pl,siteID_INT,p_XCOORD,p_YCOORD,pG_hwc_raster_val,pG_hsc_raster_val,pG_rrc_raster_val,pG_tric_raster_val,pG_slo_raster_val,pD_pard_none_dist,pD_wad_none_dist,pG_parc_raster_val,pG_wac_raster_val,pG_ele_raster_val,pE_hsd_none_dist,pE_hwd_none_dist,pE_rrd_none_dist,pF_trid_none_dist,pD_psd_none_dist
400,6.0,2.0,21.0,3.0,4.0,385,1155886.2790793031,707592.2837515622,4.0,2.0,7.0,10.0,0.7164759039878845,399.6309386004132,1466.0979756547988,13.0,1.0,98.69340515136719,2742.854626122759,2687.074471517248,2847.177507816217,4572.272057511719,3201.9668833892974
401,7.0,2.0,3.0,3.0,4.0,386,1155765.4551739693,707598.1928604692,4.0,2.0,7.0,10.0,1.2401624917984009,514.7325904014226,1496.3530281142325,13.0,1.0,100.32440948486328,2858.229822849828,2805.9355781237164,2967.646410692959,4692.246134319265,3294.3741729506496
402,7.0,2.0,111.0,3.0,11.0,387,1156117.4734988064,707599.699091062,4.0,2.0,7.0,10.0,0.4714163541793823,187.87879093638136,1416.468162361218,13.0,1.0,98.55554962158203,2518.094780636424,2457.2940488532317,2619.6517102325774,4341.251760196109,3018.2643596932617
403,0.0,3.0,3.0,3.0,4.0,388,1158627.8569294661,707542.1483531445,4.0,5.0,8.0,32.0,1.8467600345611572,261.6636559855285,2719.7931089324943,9.0,2.0,39.13664245605469,618.3192305271373,348.3158057408687,360.2326958663475,1863.7404939204682,839.5710746684032
404,7.0,2.0,148.0,3.0,23.0,389,1156232.415198058,707627.1393248886,4.0,2.0,7.0,10.0,0.4557744264602661,92.84398218122237,1381.3935027939935,13.0,1.0,98.13308715820312,2400.0294246248895,2339.5374203354286,2510.8159319327156,4224.455152891386,2912.51683677898
406,6.0,2.0,148.0,8.0,36.0,390,1156359.151493132,707639.3299173117,4.0,2.0,7.0,10.0,0.7317737936973572,85.0069725513618,1371.6944608154115,13.0,1.0,96.42904663085938,2274.925830628682,2212.401826648776,2388.3769060589493,4097.151490262575,2807.5743576836926
407,5.0,2.0,3.0,3.0,4.0,391,1156561.393214643,707681.397746563,4.0,2.0,7.0,10.0,0.8397062420845032,69.01304278543117,1355.392574364605,12.0,1.0,94.2900390625,2069.134503895782,2006.1590079320924,2199.0839013550985,3892.306793158635,2627.993367301029
408,6.0,2.0,148.0,8.0,36.0,392,1156461.6073249727,707684.2284495533,4.0,2.0,7.0,10.0,1.0205715894699097,53.50909969680252,1337.7771646259469,12.0,1.0,95.5300064086914,2163.9828464536085,2104.544147271189,2297.064494224706,3991.639662866813,2700.5896902851105
409,0.0,3.0,21.0,3.0,4.0,393,1158658.498600468,707636.6212613136,4.0,5.0,8.0,32.0,1.5951564311981201,245.221644104469,2694.0059737927604,9.0,2.0,38.95948028564453,525.0587409541481,258.2046100681227,448.77239614703427,1814.5668130363072,782.2825837507557
410,5.0,2.0,3.0,3.0,4.0,394,1156659.950760305,707689.1782428026,4.0,2.0,7.0,10.0,0.5679510235786438,73.83593127079338,1369.0557426608118,12.0,1.0,93.09345245361328,1972.7131609586463,1907.5290511930637,2104.96158204311,3793.4447136318545,2550.757446442434
411,0.0,3.0,0.0,0.0,0.0,395,1158063.3242658824,707666.2327506393,4.0,3.0,7.0,29.0,2.283684730529785,833.5763268447771,2192.8847454259553,10.0,2.0,60.89352035522461,725.4226511962992,564.8776722361221,798.8810084912993,2398.5920507504684,1317.6247088944226
413,3.0,2.0,79.0,3.0,4.0,396,1156753.0047080517,707725.5541543067,4.0,3.0,7.0,10.0,0.1288323998451233,49.59531665511103,1360.6533800499676,12.0,1.0,92.75383758544922,1873.0285743347797,1810.2327087588915,2023.9950790901753,3698.1279986260647,2458.732971122254
414,3.0,2.0,17.0,3.0,4.0,397,1156851.9772791415,707730.0420062244,4.0,3.0,7.0,10.0,0.4078517258167267,57.73664946134781,1390.7348913590527,12.0,1.0,93.37677001953125,1777.4185457046337,1711.600238973027,1929.9746823497471,3599.071852459709,2386.173282829242
415,3.0,2.0,17.0,3.0,4.0,398,1156952.9449249655,707734.8458023965,4.0,3.0,7.0,10.0,0.24197782576084137,69.74394444981247,1427.6653658148134,12.0,1.0,93.63292694091797,1680.0988870081308,1611.002059497926,1834.6741524877136,3498.0053070551253,2293.3919906828987
416,0.0,3.0,0.0,0.0,0.0,399,1158211.4082873017,707708.1923123896,4.0,3.0,7.0,32.0,2.1634230613708496,695.2459238083303,2283.7396681729447,10.0,2.0,57.624107360839844,595.953682274504,414.9719223920962,715.4163788576068,2246.5780123431505,1169.2267827913927
417,0.0,2.0,138.0,3.0,21.0,400,1157051.8223518878,707745.5396786481,4.0,3.0,7.0,10.0,0.8851456642150879,132.15443757178576,1464.456267138039,11.0,1.0,92.77418518066406,1582.55637809524,1511.6357708549801,1743.876219473932,3398.6438661053294,2198.1888871839665
418,0.0,3.0,87.0,3.0,10.0,401,1158307.8145905584,707729.5338051468,4.0,4.0,7.0,32.0,1.9684991836547852,607.4636716387564,2349.8152263518027,9.0,2.0,54.842857360839844,524.0201891540976,322.9754314356262,669.7163446014094,2148.3990172243775,1076.776590111936
419,0.0,3.0,21.0,3.0,4.0,402,1158622.3621897995,707732.7372108102,4.0,5.0,8.0,32.0,3.1473207473754883,321.404167590176,2613.169472078602,9.0,2.0,38.784629821777344,427.7071714005775,198.1263789893852,511.4145692436667,1835.6235127999273,800.0304764846837
420,0.0,2.0,138.0,3.0,21.0,403,1157148.595124215,707771.6095083952,4.0,3.0,7.0,10.0,1.1423243284225464,214.9365415994482,1492.292065565314,11.0,1.0,91.05331420898438,1482.417223660901,1412.0858705283415,1661.3697467928541,3300.462396308344,2098.9191792109623
421,0.0,3.0,146.0,6.0,28.0,404,1158014.765964061,707752.0750986487,4.0,3.0,7.0,29.0,2.0106160640716553,896.7235882218531,2101.041161491268,11.0,2.0,65.77424621582031,705.3104883233228,575.5894399434401,889.9247019064827,2437.872070063148,1319.365527206921
