total,no_yr,nurs_scl,kndr,oneyr,twoyr,threeyr,fouryr,fiveyr,sixyr,sevenyr,eightyr,nineyr,tenyr,elevenyr,twelveyr_nd,twelveyr,GED,sub_thirteenyr,thirteenyr,fourteenyr,sixteenyr,eighteenyr,prof_scl,doctorate,id,id,Y2014_Ed_TTL,Y2014_Ed_Avg
1021,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,174,53,106,154,160,182,123,54,0,530609055,530609055,14509,14.21057786
1238,17,0,0,0,0,0,0,0,0,5,0,5,7,5,0,304,43,107,283,112,208,127,11,4,530609061,530609061,16845.5,13.60702746
494,0,0,0,0,0,0,0,0,0,0,0,4,31,24,5,94,6,29,92,43,103,44,0,19,530609062,530609062,6848,13.86234818
723,0,0,0,0,0,0,0,0,0,0,0,0,0,10,47,182,37,113,101,65,143,25,0,0,530610011,530610011,9652,13.34993084
628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,18,68,27,166,68,63,17,530610012,530610012,9253,14.73407643
1500,0,0,0,0,0,0,0,0,0,0,10,8,8,26,16,275,29,60,203,157,328,261,80,39,530610013,530610013,22103,14.73533333
1366,14,0,0,0,0,0,51,0,22,6,13,0,21,94,44,391,56,170,209,55,89,85,16,30,530610021,530610021,17050,12.48169839
552,11,0,0,0,0,0,11,0,9,0,0,0,7,73,0,95,0,82,115,0,149,0,0,0,530610022,530610022,7015,12.70833333
761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,176,16,42,139,80,153,101,6,11,530610023,530610023,10775.5,14.15965834
447,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,110,26,77,60,53,85,10,0,11,530610024,530610024,6043,13.51901566
650,0,0,0,0,0,0,0,0,0,0,0,21,0,8,12,124,12,39,168,17,156,81,0,12,530611001,530611001,9150.5,14.07769231
368,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,172,15,33,40,65,30,0,0,0,530611002,530611002,4709.5,12.79755435
584,0,0,0,0,0,0,0,0,19,0,4,0,6,21,47,200,4,22,124,15,91,31,0,0,530611003,530611003,7536.5,12.90496575
715,13,0,0,0,0,0,0,0,15,0,0,0,15,28,14,184,52,95,129,15,127,0,0,28,530611004,530611004,9207.5,12.87762238
753,0,0,0,0,0,0,0,0,0,0,0,0,46,17,0,244,44,34,130,10,109,92,27,0,530611005,530611005,10244,13.60424967
1063,17,0,0,0,0,0,19,0,0,0,0,0,23,0,0,200,20,36,267,187,144,135,0,15,530611006,530611006,14519,13.65851364
