OBJECTID,PropertyID,ParkType,ParkClass,Address,PostalCity,ZIPCode,Owner,Manager,ParkHours,AcresImproved,AcresUnimproved,ParkWebLink,IsPublicAccessible,Maplabel,GISAcres,Name,AltWebLink,RESTROOM,ADACOMPLY,PARKING,PAVED_TRAIL,UNPAVED_TRAIL,TRAILHEAD,COMMUNITY_CENTER,PICNIC,PLAYGROUND,DOG_PARK,BASEBALL,BASKETBALL,MULTIPURPOSE,GOLF,BEACH,FISHING,BOAT_LAUNCH,SKATE,TENNIS,BMX,CLIMBING,EQUESTRIAN,DISC_GOLF,ICE_RINK,QTR_MIDGET_TRACK,PARKSIZE,DESCRIPTION,VisibleInApp,Camping,SHAPE_Length,SHAPE_Area
247,383,Park,Special Use,8202 87th Ave SW,Lakewood,98498,State of Washington,Washington State Department of Fish and Wildlife,Dawn to Dusk,105,0,,1,Fort Steilacoom Disc Golf Course,82.74256086,Fort Steilacoom Disc Golf Course, ,Yes,,Yes,No,yes,No,No,No,No,No,no,No,No,no,No,No,No,No,No,No,No,No,yes,No,No,81.92,,no, ,8455.22414772417,3604201.97801264
248,385,Park,Local,1700 12th Ave SW,Puyallup,98371,City of Puyallup,City of Puyallup,Dawn to Dusk (unless otherwise posted),45.01,0,http://www.cityofpuyallup.org/services/parks-recreation/city-puyallup-parks/clarks-creek-park/,1,Clarks Creek Park South,46.12878531,Clarks Creek Park South, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,7183.40141593142,2009361.81507929
250,799,Park,Local,2820 54th Ave E,Fife,98424,City of Fife,City of Fife,8 am to Dusk,38.09,0,http://cityoffife.org/?p=city_departments&a=parks_and_recreation&b=city_parks&c=dacca_park,1,Dacca Park,9.35683598,Dacca Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,3361.27981489801,407582.107982891
251,1597,Golf,Special Use,3604 22ND AV NW,Gig Harbor,98335,Peninsula Metropolitan Park District,Peninsula Metropolitan Park District,,91,0,https://madronalinks.com/,1,Madrona Links Golf Course,91.41441329,Madrona Links Golf Course, ,yes, ,yes, , , , , , , , , , ,yes, , , , , , , , , , , ,91, ,No, ,8411.38909157001,3981995.87460681
252,1841,Park,Local,9301 208th Av E,Bonney Lake,98391,City of Bonney Lake,City of Bonney Lake,Dawn to Dusk,2.9,0,http://www.ci.bonney-lake.wa.us/section_community/parks_recreation/city_parks.shtml,1,Cedarview Park,2.91418018,Cedarview Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1472.54377804706,126936.298866583
253,1842,Park,Local,7730 182nd Av E,Bonney Lake,98391,City of Bonney Lake,City of Bonney Lake,Closes at Dusk,0.37,0,http://www.ci.bonney-lake.wa.us/section_community/parks_recreation/city_parks.shtml,1,Madrona Park,0.36980575,Madrona Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,523.698729465894,16108.6727816505
254,1845,Park,Local,15603 Meade McCumber Road,Sumner,98390,City of Sumner,City of Sumner,Per City Rules,3.85,0,http://www.ci.sumner.wa.us/Living/Rainier_View.htm,1,Rainier View Park,3.84584555,Rainier View Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1705.69419700438,167524.376878554
255,1846,Park Under Construction,Resource Conservancy,4118 Rosedale St,Gig Harbor,98335,City of Gig Harbor,City of Gig Harbor,Dawn to Dusk,16,0,http://www.cityofgigharbor.net/page.php?id=699,1,Wilkinson Farm Park,17.22620357,Wilkinson Farm Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,5581.56698438517,750370.430944862
256,1847,Park,Special Use,8917 Franklin St,Gig Harbor,98332,City of Gig Harbor,City of Gig Harbor,Dawn to Dusk,0.2,0,http://www.cityofgigharbor.net/page.php?id=699,1,Finholm View Climb,0.07775018,Finholm View Climb, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,285.788023420012,3386.77692905442
257,1848,Park,Special Use,3805 Harborview Dr,Gig Harbor,98332,City of Gig Harbor,City of Gig Harbor,Dawn to Dusk,1.817,0,http://www.cityofgigharbor.net/page.php?id=699,1,Eddon Boat Park,1.81690003,Eddon Boat Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1072.51450729507,79126.9349383632
258,1850,Park,Local,3510 Grandview Street,Gig Harbor,98335,City of Gig Harbor,City of Gig Harbor,Dawn to Dusk,3.344,0,http://www.cityofgigharbor.net/page.php?id=699,1,Civic Center Green,3.34417743,Civic Center Green, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1741.4277803267,145666.042103473
259,1851,Skate Park,Special Use,3510 Grandview Street,Gig Harbor,98335,City of Gig Harbor,City of Gig Harbor,Dawn to Dusk,2.7,0,http://www.cityofgigharbor.net/page.php?id=699,1,Skate Park,7.12304519,Skate Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,3002.58272235343,310284.350948202
