siteID,depMEAN_NO2__Plume,depMEAN_VOC__Plume,depMEAN_pm_10__Plu,depMEAN_pm_1__Plum,depMEAN_pm_2_5__Pl,siteID_INT,p_XCOORD,p_YCOORD,pG_tri_raster_val,pG_slope_raster_val,pG_highway_raster_val,pG_highspeed_raster_val,pG_railroad_raster_val,pG_park_raster_val,pG_water_raster_val,pG_elev_raster_val,pD_parkd_none_dist,pD_waterd_none_dist,pD_soundd_none_dist,pF_trid_none_dist,pE_hwd_none_dist,pE_hsd_none_dist,pE_rrd_none_dist
282,23.0,1.0,3.0,3.0,4.0,282,1137179.2784356326,702898.4020632207,0.0,1.0356543064117432,2.0,7.0,0.0,7.0,4.0,101.02411651611328,1720.0574841102703,1573.8920460465417,6712.522839502708,11298.260447740638,4496.765208076041,31.75825047029298,6671.660586314523
283,22.0,1.0,32.0,3.0,4.0,283,1141567.5295016319,702792.7090331465,0.0,2.3081305027008057,2.0,8.0,0.0,10.0,5.0,93.0121078491211,64.29683841262903,358.08143477652783,10961.79689609739,9662.772359137984,705.4562641847691,796.2238474506515,9057.774852158253
284,28.0,1.0,3.0,3.0,4.0,284,1154815.3468379676,702509.3897178918,2.0,0.5406261086463928,9.0,4.0,10.0,12.0,3.0,112.74256134033203,641.5093853952138,4240.887870687358,5511.693250649191,3985.6310567985497,1925.0275335317365,1925.0275335317365,3769.526067668201
285,21.0,1.0,3.0,3.0,4.0,285,1140802.0576073825,702863.300755471,0.0,0.7365690469741821,2.0,8.0,0.0,10.0,6.0,92.62073516845703,367.4460544415486,453.36874671387795,10200.596419173533,9878.00801050555,1358.2370635383697,1024.4615523936795,9636.070057106625
286,31.0,1.0,3.0,3.0,4.0,286,1155057.2928763926,702527.108186394,2.0,0.9833371639251709,9.0,3.0,10.0,12.0,3.0,112.61978149414062,884.1032284497827,4473.6764622535975,5269.885422709193,4086.3440486208997,2167.621079647677,2167.621079647677,3839.305878532879
287,30.0,1.0,3.0,3.0,4.0,287,1155400.3371378034,702523.7181013077,2.0,0.15973567962646484,9.0,3.0,10.0,12.0,2.0,112.65519714355469,966.1592002223441,4796.208247231367,4926.824482870094,4223.242863438978,2509.6194128298434,2509.6194128298434,3908.8411112116314
288,30.0,1.0,3.0,3.0,4.0,288,1155297.4006638825,702540.8614397198,2.0,0.3177169859409332,9.0,3.0,10.0,13.0,3.0,111.77587127685547,990.896272572566,4704.411877242694,5029.940567838652,4194.303494329103,2408.08880194343,2408.08880194343,3903.5902601763205
289,24.0,0.0,0.0,0.0,0.0,289,1137213.7455583066,703011.7184376419,0.0,0.9513339996337891,2.0,8.0,0.0,7.0,4.0,100.18427276611328,1765.7484011317215,1470.5924978836094,6708.169987683154,11377.527792269773,4407.896432074936,62.83237882478253,6666.428693893623
290,17.0,1.0,3.0,3.0,4.0,290,1155512.144656971,702553.7866107225,2.0,0.21455486118793488,9.0,3.0,11.0,13.0,1.0,112.50176239013672,904.3256995931629,4911.7661832428075,4815.399080032822,4300.521886684875,2623.204813435032,2623.204813435032,3905.3283561406292
291,17.0,1.0,3.0,3.0,4.0,291,1155604.9673059732,702589.7983497232,2.0,0.16714826226234436,9.0,3.0,11.0,13.0,1.0,112.69802856445312,850.5597926448663,5011.225804659505,4723.300633889425,4375.701502959265,2718.5354173436954,2718.5354173436954,3805.8457330339525
