"Label (Grouping)","Total:","Total:!!Under .50","Total:!!.50 to .99","Total:!!1.00 to 1.24","Total:!!1.25 to 1.49","Total:!!1.50 to 1.84","Total:!!1.85 to 1.99","Total:!!2.00 and over"
"Block Group 1, Census Tract 602, Pierce County, Washington","","","","","","","",""
"    Estimate","1,020","148","154","68","15","48","5","582"
"    Margin of Error","±231","±84","±106","±47","±16","±16","±7","±94"
"Block Group 1, Census Tract 603, Pierce County, Washington","","","","","","","",""
"    Estimate","1,188","31","28","2","9","91","71","956"
"    Margin of Error","±210","±30","±30","±4","±13","±50","±91","±186"
"Block Group 2, Census Tract 603, Pierce County, Washington","","","","","","","",""
"    Estimate","1,236","100","0","185","13","96","33","809"
"    Margin of Error","±256","±96","±12","±198","±18","±107","±31","±238"
"Block Group 3, Census Tract 603, Pierce County, Washington","","","","","","","",""
"    Estimate","1,654","71","77","45","119","35","0","1,307"
"    Margin of Error","±263","±56","±57","±38","±119","±24","±12","±249"
"Block Group 1, Census Tract 604, Pierce County, Washington","","","","","","","",""
"    Estimate","692","70","0","0","10","0","0","612"
"    Margin of Error","±163","±91","±12","±12","±16","±12","±12","±159"
"Block Group 2, Census Tract 604, Pierce County, Washington","","","","","","","",""
"    Estimate","702","22","0","0","0","58","0","622"
"    Margin of Error","±155","±24","±12","±12","±12","±65","±12","±138"
"Block Group 3, Census Tract 604, Pierce County, Washington","","","","","","","",""
"    Estimate","731","21","0","7","0","75","14","614"
"    Margin of Error","±157","±24","±12","±12","±12","±111","±22","±159"
"Block Group 4, Census Tract 604, Pierce County, Washington","","","","","","","",""
"    Estimate","999","0","204","24","21","25","9","716"
"    Margin of Error","±256","±12","±221","±29","±32","±32","±14","±189"
"Block Group 5, Census Tract 604, Pierce County, Washington","","","","","","","",""
"    Estimate","754","57","9","0","0","8","9","671"
"    Margin of Error","±145","±49","±14","±12","±12","±13","±13","±155"
"Block Group 1, Census Tract 605, Pierce County, Washington","","","","","","","",""
"    Estimate","817","16","0","7","0","17","0","777"
"    Margin of Error","±184","±20","±12","±11","±12","±27","±12","±184"
"Block Group 2, Census Tract 605, Pierce County, Washington","","","","","","","",""
"    Estimate","955","12","0","20","16","47","0","860"
"    Margin of Error","±254","±19","±12","±29","±23","±58","±12","±212"
"Block Group 3, Census Tract 605, Pierce County, Washington","","","","","","","",""
"    Estimate","859","149","37","81","0","19","0","573"
"    Margin of Error","±273","±183","±51","±75","±12","±30","±12","±187"
"Block Group 4, Census Tract 605, Pierce County, Washington","","","","","","","",""
"    Estimate","574","34","9","13","0","35","9","474"
"    Margin of Error","±194","±54","±14","±20","±12","±45","±13","±173"
"Block Group 5, Census Tract 605, Pierce County, Washington","","","","","","","",""
"    Estimate","890","30","0","0","0","12","24","824"
"    Margin of Error","±229","±38","±12","±12","±12","±20","±38","±234"
"Block Group 1, Census Tract 606, Pierce County, Washington","","","","","","","",""
"    Estimate","1,246","6","66","14","0","13","0","1,147"
"    Margin of Error","±338","±10","±95","±23","±12","±20","±12","±326"
"Block Group 2, Census Tract 606, Pierce County, Washington","","","","","","","",""
"    Estimate","1,217","103","36","0","0","26","0","1,052"
"    Margin of Error","±299","±74","±57","±12","±12","±41","±12","±296"
"Block Group 3, Census Tract 606, Pierce County, Washington","","","","","","","",""
"    Estimate","804","86","27","28","21","82","0","560"
"    Margin of Error","±242","±47","±29","±44","±33","±94","±12","±234"
"Block Group 4, Census Tract 606, Pierce County, Washington","","","","","","","",""
"    Estimate","863","14","77","13","46","51","14","648"
"    Margin of Error","±295","±23","±97","±20","±73","±60","±22","±259"
"Block Group 5, Census Tract 606, Pierce County, Washington","","","","","","","",""
"    Estimate","557","0","0","14","0","30","0","513"
"    Margin of Error","±167","±12","±12","±22","±12","±35","±12","±167"
"Block Group 6, Census Tract 606, Pierce County, Washington","","","","","","","",""
"    Estimate","642","182","94","0","0","74","0","292"
"    Margin of Error","±303","±168","±108","±12","±12","±117","±12","±163"
"Block Group 1, Census Tract 607, Pierce County, Washington","","","","","","","",""
"    Estimate","1,084","63","17","14","16","0","0","974"
"    Margin of Error","±324","±79","±27","±24","±25","±12","±12","±319"
"Block Group 2, Census Tract 607, Pierce County, Washington","","","","","","","",""
"    Estimate","938","96","40","30","15","20","17","720"
"    Margin of Error","±240","±107","±60","±35","±23","±31","±27","±265"
"Block Group 3, Census Tract 607, Pierce County, Washington","","","","","","","",""
"    Estimate","1,213","181","103","17","40","57","0","815"
"    Margin of Error","±415","±127","±102","±28","±65","±92","±12","±318"
"Block Group 4, Census Tract 607, Pierce County, Washington","","","","","","","",""
"    Estimate","1,048","193","94","34","40","0","0","687"
"    Margin of Error","±337","±248","±90","±38","±63","±12","±12","±234"
"Block Group 5, Census Tract 607, Pierce County, Washington","","","","","","","",""
"    Estimate","449","147","63","0","16","0","0","223"
"    Margin of Error","±218","±170","±77","±12","±27","±12","±12","±151"
"Block Group 6, Census Tract 607, Pierce County, Washington","","","","","","","",""
"    Estimate","534","57","0","0","22","0","0","455"
"    Margin of Error","±207","±91","±12","±12","±34","±12","±12","±204"
"Block Group 1, Census Tract 608, Pierce County, Washington","","","","","","","",""
"    Estimate","787","32","8","105","0","0","0","642"
"    Margin of Error","±231","±51","±12","±160","±12","±12","±12","±209"
"Block Group 2, Census Tract 608, Pierce County, Washington","","","","","","","",""
"    Estimate","618","5","12","0","0","44","0","557"
"    Margin of Error","±170","±11","±22","±12","±12","±53","±12","±173"
"Block Group 3, Census Tract 608, Pierce County, Washington","","","","","","","",""
"    Estimate","785","67","0","0","56","5","0","657"
"    Margin of Error","±290","±104","±12","±12","±68","±6","±12","±212"
"Block Group 4, Census Tract 608, Pierce County, Washington","","","","","","","",""
"    Estimate","523","0","0","74","0","8","154","287"
"    Margin of Error","±216","±12","±12","±112","±12","±14","±179","±129"
"Block Group 5, Census Tract 608, Pierce County, Washington","","","","","","","",""
"    Estimate","788","12","50","13","0","0","0","713"
"    Margin of Error","±235","±21","±81","±20","±12","±12","±12","±243"
"Block Group 6, Census Tract 608, Pierce County, Washington","","","","","","","",""
"    Estimate","977","12","27","35","80","51","0","772"
"    Margin of Error","±320","±19","±31","±43","±137","±86","±12","±350"
"Block Group 7, Census Tract 608, Pierce County, Washington","","","","","","","",""
"    Estimate","578","0","0","0","0","0","0","578"
"    Margin of Error","±167","±12","±12","±12","±12","±12","±12","±167"
"Block Group 1, Census Tract 609.03, Pierce County, Washington","","","","","","","",""
"    Estimate","1,053","250","100","0","0","80","10","613"
"    Margin of Error","±523","±363","±153","±12","±12","±78","±15","±164"
"Block Group 2, Census Tract 609.03, Pierce County, Washington","","","","","","","",""
"    Estimate","1,069","30","85","57","112","66","16","703"
"    Margin of Error","±207","±33","±35","±83","±111","±59","±24","±163"
"Block Group 3, Census Tract 609.03, Pierce County, Washington","","","","","","","",""
"    Estimate","1,328","10","0","0","0","101","0","1,217"
"    Margin of Error","±225","±15","±12","±12","±12","±82","±12","±248"
"Block Group 1, Census Tract 609.04, Pierce County, Washington","","","","","","","",""
"    Estimate","819","15","0","31","17","0","0","756"
"    Margin of Error","±491","±24","±12","±50","±27","±12","±12","±486"
"Block Group 2, Census Tract 609.04, Pierce County, Washington","","","","","","","",""
"    Estimate","1,808","96","188","35","14","177","56","1,242"
"    Margin of Error","±443","±79","±193","±100","±24","±170","±47","±368"
"Block Group 3, Census Tract 609.04, Pierce County, Washington","","","","","","","",""
"    Estimate","1,061","187","47","0","16","218","109","484"
"    Margin of Error","±520","±209","±69","±12","±24","±222","±154","±281"
"Block Group 4, Census Tract 609.04, Pierce County, Washington","","","","","","","",""
"    Estimate","1,433","287","293","62","42","41","21","687"
"    Margin of Error","±300","±187","±193","±65","±51","±56","±35","±258"
"Block Group 1, Census Tract 609.05, Pierce County, Washington","","","","","","","",""
"    Estimate","2,103","79","642","72","86","185","123","916"
"    Margin of Error","±390","±85","±410","±57","±82","±134","±129","±351"
"Block Group 2, Census Tract 609.05, Pierce County, Washington","","","","","","","",""
"    Estimate","818","0","17","0","12","265","17","507"
"    Margin of Error","±351","±12","±28","±12","±20","±330","±28","±213"
"Block Group 3, Census Tract 609.05, Pierce County, Washington","","","","","","","",""
"    Estimate","964","28","69","0","0","77","0","790"
"    Margin of Error","±348","±31","±90","±12","±12","±75","±12","±254"
"Block Group 4, Census Tract 609.05, Pierce County, Washington","","","","","","","",""
"    Estimate","1,559","80","53","92","33","22","30","1,249"
"    Margin of Error","±359","±106","±49","±130","±37","±34","±34","±350"
"Block Group 5, Census Tract 609.05, Pierce County, Washington","","","","","","","",""
"    Estimate","1,149","29","112","23","0","0","16","969"
"    Margin of Error","±265","±39","±130","±36","±12","±12","±25","±251"
"Block Group 1, Census Tract 609.06, Pierce County, Washington","","","","","","","",""
"    Estimate","1,480","47","26","34","55","81","37","1,200"
"    Margin of Error","±143","±35","±25","±23","±60","±48","±51","±143"
"Block Group 2, Census Tract 609.06, Pierce County, Washington","","","","","","","",""
"    Estimate","679","32","18","8","21","67","0","533"
"    Margin of Error","±113","±37","±21","±9","±32","±52","±12","±107"
"Block Group 1, Census Tract 610.01, Pierce County, Washington","","","","","","","",""
"    Estimate","1,025","55","64","115","74","79","16","622"
"    Margin of Error","±204","±46","±63","±122","±57","±82","±18","±180"
"Block Group 2, Census Tract 610.01, Pierce County, Washington","","","","","","","",""
"    Estimate","920","19","0","8","0","34","0","859"
"    Margin of Error","±208","±31","±12","±12","±12","±51","±12","±200"
"Block Group 3, Census Tract 610.01, Pierce County, Washington","","","","","","","",""
"    Estimate","1,740","85","16","42","32","42","22","1,501"
"    Margin of Error","±248","±60","±18","±36","±33","±44","±37","±251"
"Block Group 1, Census Tract 610.02, Pierce County, Washington","","","","","","","",""
"    Estimate","1,822","475","73","282","177","339","0","476"
"    Margin of Error","±540","±318","±50","±179","±161","±387","±12","±218"
"Block Group 2, Census Tract 610.02, Pierce County, Washington","","","","","","","",""
"    Estimate","775","0","10","12","35","0","18","700"
"    Margin of Error","±234","±12","±22","±19","±44","±12","±26","±238"
"Block Group 3, Census Tract 610.02, Pierce County, Washington","","","","","","","",""
"    Estimate","1,101","89","38","23","151","24","102","674"
"    Margin of Error","±249","±68","±35","±26","±100","±27","±162","±207"
"Block Group 4, Census Tract 610.02, Pierce County, Washington","","","","","","","",""
"    Estimate","544","4","16","40","35","0","0","449"
"    Margin of Error","±260","±9","±28","±48","±85","±12","±12","±248"
"Block Group 1, Census Tract 611, Pierce County, Washington","","","","","","","",""
"    Estimate","1,345","0","89","138","0","106","0","1,012"
"    Margin of Error","±374","±12","±107","±194","±12","±120","±12","±428"
"Block Group 2, Census Tract 611, Pierce County, Washington","","","","","","","",""
"    Estimate","522","0","135","30","0","0","0","357"
"    Margin of Error","±252","±12","±209","±48","±12","±12","±12","±152"
"Block Group 3, Census Tract 611, Pierce County, Washington","","","","","","","",""
"    Estimate","485","17","83","0","0","0","0","385"
"    Margin of Error","±183","±25","±119","±12","±12","±12","±12","±177"
"Block Group 4, Census Tract 611, Pierce County, Washington","","","","","","","",""
"    Estimate","724","15","35","58","17","90","14","495"
"    Margin of Error","±248","±24","±39","±49","±27","±52","±24","±259"
"Block Group 5, Census Tract 611, Pierce County, Washington","","","","","","","",""
"    Estimate","996","75","74","16","45","33","32","721"
"    Margin of Error","±270","±46","±56","±24","±52","±51","±51","±242"
"Block Group 6, Census Tract 611, Pierce County, Washington","","","","","","","",""
"    Estimate","1,348","0","40","102","0","16","80","1,110"
"    Margin of Error","±419","±12","±65","±91","±12","±25","±123","±440"
"Block Group 7, Census Tract 611, Pierce County, Washington","","","","","","","",""
"    Estimate","1,190","0","51","82","229","15","15","798"
"    Margin of Error","±383","±12","±44","±89","±191","±24","±23","±357"
"Block Group 1, Census Tract 612, Pierce County, Washington","","","","","","","",""
"    Estimate","1,409","177","157","152","35","103","117","668"
"    Margin of Error","±367","±163","±132","±242","±40","±107","±185","±240"
"Block Group 2, Census Tract 612, Pierce County, Washington","","","","","","","",""
"    Estimate","686","54","0","0","22","63","0","547"
"    Margin of Error","±215","±68","±12","±12","±25","±75","±12","±179"
"Block Group 3, Census Tract 612, Pierce County, Washington","","","","","","","",""
"    Estimate","936","0","16","57","0","107","18","738"
"    Margin of Error","±369","±12","±25","±89","±12","±124","±21","±347"
"Block Group 4, Census Tract 612, Pierce County, Washington","","","","","","","",""
"    Estimate","686","27","19","0","190","30","77","343"
"    Margin of Error","±298","±42","±23","±12","±221","±30","±124","±118"
"Block Group 5, Census Tract 612, Pierce County, Washington","","","","","","","",""
"    Estimate","631","0","0","27","0","79","0","525"
"    Margin of Error","±186","±12","±12","±24","±12","±92","±12","±174"
"Block Group 6, Census Tract 612, Pierce County, Washington","","","","","","","",""
"    Estimate","953","17","47","53","24","27","10","775"
"    Margin of Error","±255","±19","±53","±64","±36","±43","±16","±243"
"Block Group 1, Census Tract 613, Pierce County, Washington","","","","","","","",""
"    Estimate","736","117","125","46","50","65","47","286"
"    Margin of Error","±189","±91","±97","±44","±39","±52","±73","±135"
"Block Group 2, Census Tract 613, Pierce County, Washington","","","","","","","",""
"    Estimate","1,034","82","233","32","0","194","103","390"
"    Margin of Error","±273","±68","±207","±37","±12","±188","±102","±138"
"Block Group 3, Census Tract 613, Pierce County, Washington","","","","","","","",""
"    Estimate","918","71","118","37","30","140","80","442"
"    Margin of Error","±220","±58","±77","±45","±23","±146","±117","±195"
"Block Group 4, Census Tract 613, Pierce County, Washington","","","","","","","",""
"    Estimate","780","78","30","0","53","9","22","588"
"    Margin of Error","±285","±53","±46","±12","±61","±13","±27","±287"
"Block Group 5, Census Tract 613, Pierce County, Washington","","","","","","","",""
"    Estimate","771","232","52","0","51","59","42","335"
"    Margin of Error","±222","±157","±43","±12","±102","±57","±46","±131"
"Block Group 6, Census Tract 613, Pierce County, Washington","","","","","","","",""
"    Estimate","897","52","68","50","95","23","51","558"
"    Margin of Error","±250","±46","±78","±38","±91","±29","±79","±246"
"Block Group 1, Census Tract 614, Pierce County, Washington","","","","","","","",""
"    Estimate","945","331","149","92","83","18","0","272"
"    Margin of Error","±205","±147","±90","±78","±89","±28","±12","±143"
"Block Group 2, Census Tract 614, Pierce County, Washington","","","","","","","",""
"    Estimate","586","105","140","103","116","15","8","99"
"    Margin of Error","±212","±90","±124","±74","±148","±19","±12","±62"
"Block Group 3, Census Tract 614, Pierce County, Washington","","","","","","","",""
"    Estimate","1,053","184","196","75","43","191","36","328"
"    Margin of Error","±181","±108","±110","±90","±40","±105","±46","±136"
"Block Group 1, Census Tract 615, Pierce County, Washington","","","","","","","",""
"    Estimate","1,647","70","193","126","76","92","50","1,040"
"    Margin of Error","±277","±58","±177","±79","±88","±63","±79","±222"
"Block Group 2, Census Tract 615, Pierce County, Washington","","","","","","","",""
"    Estimate","1,412","82","243","119","231","26","0","711"
"    Margin of Error","±326","±79","±158","±72","±247","±40","±12","±225"
"Block Group 3, Census Tract 615, Pierce County, Washington","","","","","","","",""
"    Estimate","884","59","240","42","64","12","0","467"
"    Margin of Error","±246","±58","±184","±46","±65","±19","±12","±159"
"Block Group 4, Census Tract 615, Pierce County, Washington","","","","","","","",""
"    Estimate","979","176","86","60","34","84","0","539"
"    Margin of Error","±320","±112","±78","±78","±43","±120","±12","±226"
"Block Group 1, Census Tract 616.01, Pierce County, Washington","","","","","","","",""
"    Estimate","1,890","373","458","54","142","83","7","773"
"    Margin of Error","±176","±110","±141","±33","±87","±62","±10","±150"
"Block Group 1, Census Tract 616.02, Pierce County, Washington","","","","","","","",""
"    Estimate","816","113","92","50","13","81","0","467"
"    Margin of Error","±100","±68","±40","±42","±17","±59","±12","±89"
"Block Group 1, Census Tract 617, Pierce County, Washington","","","","","","","",""
"    Estimate","1,043","143","169","28","25","128","8","542"
"    Margin of Error","±306","±91","±103","±45","±39","±207","±13","±196"
"Block Group 2, Census Tract 617, Pierce County, Washington","","","","","","","",""
"    Estimate","989","384","34","6","0","7","10","548"
"    Margin of Error","±479","±382","±49","±11","±12","±13","±19","±221"
"Block Group 3, Census Tract 617, Pierce County, Washington","","","","","","","",""
"    Estimate","855","97","9","38","69","0","19","623"
"    Margin of Error","±280","±92","±16","±50","±98","±12","±29","±262"
"Block Group 4, Census Tract 617, Pierce County, Washington","","","","","","","",""
"    Estimate","528","66","27","25","24","12","0","374"
"    Margin of Error","±243","±60","±35","±29","±57","±19","±12","±193"
"Block Group 5, Census Tract 617, Pierce County, Washington","","","","","","","",""
"    Estimate","1,096","183","36","0","4","259","14","600"
"    Margin of Error","±274","±155","±59","±12","±8","±212","±22","±190"
"Block Group 1, Census Tract 618, Pierce County, Washington","","","","","","","",""
"    Estimate","1,018","42","391","21","60","6","6","492"
"    Margin of Error","±382","±32","±356","±28","±75","±11","±10","±239"
"Block Group 2, Census Tract 618, Pierce County, Washington","","","","","","","",""
"    Estimate","1,093","348","49","30","7","2","72","585"
"    Margin of Error","±388","±338","±46","±33","±12","±5","±78","±212"
"Block Group 3, Census Tract 618, Pierce County, Washington","","","","","","","",""
"    Estimate","566","23","41","29","108","37","0","328"
"    Margin of Error","±221","±24","±41","±39","±109","±32","±12","±213"
"Block Group 1, Census Tract 619, Pierce County, Washington","","","","","","","",""
"    Estimate","862","295","119","49","90","5","0","304"
"    Margin of Error","±301","±247","±79","±33","±88","±7","±12","±109"
"Block Group 2, Census Tract 619, Pierce County, Washington","","","","","","","",""
"    Estimate","821","115","82","21","14","63","1","525"
"    Margin of Error","±225","±90","±48","±37","±23","±63","±2","±204"
"Block Group 1, Census Tract 620, Pierce County, Washington","","","","","","","",""
"    Estimate","893","81","213","9","7","50","0","533"
"    Margin of Error","±235","±50","±141","±13","±10","±56","±12","±212"
"Block Group 2, Census Tract 620, Pierce County, Washington","","","","","","","",""
"    Estimate","1,155","106","57","384","49","53","0","506"
"    Margin of Error","±321","±93","±39","±268","±49","±55","±12","±157"
"Block Group 3, Census Tract 620, Pierce County, Washington","","","","","","","",""
"    Estimate","1,038","187","28","37","6","189","47","544"
"    Margin of Error","±252","±179","±48","±57","±9","±143","±75","±164"
"Block Group 4, Census Tract 620, Pierce County, Washington","","","","","","","",""
"    Estimate","1,383","126","258","111","16","69","25","778"
"    Margin of Error","±278","±78","±106","±90","±20","±71","±23","±223"
"Block Group 1, Census Tract 623, Pierce County, Washington","","","","","","","",""
"    Estimate","1,389","210","141","76","121","151","0","690"
"    Margin of Error","±349","±148","±111","±85","±142","±193","±12","±248"
"Block Group 2, Census Tract 623, Pierce County, Washington","","","","","","","",""
"    Estimate","1,438","374","170","44","63","250","14","523"
"    Margin of Error","±348","±246","±104","±55","±100","±125","±16","±258"
"Block Group 3, Census Tract 623, Pierce County, Washington","","","","","","","",""
"    Estimate","1,352","76","72","0","13","104","13","1,074"
"    Margin of Error","±330","±122","±86","±12","±21","±113","±22","±310"
"Block Group 4, Census Tract 623, Pierce County, Washington","","","","","","","",""
"    Estimate","1,085","110","158","158","70","85","28","476"
"    Margin of Error","±312","±86","±126","±176","±59","±100","±47","±250"
"Block Group 1, Census Tract 624, Pierce County, Washington","","","","","","","",""
"    Estimate","1,651","193","373","160","30","131","0","764"
"    Margin of Error","±493","±237","±319","±188","±52","±206","±12","±326"
"Block Group 2, Census Tract 624, Pierce County, Washington","","","","","","","",""
"    Estimate","973","225","61","65","94","0","46","482"
"    Margin of Error","±317","±161","±57","±77","±122","±12","±58","±258"
"Block Group 3, Census Tract 624, Pierce County, Washington","","","","","","","",""
"    Estimate","1,095","0","0","0","0","41","14","1,040"
"    Margin of Error","±384","±12","±12","±12","±12","±63","±23","±396"
"Block Group 4, Census Tract 624, Pierce County, Washington","","","","","","","",""
"    Estimate","975","18","0","0","175","70","94","618"
"    Margin of Error","±359","±29","±12","±12","±198","±82","±111","±291"
"Block Group 5, Census Tract 624, Pierce County, Washington","","","","","","","",""
"    Estimate","808","47","289","0","0","59","0","413"
"    Margin of Error","±245","±43","±215","±12","±12","±49","±12","±209"
"Block Group 1, Census Tract 625, Pierce County, Washington","","","","","","","",""
"    Estimate","1,309","11","407","38","38","29","0","786"
"    Margin of Error","±598","±19","±534","±37","±62","±45","±12","±324"
"Block Group 2, Census Tract 625, Pierce County, Washington","","","","","","","",""
"    Estimate","1,542","46","40","30","152","140","0","1,134"
"    Margin of Error","±583","±55","±64","±49","±221","±201","±12","±623"
"Block Group 3, Census Tract 625, Pierce County, Washington","","","","","","","",""
"    Estimate","504","141","88","53","0","0","0","222"
"    Margin of Error","±323","±208","±111","±76","±12","±12","±12","±124"
"Block Group 4, Census Tract 625, Pierce County, Washington","","","","","","","",""
"    Estimate","1,067","87","67","403","0","59","19","432"
"    Margin of Error","±389","±122","±74","±214","±12","±105","±30","±267"
"Block Group 5, Census Tract 625, Pierce County, Washington","","","","","","","",""
"    Estimate","1,649","56","42","242","35","88","0","1,186"
"    Margin of Error","±603","±81","±59","±357","±38","±118","±12","±443"
"Block Group 6, Census Tract 625, Pierce County, Washington","","","","","","","",""
"    Estimate","695","12","29","0","48","0","0","606"
"    Margin of Error","±280","±20","±38","±12","±60","±12","±12","±276"
"Block Group 7, Census Tract 625, Pierce County, Washington","","","","","","","",""
"    Estimate","1,030","145","0","22","98","107","99","559"
"    Margin of Error","±418","±134","±12","±34","±150","±151","±156","±309"
"Block Group 1, Census Tract 626, Pierce County, Washington","","","","","","","",""
"    Estimate","1,089","61","152","26","7","43","71","729"
"    Margin of Error","±282","±56","±91","±41","±11","±33","±77","±273"
"Block Group 2, Census Tract 626, Pierce County, Washington","","","","","","","",""
"    Estimate","2,031","222","159","42","126","194","89","1,199"
"    Margin of Error","±341","±128","±108","±35","±92","±175","±85","±317"
"Block Group 1, Census Tract 628.01, Pierce County, Washington","","","","","","","",""
"    Estimate","1,222","165","233","0","81","59","0","684"
"    Margin of Error","±386","±117","±250","±12","±101","±47","±12","±243"
"Block Group 2, Census Tract 628.01, Pierce County, Washington","","","","","","","",""
"    Estimate","2,076","178","348","206","193","132","25","994"
"    Margin of Error","±533","±176","±324","±211","±180","±151","±37","±385"
"Block Group 3, Census Tract 628.01, Pierce County, Washington","","","","","","","",""
"    Estimate","1,745","203","103","251","191","183","0","814"
"    Margin of Error","±437","±211","±103","±239","±143","±103","±12","±308"
"Block Group 4, Census Tract 628.01, Pierce County, Washington","","","","","","","",""
"    Estimate","1,245","54","232","51","49","154","0","705"
"    Margin of Error","±328","±53","±199","±62","±59","±113","±12","±296"
"Block Group 1, Census Tract 628.02, Pierce County, Washington","","","","","","","",""
"    Estimate","1,828","52","162","27","32","187","36","1,332"
"    Margin of Error","±329","±56","±98","±33","±50","±168","±60","±324"
"Block Group 2, Census Tract 628.02, Pierce County, Washington","","","","","","","",""
"    Estimate","1,377","120","184","68","45","14","144","802"
"    Margin of Error","±357","±104","±162","±60","±60","±27","±173","±324"
"Block Group 3, Census Tract 628.02, Pierce County, Washington","","","","","","","",""
"    Estimate","943","0","16","7","16","49","0","855"
