"Label (Grouping)","Total:","Total:!!Under .50","Total:!!.50 to .99","Total:!!1.00 to 1.24","Total:!!1.25 to 1.49","Total:!!1.50 to 1.84","Total:!!1.85 to 1.99","Total:!!2.00 and over"
"    Margin of Error","±376","±12","±84","±12","±360","±142","±112","±312"
"Block Group 4, Census Tract 633, Pierce County, Washington","","","","","","","",""
"    Estimate","1,137","129","289","327","80","19","46","247"
"    Margin of Error","±508","±201","±448","±309","±83","±29","±90","±138"
"Block Group 5, Census Tract 633, Pierce County, Washington","","","","","","","",""
"    Estimate","1,172","14","344","67","36","50","32","629"
"    Margin of Error","±502","±22","±446","±93","±43","±102","±50","±291"
"Block Group 1, Census Tract 634, Pierce County, Washington","","","","","","","",""
"    Estimate","1,583","637","31","150","113","0","54","598"
"    Margin of Error","±662","±659","±35","±159","±159","±12","±62","±258"
"Block Group 2, Census Tract 634, Pierce County, Washington","","","","","","","",""
"    Estimate","1,716","15","188","127","23","103","60","1,200"
"    Margin of Error","±456","±17","±198","±151","±40","±181","±55","±454"
"Block Group 3, Census Tract 634, Pierce County, Washington","","","","","","","",""
"    Estimate","763","83","82","44","0","36","0","518"
"    Margin of Error","±287","±83","±65","±109","±12","±59","±12","±293"
"Block Group 4, Census Tract 634, Pierce County, Washington","","","","","","","",""
"    Estimate","612","0","41","53","23","91","0","404"
"    Margin of Error","±198","±12","±49","±61","±36","±103","±12","±173"
"Block Group 5, Census Tract 634, Pierce County, Washington","","","","","","","",""
"    Estimate","1,394","253","222","125","151","102","62","479"
"    Margin of Error","±425","±271","±224","±114","±184","±114","±103","±218"
"Block Group 6, Census Tract 634, Pierce County, Washington","","","","","","","",""
"    Estimate","1,268","15","195","97","70","0","107","784"
"    Margin of Error","±536","±25","±235","±113","±89","±12","±180","±498"
"Block Group 1, Census Tract 635.01, Pierce County, Washington","","","","","","","",""
"    Estimate","717","10","58","39","0","52","0","558"
"    Margin of Error","±221","±16","±65","±63","±12","±61","±12","±218"
"Block Group 2, Census Tract 635.01, Pierce County, Washington","","","","","","","",""
"    Estimate","944","60","141","84","12","57","0","590"
"    Margin of Error","±239","±68","±129","±181","±15","±54","±12","±159"
"Block Group 3, Census Tract 635.01, Pierce County, Washington","","","","","","","",""
"    Estimate","957","57","48","88","20","120","0","624"
"    Margin of Error","±225","±61","±49","±118","±20","±124","±12","±151"
"Block Group 4, Census Tract 635.01, Pierce County, Washington","","","","","","","",""
"    Estimate","1,732","360","80","170","139","18","14","951"
"    Margin of Error","±389","±210","±73","±135","±115","±20","±25","±380"
"Block Group 1, Census Tract 635.02, Pierce County, Washington","","","","","","","",""
"    Estimate","1,003","34","54","40","39","304","0","532"
"    Margin of Error","±246","±31","±62","±63","±67","±235","±12","±205"
"Block Group 2, Census Tract 635.02, Pierce County, Washington","","","","","","","",""
"    Estimate","2,442","261","114","46","263","203","75","1,480"
"    Margin of Error","±341","±159","±84","±50","±253","±126","±95","±273"
"Block Group 3, Census Tract 635.02, Pierce County, Washington","","","","","","","",""
"    Estimate","1,499","72","272","9","24","53","87","982"
"    Margin of Error","±349","±89","±283","±14","±37","±62","±79","±264"
"Block Group 1, Census Tract 701, Pierce County, Washington","","","","","","","",""
"    Estimate","726","93","59","23","32","23","2","494"
"    Margin of Error","±198","±68","±47","±37","±48","±22","±4","±154"
"Block Group 2, Census Tract 701, Pierce County, Washington","","","","","","","",""
"    Estimate","0","0","0","0","0","0","0","0"
"    Margin of Error","±12","±12","±12","±12","±12","±12","±12","±12"
"Block Group 3, Census Tract 701, Pierce County, Washington","","","","","","","",""
"    Estimate","1,364","122","34","0","78","6","66","1,058"
"    Margin of Error","±306","±151","±38","±12","±74","±10","±104","±308"
"Block Group 4, Census Tract 701, Pierce County, Washington","","","","","","","",""
"    Estimate","1,240","27","32","8","250","39","24","860"
"    Margin of Error","±409","±27","±48","±15","±308","±50","±44","±278"
"Block Group 1, Census Tract 702.03, Pierce County, Washington","","","","","","","",""
"    Estimate","2,374","0","19","29","0","25","0","2,301"
"    Margin of Error","±379","±12","±30","±27","±12","±29","±12","±378"
"Block Group 2, Census Tract 702.03, Pierce County, Washington","","","","","","","",""
"    Estimate","2,464","161","21","49","36","240","33","1,924"
"    Margin of Error","±385","±246","±23","±64","±45","±176","±31","±310"
"Block Group 3, Census Tract 702.03, Pierce County, Washington","","","","","","","",""
"    Estimate","717","41","0","0","24","33","74","545"
"    Margin of Error","±283","±40","±12","±12","±29","±38","±108","±266"
"Block Group 1, Census Tract 702.04, Pierce County, Washington","","","","","","","",""
"    Estimate","1,562","87","259","202","35","11","96","872"
"    Margin of Error","±345","±59","±194","±203","±41","±17","±152","±269"
"Block Group 2, Census Tract 702.04, Pierce County, Washington","","","","","","","",""
"    Estimate","2,080","149","119","75","0","111","28","1,598"
"    Margin of Error","±383","±144","±116","±95","±12","±71","±46","±395"
"Block Group 1, Census Tract 702.05, Pierce County, Washington","","","","","","","",""
"    Estimate","2,241","183","57","32","39","296","0","1,634"
"    Margin of Error","±255","±131","±50","±39","±43","±211","±12","±308"
"Block Group 2, Census Tract 702.05, Pierce County, Washington","","","","","","","",""
"    Estimate","952","23","29","37","15","53","34","761"
"    Margin of Error","±244","±25","±36","±34","±23","±65","±54","±253"
"Block Group 1, Census Tract 702.06, Pierce County, Washington","","","","","","","",""
"    Estimate","1,534","78","36","51","13","100","33","1,223"
"    Margin of Error","±268","±57","±29","±45","±20","±55","±36","±254"
"Block Group 2, Census Tract 702.06, Pierce County, Washington","","","","","","","",""
"    Estimate","1,255","74","9","39","54","65","20","994"
"    Margin of Error","±256","±72","±8","±34","±62","±61","±19","±277"
"Block Group 3, Census Tract 702.06, Pierce County, Washington","","","","","","","",""
"    Estimate","998","16","83","56","82","0","0","761"
"    Margin of Error","±258","±27","±88","±82","±95","±12","±12","±222"
"Block Group 1, Census Tract 702.07, Pierce County, Washington","","","","","","","",""
"    Estimate","1,330","0","115","105","68","25","36","981"
"    Margin of Error","±340","±12","±155","±116","±84","±42","±59","±345"
"Block Group 2, Census Tract 702.07, Pierce County, Washington","","","","","","","",""
"    Estimate","1,120","104","92","37","21","49","0","817"
"    Margin of Error","±265","±121","±91","±59","±23","±80","±12","±207"
"Block Group 3, Census Tract 702.07, Pierce County, Washington","","","","","","","",""
"    Estimate","1,115","85","201","115","161","10","0","543"
"    Margin of Error","±342","±98","±134","±112","±210","±23","±12","±200"
"Block Group 4, Census Tract 702.07, Pierce County, Washington","","","","","","","",""
"    Estimate","1,276","61","12","113","85","121","0","884"
"    Margin of Error","±381","±65","±19","±139","±87","±128","±12","±326"
"Block Group 1, Census Tract 703.07, Pierce County, Washington","","","","","","","",""
"    Estimate","975","0","0","10","0","0","125","840"
"    Margin of Error","±229","±12","±12","±17","±12","±12","±135","±222"
"Block Group 2, Census Tract 703.07, Pierce County, Washington","","","","","","","",""
"    Estimate","1,818","20","0","0","161","12","0","1,625"
"    Margin of Error","±346","±25","±12","±12","±179","±24","±12","±324"
"Block Group 3, Census Tract 703.07, Pierce County, Washington","","","","","","","",""
"    Estimate","2,320","224","84","0","57","62","0","1,893"
"    Margin of Error","±333","±208","±75","±12","±83","±85","±12","±286"
"Block Group 1, Census Tract 703.08, Pierce County, Washington","","","","","","","",""
"    Estimate","1,634","1","35","43","32","11","0","1,512"
"    Margin of Error","±316","±3","±57","±56","±37","±18","±12","±332"
"Block Group 2, Census Tract 703.08, Pierce County, Washington","","","","","","","",""
"    Estimate","1,727","67","98","0","47","0","50","1,465"
"    Margin of Error","±326","±96","±119","±12","±78","±12","±79","±325"
"Block Group 1, Census Tract 703.09, Pierce County, Washington","","","","","","","",""
"    Estimate","1,229","14","0","106","12","0","0","1,097"
"    Margin of Error","±316","±22","±12","±158","±18","±12","±12","±292"
"Block Group 2, Census Tract 703.09, Pierce County, Washington","","","","","","","",""
"    Estimate","2,031","69","13","0","31","79","0","1,839"
"    Margin of Error","±333","±70","±21","±12","±35","±92","±12","±329"
"Block Group 3, Census Tract 703.09, Pierce County, Washington","","","","","","","",""
"    Estimate","1,967","256","130","29","321","27","64","1,140"
"    Margin of Error","±341","±236","±108","±46","±283","±30","±66","±265"
"Block Group 1, Census Tract 703.10, Pierce County, Washington","","","","","","","",""
"    Estimate","1,884","96","0","0","76","64","19","1,629"
"    Margin of Error","±250","±88","±12","±12","±89","±71","±28","±270"
"Block Group 2, Census Tract 703.10, Pierce County, Washington","","","","","","","",""
"    Estimate","780","99","69","20","22","31","0","539"
"    Margin of Error","±234","±152","±63","±31","±36","±49","±12","±193"
"Block Group 3, Census Tract 703.10, Pierce County, Washington","","","","","","","",""
"    Estimate","1,881","10","0","8","0","73","36","1,754"
"    Margin of Error","±262","±13","±12","±13","±12","±109","±55","±279"
"Block Group 4, Census Tract 703.10, Pierce County, Washington","","","","","","","",""
"    Estimate","675","0","54","34","0","7","113","467"
"    Margin of Error","±251","±12","±89","±37","±12","±10","±105","±240"
"Block Group 1, Census Tract 703.11, Pierce County, Washington","","","","","","","",""
"    Estimate","1,380","23","16","14","82","218","8","1,019"
"    Margin of Error","±332","±26","±24","±22","±123","±183","±13","±273"
"Block Group 2, Census Tract 703.11, Pierce County, Washington","","","","","","","",""
"    Estimate","1,512","42","17","37","0","157","181","1,078"
"    Margin of Error","±392","±51","±26","±55","±12","±172","±289","±255"
"Block Group 3, Census Tract 703.11, Pierce County, Washington","","","","","","","",""
"    Estimate","2,092","246","359","48","44","43","10","1,342"
"    Margin of Error","±581","±218","±485","±60","±67","±51","±15","±387"
"Block Group 1, Census Tract 703.12, Pierce County, Washington","","","","","","","",""
"    Estimate","953","18","81","0","118","9","0","727"
"    Margin of Error","±275","±26","±93","±12","±151","±15","±12","±257"
"Block Group 2, Census Tract 703.12, Pierce County, Washington","","","","","","","",""
"    Estimate","3,115","324","32","0","49","172","0","2,538"
"    Margin of Error","±442","±274","±38","±12","±78","±148","±12","±421"
"Block Group 3, Census Tract 703.12, Pierce County, Washington","","","","","","","",""
"    Estimate","1,362","20","9","0","33","113","0","1,187"
"    Margin of Error","±303","±31","±15","±12","±53","±168","±12","±301"
"Block Group 1, Census Tract 703.13, Pierce County, Washington","","","","","","","",""
"    Estimate","1,343","16","19","0","0","0","0","1,308"
"    Margin of Error","±244","±26","±31","±12","±12","±12","±12","±235"
"Block Group 2, Census Tract 703.13, Pierce County, Washington","","","","","","","",""
"    Estimate","899","24","15","0","0","23","106","731"
"    Margin of Error","±290","±33","±23","±12","±12","±44","±164","±215"
"Block Group 3, Census Tract 703.13, Pierce County, Washington","","","","","","","",""
"    Estimate","1,597","41","33","254","0","45","0","1,224"
"    Margin of Error","±340","±47","±46","±270","±12","±55","±12","±313"
"Block Group 4, Census Tract 703.13, Pierce County, Washington","","","","","","","",""
"    Estimate","597","63","35","80","51","0","0","368"
"    Margin of Error","±276","±97","±53","±116","±59","±12","±12","±247"
"Block Group 5, Census Tract 703.13, Pierce County, Washington","","","","","","","",""
"    Estimate","915","0","14","4","3","15","0","879"
"    Margin of Error","±232","±12","±24","±8","±7","±25","±12","±241"
"Block Group 1, Census Tract 703.14, Pierce County, Washington","","","","","","","",""
"    Estimate","2,038","0","167","0","0","19","0","1,852"
"    Margin of Error","±355","±12","±233","±12","±12","±30","±12","±390"
"Block Group 2, Census Tract 703.14, Pierce County, Washington","","","","","","","",""
"    Estimate","1,125","16","26","157","48","49","7","822"
"    Margin of Error","±299","±19","±42","±163","±61","±52","±12","±264"
"Block Group 1, Census Tract 703.15, Pierce County, Washington","","","","","","","",""
"    Estimate","1,380","7","30","0","31","9","0","1,303"
"    Margin of Error","±301","±13","±33","±12","±48","±15","±12","±304"
"Block Group 2, Census Tract 703.15, Pierce County, Washington","","","","","","","",""
"    Estimate","1,372","48","71","7","43","74","119","1,010"
"    Margin of Error","±362","±75","±99","±11","±81","±126","±159","±312"
"Block Group 3, Census Tract 703.15, Pierce County, Washington","","","","","","","",""
"    Estimate","1,585","0","0","0","9","22","0","1,554"
"    Margin of Error","±304","±12","±12","±12","±15","±34","±12","±311"
"Block Group 4, Census Tract 703.15, Pierce County, Washington","","","","","","","",""
"    Estimate","836","102","0","16","47","27","0","644"
"    Margin of Error","±344","±128","±12","±25","±75","±34","±12","±342"
"Block Group 1, Census Tract 703.16, Pierce County, Washington","","","","","","","",""
"    Estimate","1,617","11","0","0","235","29","51","1,291"
"    Margin of Error","±450","±19","±12","±12","±341","±46","±83","±384"
"Block Group 2, Census Tract 703.16, Pierce County, Washington","","","","","","","",""
"    Estimate","3,411","0","9","0","317","238","56","2,791"
"    Margin of Error","±446","±12","±15","±12","±248","±291","±103","±462"
"Block Group 1, Census Tract 704.01, Pierce County, Washington","","","","","","","",""
"    Estimate","1,546","37","214","11","5","51","0","1,228"
"    Margin of Error","±228","±36","±237","±12","±8","±47","±12","±223"
"Block Group 2, Census Tract 704.01, Pierce County, Washington","","","","","","","",""
"    Estimate","667","48","25","27","48","35","16","468"
"    Margin of Error","±140","±51","±20","±23","±61","±53","±21","±125"
"Block Group 1, Census Tract 704.03, Pierce County, Washington","","","","","","","",""
"    Estimate","815","0","33","0","12","15","0","755"
"    Margin of Error","±198","±12","±38","±12","±13","±22","±12","±200"
"Block Group 2, Census Tract 704.03, Pierce County, Washington","","","","","","","",""
"    Estimate","723","171","6","101","101","65","0","279"
"    Margin of Error","±240","±192","±9","±154","±74","±61","±12","±120"
"Block Group 3, Census Tract 704.03, Pierce County, Washington","","","","","","","",""
"    Estimate","1,956","66","43","126","0","49","13","1,659"
"    Margin of Error","±329","±57","±47","±163","±12","±55","±21","±330"
"Block Group 1, Census Tract 704.04, Pierce County, Washington","","","","","","","",""
"    Estimate","2,739","190","306","0","0","106","84","2,053"
"    Margin of Error","±418","±209","±392","±12","±12","±145","±63","±460"
"Block Group 2, Census Tract 704.04, Pierce County, Washington","","","","","","","",""
"    Estimate","2,039","25","55","43","31","0","0","1,885"
"    Margin of Error","±322","±34","±65","±61","±56","±12","±12","±317"
"Block Group 1, Census Tract 707.03, Pierce County, Washington","","","","","","","",""
"    Estimate","843","34","18","12","3","17","24","735"
"    Margin of Error","±250","±56","±29","±19","±5","±18","±30","±237"
"Block Group 2, Census Tract 707.03, Pierce County, Washington","","","","","","","",""
"    Estimate","1,568","32","33","121","16","45","0","1,321"
"    Margin of Error","±356","±51","±39","±190","±22","±43","±12","±356"
"Block Group 3, Census Tract 707.03, Pierce County, Washington","","","","","","","",""
"    Estimate","1,764","16","205","77","29","0","30","1,407"
"    Margin of Error","±269","±25","±154","±84","±32","±12","±46","±293"
"Block Group 4, Census Tract 707.03, Pierce County, Washington","","","","","","","",""
"    Estimate","1,015","3","8","59","0","45","59","841"
"    Margin of Error","±326","±5","±13","±92","±12","±30","±88","±327"
"Block Group 5, Census Tract 707.03, Pierce County, Washington","","","","","","","",""
"    Estimate","938","4","21","18","13","87","0","795"
"    Margin of Error","±282","±6","±34","±29","±20","±129","±12","±260"
"Block Group 1, Census Tract 711, Pierce County, Washington","","","","","","","",""
"    Estimate","1,267","93","129","117","97","78","0","753"
"    Margin of Error","±278","±95","±112","±120","±77","±77","±12","±188"
"Block Group 2, Census Tract 711, Pierce County, Washington","","","","","","","",""
"    Estimate","997","11","108","7","37","128","32","674"
"    Margin of Error","±179","±17","±82","±13","±33","±141","±32","±150"
"Block Group 1, Census Tract 712.05, Pierce County, Washington","","","","","","","",""
"    Estimate","1,744","59","55","6","27","125","8","1,464"
"    Margin of Error","±231","±70","±59","±10","±25","±83","±13","±226"
"Block Group 2, Census Tract 712.05, Pierce County, Washington","","","","","","","",""
"    Estimate","2,963","48","238","158","40","52","17","2,410"
"    Margin of Error","±273","±48","±210","±188","±61","±72","±25","±258"
"Block Group 1, Census Tract 712.06, Pierce County, Washington","","","","","","","",""
"    Estimate","1,003","16","0","36","0","0","0","951"
"    Margin of Error","±231","±27","±12","±45","±12","±12","±12","±224"
"Block Group 2, Census Tract 712.06, Pierce County, Washington","","","","","","","",""
"    Estimate","1,002","34","0","0","14","66","72","816"
"    Margin of Error","±214","±53","±12","±12","±24","±79","±117","±231"
"Block Group 3, Census Tract 712.06, Pierce County, Washington","","","","","","","",""
"    Estimate","2,196","238","164","85","67","211","0","1,431"
"    Margin of Error","±442","±168","±148","±144","±80","±224","±12","±402"
"Block Group 4, Census Tract 712.06, Pierce County, Washington","","","","","","","",""
"    Estimate","2,679","174","14","2","170","67","43","2,209"
"    Margin of Error","±498","±158","±24","±4","±193","±73","±52","±460"
"Block Group 1, Census Tract 712.07, Pierce County, Washington","","","","","","","",""
"    Estimate","1,216","102","0","0","0","21","0","1,093"
"    Margin of Error","±315","±148","±12","±12","±12","±32","±12","±300"
"Block Group 2, Census Tract 712.07, Pierce County, Washington","","","","","","","",""
"    Estimate","2,708","137","196","14","197","354","0","1,810"
"    Margin of Error","±464","±89","±178","±24","±156","±400","±12","±437"
"Block Group 3, Census Tract 712.07, Pierce County, Washington","","","","","","","",""
"    Estimate","2,505","177","142","245","315","192","38","1,396"
"    Margin of Error","±422","±105","±98","±209","±259","±89","±27","±481"
"Block Group 1, Census Tract 712.08, Pierce County, Washington","","","","","","","",""
"    Estimate","1,610","14","40","73","78","47","43","1,315"
"    Margin of Error","±343","±22","±47","±67","±118","±26","±53","±368"
"Block Group 2, Census Tract 712.08, Pierce County, Washington","","","","","","","",""
"    Estimate","2,274","76","178","204","90","272","26","1,428"
"    Margin of Error","±363","±70","±152","±190","±74","±191","±30","±333"
"Block Group 3, Census Tract 712.08, Pierce County, Washington","","","","","","","",""
"    Estimate","3,519","126","142","61","174","296","67","2,653"
"    Margin of Error","±507","±174","±189","±67","±186","±213","±64","±591"
"Block Group 1, Census Tract 712.09, Pierce County, Washington","","","","","","","",""
"    Estimate","2,516","33","113","0","85","144","8","2,133"
"    Margin of Error","±253","±38","±119","±12","±80","±116","±13","±281"
"Block Group 2, Census Tract 712.09, Pierce County, Washington","","","","","","","",""
"    Estimate","680","26","25","8","25","47","0","549"
"    Margin of Error","±216","±43","±29","±14","±43","±70","±12","±161"
"Block Group 3, Census Tract 712.09, Pierce County, Washington","","","","","","","",""
"    Estimate","872","42","20","0","0","0","0","810"
"    Margin of Error","±215","±61","±29","±12","±12","±12","±12","±186"
"Block Group 1, Census Tract 712.10, Pierce County, Washington","","","","","","","",""
"    Estimate","450","11","15","28","12","69","15","300"
"    Margin of Error","±156","±17","±24","±45","±18","±94","±24","±125"
"Block Group 2, Census Tract 712.10, Pierce County, Washington","","","","","","","",""
"    Estimate","1,130","0","0","0","9","0","0","1,121"
"    Margin of Error","±172","±12","±12","±12","±16","±12","±12","±175"
"Block Group 3, Census Tract 712.10, Pierce County, Washington","","","","","","","",""
"    Estimate","2,639","68","15","12","0","48","9","2,487"
"    Margin of Error","±241","±61","±20","±17","±12","±53","±14","±250"
"Block Group 1, Census Tract 713.04, Pierce County, Washington","","","","","","","",""
"    Estimate","2,359","297","134","49","261","143","230","1,245"
"    Margin of Error","±460","±225","±178","±77","±272","±161","±194","±343"
"Block Group 2, Census Tract 713.04, Pierce County, Washington","","","","","","","",""
"    Estimate","2,449","43","59","0","0","59","0","2,288"
"    Margin of Error","±521","±55","±108","±12","±12","±117","±12","±544"
"Block Group 3, Census Tract 713.04, Pierce County, Washington","","","","","","","",""
"    Estimate","822","52","14","260","81","34","0","381"
"    Margin of Error","±339","±61","±22","±327","±104","±49","±12","±187"
"Block Group 1, Census Tract 713.05, Pierce County, Washington","","","","","","","",""
"    Estimate","2,058","134","219","43","56","18","162","1,426"
"    Margin of Error","±278","±131","±190","±43","±100","±23","±164","±331"
"Block Group 2, Census Tract 713.05, Pierce County, Washington","","","","","","","",""
"    Estimate","1,700","29","21","0","83","74","55","1,438"
"    Margin of Error","±395","±46","±26","±12","±81","±101","±45","±375"
"Block Group 1, Census Tract 713.06, Pierce County, Washington","","","","","","","",""
"    Estimate","1,327","0","96","160","0","16","0","1,055"
"    Margin of Error","±354","±12","±118","±185","±12","±29","±12","±324"
"Block Group 2, Census Tract 713.06, Pierce County, Washington","","","","","","","",""
"    Estimate","1,313","24","59","0","16","20","24","1,170"
"    Margin of Error","±407","±42","±89","±12","±25","±33","±38","±420"
"Block Group 3, Census Tract 713.06, Pierce County, Washington","","","","","","","",""
"    Estimate","2,666","136","0","74","174","158","0","2,124"
"    Margin of Error","±512","±132","±12","±112","±181","±171","±12","±501"
"Block Group 4, Census Tract 713.06, Pierce County, Washington","","","","","","","",""
"    Estimate","1,104","16","14","0","0","81","25","968"
"    Margin of Error","±319","±26","±22","±12","±12","±127","±38","±316"
"Block Group 1, Census Tract 713.07, Pierce County, Washington","","","","","","","",""
"    Estimate","1,494","87","24","0","14","89","70","1,210"
"    Margin of Error","±258","±97","±28","±12","±20","±87","±106","±277"
"Block Group 2, Census Tract 713.07, Pierce County, Washington","","","","","","","",""
"    Estimate","1,116","154","11","99","0","46","62","744"
"    Margin of Error","±255","±162","±16","±138","±12","±40","±62","±208"
"Block Group 3, Census Tract 713.07, Pierce County, Washington","","","","","","","",""
"    Estimate","1,996","119","151","9","36","223","54","1,404"
"    Margin of Error","±323","±100","±95","±13","±37","±163","±79","±287"
"Block Group 1, Census Tract 713.09, Pierce County, Washington","","","","","","","",""
"    Estimate","1,546","72","329","19","0","0","12","1,114"
"    Margin of Error","±315","±69","±296","±22","±12","±12","±18","±325"
"Block Group 2, Census Tract 713.09, Pierce County, Washington","","","","","","","",""
"    Estimate","1,460","49","34","127","93","85","43","1,029"
"    Margin of Error","±332","±77","±43","±114","±137","±79","±66","±307"
"Block Group 3, Census Tract 713.09, Pierce County, Washington","","","","","","","",""
"    Estimate","1,211","22","139","0","0","126","7","917"
"    Margin of Error","±294","±31","±170","±12","±12","±156","±13","±245"
"Block Group 1, Census Tract 713.10, Pierce County, Washington","","","","","","","",""
"    Estimate","2,184","32","11","0","218","134","58","1,731"
"    Margin of Error","±381","±34","±18","±12","±195","±103","±71","±359"
"Block Group 2, Census Tract 713.10, Pierce County, Washington","","","","","","","",""
"    Estimate","2,846","231","77","4","0","141","3","2,390"
"    Margin of Error","±364","±233","±56","±10","±12","±129","±9","±342"
"Block Group 1, Census Tract 714.03, Pierce County, Washington","","","","","","","",""
"    Estimate","1,346","39","6","25","54","101","0","1,121"
"    Margin of Error","±273","±58","±9","±32","±52","±73","±12","±255"
"Block Group 2, Census Tract 714.03, Pierce County, Washington","","","","","","","",""
"    Estimate","855","8","36","9","21","41","42","698"
"    Margin of Error","±276","±13","±42","±14","±34","±62","±74","±267"
"Block Group 3, Census Tract 714.03, Pierce County, Washington","","","","","","","",""
"    Estimate","1,638","86","77","88","315","202","9","861"
"    Margin of Error","±350","±63","±64","±77","±206","±183","±16","±280"
"Block Group 1, Census Tract 714.06, Pierce County, Washington","","","","","","","",""
"    Estimate","3,339","35","333","167","131","208","67","2,398"
"    Margin of Error","±614","±56","±231","±266","±169","±219","±107","±599"
"Block Group 2, Census Tract 714.06, Pierce County, Washington","","","","","","","",""
"    Estimate","1,353","27","179","0","37","27","0","1,083"
"    Margin of Error","±306","±27","±180","±12","±57","±31","±12","±294"
"Block Group 3, Census Tract 714.06, Pierce County, Washington","","","","","","","",""
"    Estimate","579","6","47","16","50","34","0","426"
"    Margin of Error","±263","±11","±55","±25","±69","±59","±12","±260"
"Block Group 4, Census Tract 714.06, Pierce County, Washington","","","","","","","",""
"    Estimate","1,925","0","0","0","40","350","0","1,535"
"    Margin of Error","±477","±12","±12","±12","±60","±281","±12","±449"
"Block Group 1, Census Tract 714.07, Pierce County, Washington","","","","","","","",""
"    Estimate","1,435","118","19","0","191","27","16","1,064"
"    Margin of Error","±410","±97","±44","±12","±164","±43","±28","±354"
"Block Group 2, Census Tract 714.07, Pierce County, Washington","","","","","","","",""
"    Estimate","1,422","115","63","48","12","0","35","1,149"
"    Margin of Error","±342","±115","±91","±74","±21","±12","±54","±337"
"Block Group 3, Census Tract 714.07, Pierce County, Washington","","","","","","","",""
"    Estimate","1,769","0","59","0","0","0","0","1,710"
"    Margin of Error","±529","±12","±73","±12","±12","±12","±12","±534"
"Block Group 4, Census Tract 714.07, Pierce County, Washington","","","","","","","",""
"    Estimate","2,073","108","0","18","53","38","218","1,638"
"    Margin of Error","±552","±125","±12","±28","±84","±59","±294","±487"
"Block Group 1, Census Tract 714.08, Pierce County, Washington","","","","","","","",""
"    Estimate","1,889","69","61","242","14","45","36","1,422"
"    Margin of Error","±473","±56","±71","±222","±22","±38","±68","±399"
"Block Group 2, Census Tract 714.08, Pierce County, Washington","","","","","","","",""
"    Estimate","1,182","44","229","67","84","74","188","496"
"    Margin of Error","±320","±44","±175","±68","±82","±61","±203","±220"
"Block Group 3, Census Tract 714.08, Pierce County, Washington","","","","","","","",""
"    Estimate","834","109","41","96","17","0","181","390"
"    Margin of Error","±270","±75","±67","±134","±28","±12","±116","±171"
"Block Group 1, Census Tract 714.09, Pierce County, Washington","","","","","","","",""
"    Estimate","1,105","80","89","70","73","57","31","705"
"    Margin of Error","±352","±92","±91","±81","±84","±75","±48","±338"
"Block Group 2, Census Tract 714.09, Pierce County, Washington","","","","","","","",""
"    Estimate","853","111","87","4","157","36","0","458"
"    Margin of Error","±287","±82","±90","±9","±243","±44","±12","±175"
"Block Group 3, Census Tract 714.09, Pierce County, Washington","","","","","","","",""
"    Estimate","1,596","128","58","38","213","229","0","930"
"    Margin of Error","±373","±102","±55","±36","±190","±245","±12","±274"
"Block Group 4, Census Tract 714.09, Pierce County, Washington","","","","","","","",""
"    Estimate","970","17","188","112","26","286","4","337"
"    Margin of Error","±417","±28","±138","±149","±47","±410","±11","±109"
"Block Group 1, Census Tract 714.10, Pierce County, Washington","","","","","","","",""
"    Estimate","1,344","0","264","143","52","68","13","804"
"    Margin of Error","±387","±12","±323","±160","±61","±92","±21","±386"
"Block Group 2, Census Tract 714.10, Pierce County, Washington","","","","","","","",""
"    Estimate","1,589","15","704","15","108","0","27","720"
"    Margin of Error","±600","±24","±555","±23","±136","±12","±47","±356"
"Block Group 3, Census Tract 714.10, Pierce County, Washington","","","","","","","",""
"    Estimate","2,043","120","14","0","0","213","0","1,696"
"    Margin of Error","±467","±92","±22","±12","±12","±258","±12","±498"
"Block Group 4, Census Tract 714.10, Pierce County, Washington","","","","","","","",""
"    Estimate","1,711","0","21","0","15","249","0","1,426"
"    Margin of Error","±359","±12","±33","±12","±24","±210","±12","±311"
"Block Group 1, Census Tract 714.11, Pierce County, Washington","","","","","","","",""
"    Estimate","2,567","137","88","8","100","700","0","1,534"
"    Margin of Error","±461","±104","±98","±12","±163","±422","±12","±390"
"Block Group 2, Census Tract 714.11, Pierce County, Washington","","","","","","","",""
"    Estimate","898","122","149","18","130","114","8","357"
"    Margin of Error","±342","±81","±141","±28","±143","±108","±13","±195"
"Block Group 3, Census Tract 714.11, Pierce County, Washington","","","","","","","",""
"    Estimate","1,623","52","122","7","104","39","0","1,299"
"    Margin of Error","±340","±51","±115","±12","±191","±61","±12","±353"
"Block Group 1, Census Tract 715.03, Pierce County, Washington","","","","","","","",""
"    Estimate","1,705","100","71","168","40","143","572","611"
"    Margin of Error","±710","±122","±100","±150","±60","±157","±678","±179"
"Block Group 2, Census Tract 715.03, Pierce County, Washington","","","","","","","",""
"    Estimate","1,808","20","89","559","53","51","192","844"
"    Margin of Error","±761","±36","±77","±656","±59","±44","±232","±486"
"Block Group 3, Census Tract 715.03, Pierce County, Washington","","","","","","","",""
"    Estimate","583","8","70","0","16","91","15","383"
"    Margin of Error","±203","±15","±64","±12","±26","±71","±25","±190"
"Block Group 4, Census Tract 715.03, Pierce County, Washington","","","","","","","",""
"    Estimate","1,273","25","0","88","0","0","0","1,160"
"    Margin of Error","±414","±38","±12","±98","±12","±12","±12","±433"
